Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-08-01T01:10:26+00:00,False,,52.244899,0.709206,Male,,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
Person search,2015-08-01T11:18:54+00:00,False,,52.060874,1.141924,Male,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,True
Person search,2015-08-01T13:00:59+00:00,False,,52.343264,0.509692,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
Person search,2015-08-01T14:18:48+00:00,False,,52.058660,1.154097,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2015-08-01T15:05:04+00:00,False,,52.255505,0.390250,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2015-08-01T19:19:46+00:00,False,,52.250434,0.705865,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Local resolution,True,False
Person search,2015-08-01T19:20:51+00:00,False,,52.251629,0.706715,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Local resolution,True,False
Person search,2015-08-01T19:30:14+00:00,False,,52.485539,1.753865,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-08-01T19:45:54+00:00,True,,52.252718,0.707851,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Local resolution,True,False
Person search,2015-08-01T21:35:42+00:00,False,,52.056035,1.153387,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,True,False
Person search,2015-08-01T21:40:43+00:00,False,,52.056641,1.152598,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-08-01T21:57:04+00:00,False,,52.055347,1.149531,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,True
Person search,2015-08-01T23:00:56+00:00,False,,52.060508,1.139126,Male,10-17,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-08-01T23:40:40+00:00,True,,52.055773,1.154448,Female,18-24,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,True,False
Person search,2015-08-02T02:45:48+00:00,False,,52.039574,0.729769,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,False,False
Person search,2015-08-02T02:45:55+00:00,False,,52.039574,0.729769,Male,25-34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,False,False
Person search,2015-08-02T09:45:08+00:00,False,,52.222363,0.892131,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2015-08-02T09:50:18+00:00,False,,52.222363,0.892131,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-08-02T09:50:36+00:00,False,,52.222363,0.892131,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-08-02T14:20:22+00:00,True,,52.053952,1.146865,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,False,False
Person search,2015-08-02T14:40:32+00:00,False,,52.053952,1.146865,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2015-08-02T14:40:36+00:00,False,,52.053952,1.146865,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
