Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7bcb159a2bc70a103747d6e16d36c107af536c2289894e566bc2e5a7918bcf6d,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028272,51.808337,On or near STATION ROAD,E01023511,East Hertfordshire 013B,Offender given penalty notice
67bdc91915fa75b1e7593be910521896e61d2543457c4298b8925998ba29a94b,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.569772,51.761078,On or near PARK VIEW ROAD,E01023368,Dacorum 014D,Suspect charged
54b38eea2b6ce3c12284497c523c95a38a9da5f491f660bf5e46deb4137d6c19,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400520,51.659491,On or near Nightclub,E01023861,Watford 009C,Offender given a drugs possession warning
fbef5750a9ff7ea7d58e5ed55be8794f9d7ecd32fe7e02a2d73442177c52cfa0,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
2f05993eb802367a5bbb1d2ddadcbdbe77ea85cb030e0f5e2f25b78f8890bf7b,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
7c46f5eaea21eb5a81c6489487c577f3d91257b973c8e407930033de301847f6,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.213792,51.824430,On or near WELWYN BY PASS ROAD,E01023970,Welwyn Hatfield 002D,Suspect charged
ba76a0d0ecf33a5418acee17ed7ecb443d47c05769ab10a493e868c25e60bcc5,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.283615,51.667453,On or near BALDOCK WAY,E01023536,Hertsmere 006C,Investigation complete; no suspect identified
434c6657b85d6b1378370973c15fb563f87c92ef8814fe5e92406a7d72d59195,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268918,51.665286,On or near DELAMERE ROAD,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
17bc6be5ac7a55c9a74d9e063c1aa3b2571356834f57b30075b247fb09e91d8d,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.257370,51.734085,On or near Sports/Recreation Area,E01023679,St Albans 015C,Investigation complete; no suspect identified
13a8845463da5d04bdffb3598203f43321cc6b176fc5e1a2dcb692cb6bb1232e,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,0.160804,51.869238,On or near Shopping Area,E01023450,East Hertfordshire 004B,Investigation complete; no suspect identified
11f0da2a4510e891f19a32734b5b54cbd7fbcdb8d6368e75d2aebc84f445df45,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,0.154451,51.863356,On or near KNIGHTS ROW,E01023447,East Hertfordshire 007E,Investigation complete; no suspect identified
24f66e4453102c9103d01338a9d7f7f904b6ca46d3cb7da2696a464493f9a20c,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.398649,51.698598,On or near POPLARS CLOSE,E01023904,Watford 001A,Investigation complete; no suspect identified
2e6cfdbc973b0c37fa3e6b3f225f6a58b8d2d1e3aec48943d6aea45c8c93ed19,2015-10,Hertfordshire Constabulary,Hertfordshire Constabulary,0.160804,51.869238,On or near Shopping Area,E01023450,East Hertfordshire 004B,Investigation complete; no suspect identified
