Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
428cd2dbdb2f6e6c77cff8643cacc7210d45494591ad0625313a4318f63c7f71,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
b0b15329be88ef4c33c0e48d7a92bcba2125e7268959c6c80ed1706a0f137cff,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
d1f518fb6e4acee5c7d40e7b6386ba6e99eb6faaf2559e10558576e1765dc1e7,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
427c1ae37dc4bf76e1bb3cbb5e95131964989c33d03a50fce3bf8eb4304293d2,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
45246f9920ba84a0e4882bbb123e13521bad71ba0f40b9dd97b2b32fe4503979,2015-10,Lancashire Constabulary,Lancashire Constabulary,-2.309804,53.793342,On or near WARWICK DRIVE,E01024890,Burnley 004F,Unable to prosecute suspect
893bb03acb610fa7f872ac012e131a2685320ce52aab240a85b2af0ca687183d,2015-10,Lancashire Constabulary,Lancashire Constabulary,-2.225535,53.786844,On or near BROCKENHURST STREET,E01024864,Burnley 007D,Suspect charged
7083ab85b0affb2b85e5dba8a68144a3de7156e8b0d4ef468e3b19e4941a73e1,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
7a83de5d34ac614e0462e57097e60b90e0b12eafeaae2b191e3185fab2cd1eb6,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
3ed380f45af90b9dc21e0a4cdd73d7546b9552284768cdfb83b87f9d5754879f,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
7b5b6d842ddd1b3af3332f60ee191b0a9e33321d1cd171c9a8d6979484a3b21b,2015-10,Lancashire Constabulary,Lancashire Constabulary,-2.324816,53.708716,On or near LOWER LANE,E01025396,Rossendale 002E,Investigation complete; no suspect identified
c610c5454a67873979df6dd08ba636a832564df2f8e444bdf6dead6d186031a5,2015-10,Lancashire Constabulary,Lancashire Constabulary,-2.238403,53.799690,On or near ALLEN STREET,E01024876,Burnley 003C,Suspect charged
73161f6f91c4a0dab08cad61eb51de01c8cda0f1a4657428b64cb86130faf7cf,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
d8097fe945eb8790d30ca623a304e6a4eb1a2fb7617836916b7f9f699764fdfa,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Formal action is not in the public interest
9c600c6891e28fd01c42ac03374fa9b192626d495dfcbf5dbc4c5440af9a6e34,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
555d031187efc5acb57f77caee8512e9e354d72c499cf2317e633faa53fb3dec,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
b32f5ad500a187de6bf24747b049e785f5ba2eaf342fb42c83443fa14e779173,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f8d25812cd4a40db69d37add0b4b97282a016b8c0c6d021d81e974e5a25a6dc3,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
3453c07d711d4f818f13e268d443b4218c305faf59681dcee6e54c7f4ffeca9d,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
769adc26e1cd409be462dd4d312fbe021bdb5a199710c82ea954a39873231636,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
924f73be3c9b0dd9278f48cb77e0d406b6d87754a930854218e23cb671493d35,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
5494ee7736f8976198fa9b6a0917da59144fcbd9b99bb8d34672827efcbcee79,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
ab87a8cb628405d19e0a9dbc39cec43204e7e35df118e342bfaf002bd429e474,2015-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
ad9afc950fe9a37150063b8ad8871d566e0efba41135ff3426db2c5609be17a5,2015-10,Lancashire Constabulary,Lancashire Constabulary,-2.698821,53.769981,On or near ELGIN STREET,E01025294,Preston 011D,Suspect charged
