Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bd8690fbe078cf62acf30ecc5333e19180c7cd89f7799720e5fe9ac75469ebf4,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
ca946cd434f384f3ade44b7eb18db6fa319f765cc584dfa37f39a47bfff8f2d7,2015-10,Leicestershire Police,Leicestershire Police,-1.078017,52.606433,On or near QUICKTHORNS,E01025975,Oadby and Wigston 009C,Unable to prosecute suspect
f292e190fd5d8c0b69bbfcc8f3ede9bb2cbd58e59a6ebc0119ce84efffefb23d,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
d27869a167f7fbfc0bfa13a90c02f1ba548ec6f44408827fe2a80bd97c4c17a7,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
34fda41d166a1d7a5549f13a8effebbc11aeea75e97da10ade4d871e89eca716,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
5f3bc1366b00beb250fe0045f9c16e33b72050fa8626cfac7c6aca7100f97ae3,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
c73b8100d9e06575fe5e78be229ec861ff8b40feb53ef35c51e9f9b3336641c1,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
37e7ed0a67011fa1927004422fc6d938d29f69cf2e24aeec3d78e38ac26b44b8,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
e4bf67416cefce55bf4ffff4baf929faacfcffcc32663f28e82e38c79ac3f8fc,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
4f94b58128966e1616d446eda177a5b999f8606afe169c6553eac414fbd47e55,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
16abefef236d111dbf6f04892eca9007821361649bd94f10ef45df4ddc548ae7,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
e31768b7f890085a4fd33bfd0612c9f931ce67be4561be53abe97327445285a5,2015-10,Leicestershire Police,Leicestershire Police,-1.209925,52.591123,On or near HALL WALK,E01025626,Blaby 006B,Investigation complete; no suspect identified
d922fa57f18ca07065dc7347193bbda6116f364432f10da2290dafd45923b264,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
116b8bed22de99b880d96a147b2a04671ec2db1d6590879b6ded27c009221525,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
5d73c3f9bdb4e283999f9fd6f5c0ac56b0e61632f281cf2ed9861be43c0c1339,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
3c4f0a8cc139ae4218453c2cd34c589f23aff2f6d0fcbb38dbd6f4fa7a65be95,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
90add6ac63f95053b99faa4accdb9f8ca9cfc67c0b36266014a28ef252ac82a0,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
fea756775afef22bd0eeaf5d083439d05afdd05b1d58408245c2c9f6f59e29bc,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
b8901d184e752bca830a0ff5885fd921a352e4921b14c423b7c7bea476d500fa,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
b8c9649be8f20b375c0464a6a883380ad3f1cb8ebd2df5102df6928e475eddaf,2015-10,Leicestershire Police,Leicestershire Police,-1.081380,52.596048,On or near LAWYERS LANE,E01025978,Oadby and Wigston 003F,Unable to prosecute suspect
08751bbaf6b48f4ffb5ccc2c98c2cc1bea323134f7a6932dfd29b0b76c7b83cf,2015-10,Leicestershire Police,Leicestershire Police,-1.094528,52.649316,On or near VICTORIA ROAD EAST,E01013697,Leicester 009B,Unable to prosecute suspect
22fb811c02681f17264303a244509d59926b4b7059ae4dfe1abefc8e7e180fef,2015-10,Leicestershire Police,Leicestershire Police,-1.190853,52.616768,On or near TOP CLOSE,E01025669,Blaby 004D,Unable to prosecute suspect
7ac98ea87355a832f1a66432f44aa63f632ee4e1347dad0600cd40c105cfe993,2015-10,Leicestershire Police,Leicestershire Police,-0.903664,52.475523,On or near BALMORAL CLOSE,E01025800,Harborough 009C,Unable to prosecute suspect
bf7026d2dc4000766618f77b50cb6a58e59a9edb0c019ad18630327b5c7736c3,2015-10,Leicestershire Police,Leicestershire Police,-1.166471,52.666332,On or near Shopping Area,E01013617,Leicester 004A,Investigation complete; no suspect identified
a134f3d5acffa3725ee4bc348b1aafb61fba2524f08294acd20cc2a17120fd29,2015-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
3879c63363341dc05da9baee39a92a6e2c93663cff24a38da02d2ab684c32ea7,2015-10,Leicestershire Police,Leicestershire Police,-1.194905,52.645447,On or near DOMINION ROAD,E01025629,Blaby 013D,Investigation complete; no suspect identified
0c60cfc93533b75255993a56fc098ed70a5eb555dfcf970844f57f3f2eb606d2,2015-10,Leicestershire Police,Leicestershire Police,-1.192879,52.617411,On or near FERRARS COURT,E01025669,Blaby 004D,Suspect charged
95da5e977b7671b98788d1725b76a7bf1c58bf11e368fa65d985c98bff67848a,2015-10,Leicestershire Police,Leicestershire Police,-1.123359,52.633414,On or near SWAIN STREET,E01032873,Leicester 041D,Investigation complete; no suspect identified
fe2843d958d12f15bf038717d3adc4768ffa977b24c29f2a152bd763d33321c5,2015-10,Leicestershire Police,Leicestershire Police,-1.364064,52.551425,On or near Supermarket,E01025862,Hinckley and Bosworth 009D,Investigation complete; no suspect identified
9e115d40b9f5270e07c0bbe985fc97b9a85d458a3b22d3067107ff672797904e,2015-10,Leicestershire Police,Leicestershire Police,-1.147855,52.667800,On or near WHEATLAND ROAD,E01013600,Leicester 003A,Investigation complete; no suspect identified
ed47a9c80019b07da9a0710c29344449099b9f7b26abf26d27790552ef3ba16f,2015-10,Leicestershire Police,Leicestershire Police,-1.048397,52.633555,On or near FERN CLOSE,E01025812,Harborough 011A,Investigation complete; no suspect identified
08788c95c3e741efede68f986fb3dc9ab3dafe8bc92cb92a4e66adea97dae258,2015-10,Leicestershire Police,Leicestershire Police,-1.372753,52.535738,On or near HAWLEY ROAD,E01025849,Hinckley and Bosworth 012A,Unable to prosecute suspect
a30fe269ec3a89d79ba3ca79c05fb0b5677832967b77c23b1a8a29c38a8d8289,2015-10,Leicestershire Police,Leicestershire Police,-1.235406,52.773982,On or near BROWNING ROAD,E01025689,Charnwood 007A,Investigation complete; no suspect identified
24943caf09cb7b12557ed671b8ddc59272b7f6e4ef647e174e90e8001588dc3c,2015-10,Leicestershire Police,Leicestershire Police,-1.132222,52.635062,On or near Gallowtree Gate,E01032867,Leicester 041A,Suspect charged
b07f49250b91038e29112b9bde994f86440ba7d6847589ae0fa5cb57b6b70a5a,2015-10,Leicestershire Police,Leicestershire Police,-1.454451,52.752609,On or near RESOLUTION ROAD,E01025917,North West Leicestershire 003C,Local resolution
0825ebf4b78b46aefb9b721e403d81842b8e6e6d9c1e03aa7229a831b98e8fd4,2015-10,Leicestershire Police,Leicestershire Police,-1.128962,52.637024,On or near Supermarket,E01032867,Leicester 041A,Local resolution
ff4eb23c2f24c1dd148d922bc0b3740f9d43331db3abea991ea32c25d0d85660,2015-10,Leicestershire Police,Leicestershire Police,-1.070403,52.700993,On or near NORTHFIELDS,E01025759,Charnwood 017D,Investigation complete; no suspect identified
9e99ba263e4b92fb6b9985542ba4ea27c6d3b2d640c3971fd547cb06f20818eb,2015-10,Leicestershire Police,Leicestershire Police,-1.083466,52.599373,On or near Shopping Area,E01025977,Oadby and Wigston 003E,Formal action is not in the public interest
ed59e8f258d69fea12ca69b0638517231ac1e8b832ce7247b9d9eb47521e757e,2015-10,Leicestershire Police,Leicestershire Police,-1.173890,52.745692,On or near CASTLEDINE STREET,E01025732,Charnwood 012A,Suspect charged
47419a302e26284d1190b1e5fb76a40d6ea405bebda979ffdd733500edf07e7c,2015-10,Leicestershire Police,Leicestershire Police,-1.185602,52.672865,On or near Supermarket,E01025671,Charnwood 022B,Investigation complete; no suspect identified
f5a757bb732cc05921708f13d093c4d6f5185e8121cc3396f7963396edb7b447,2015-10,Leicestershire Police,Leicestershire Police,-1.293206,52.771014,On or near THE PADDOCK,E01025746,Charnwood 005C,Investigation complete; no suspect identified
