Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-09-30T23:00:00+00:00,,,53.516200,-2.795711,Male,18-24,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False
Person search,2015-09-30T23:15:00+00:00,,,53.468614,-2.872809,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,False,False
Person search,2015-09-30T23:15:00+00:00,,,53.468614,-2.872809,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False
Person search,2015-09-30T23:30:00+00:00,,,53.453139,-2.740560,Male,25-34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,False,
Person search,2015-10-01T11:20:00+00:00,,,53.473891,-2.724921,Male,over 34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-01T11:20:00+00:00,,,53.473891,-2.724921,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-01T14:00:00+00:00,,,53.464803,-2.696267,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person search,2015-10-01T14:45:00+00:00,,,53.430591,-2.745647,Male,25-34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-01T17:00:00+00:00,,,53.426078,-2.805238,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender cautioned,False,False
Person search,2015-10-01T18:05:00+00:00,,,53.475838,-3.030078,Male,25-34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-01T18:05:00+00:00,,,53.475838,-3.030078,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-01T18:55:00+00:00,,,53.424616,-2.841238,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,True,False
Person search,2015-10-01T19:40:00+00:00,,,53.650757,-3.008133,Male,25-34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2015-10-01T22:32:00+00:00,,,53.418152,-2.886205,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,True
Person search,2015-10-02T00:00:00+00:00,,,53.403924,-2.979198,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2015-10-02T00:30:00+00:00,,,53.407963,-2.988662,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T14:15:00+00:00,,,53.467297,-2.917854,Male,25-34,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,False
Person search,2015-10-02T15:00:00+00:00,,,53.454767,-2.734595,Male,over 34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T15:00:00+00:00,,,53.454767,-2.734595,Male,over 34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T15:55:00+00:00,,,53.408810,-2.945041,Male,18-24,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,False,False
Person search,2015-10-02T17:30:00+00:00,,,53.411854,-2.786871,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T17:30:00+00:00,,,53.411854,-2.786871,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T17:30:00+00:00,,,53.411854,-2.786871,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T19:10:00+00:00,,,53.339973,-2.851976,Male,over 34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2015-10-02T19:15:00+00:00,,,53.340001,-2.835290,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,False,False
Person search,2015-10-02T20:00:00+00:00,,,53.342936,-2.853657,Male,25-34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2015-10-02T20:40:00+00:00,,,53.432595,-2.984026,Male,25-34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False
Person search,2015-10-02T21:30:00+00:00,,,53.458103,-2.999436,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False
Person search,2015-10-02T22:05:00+00:00,,,53.438542,-2.971277,Male,25-34,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Firearms,Nothing found - no further action,False,False
Person search,2015-10-02T22:17:00+00:00,,,53.406885,-2.988487,Male,18-24,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,False,False
Person search,2015-10-02T22:30:00+00:00,,,53.411037,-2.838247,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,True
Person search,2015-10-02T22:40:00+00:00,,,53.420064,-2.786421,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False
Person search,2015-10-02T23:00:00+00:00,,,53.402122,-2.980826,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2015-10-02T23:15:00+00:00,,,53.401321,-2.942920,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2015-10-02T23:29:00+00:00,,,53.395444,-2.873070,Male,25-34,Not Stated (NS),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
