Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6521bbc782f0752a6e3e75292eb642863cb98f6c4a1a59b32b0e3bb786fd497e,2015-10,North Wales Police,North Wales Police,-2.988698,53.046111,On or near A5152,W01001931,Wrexham 012G,Suspect charged
5534f51f3a0ceaf0a101c728e28d06af0195cb3b18d7608ab50fe69639349f44,2015-10,North Wales Police,North Wales Police,-2.958952,53.088983,On or near SANDROCK ROAD,W01000396,Wrexham 020H,Investigation complete; no suspect identified
18c13bf5fc48e8a4f061204eb9b10380fc28cf5cf8f89c0f46f9237edfaf9366,2015-10,North Wales Police,North Wales Police,-4.091018,52.580890,On or near AR Y DON,W01000116,Gwynedd 017D,Suspect charged
34eecdb5a87a1f1c0de5c34ab0bea499de3142f0baeeac0108f652e9a2149647,2015-10,North Wales Police,North Wales Police,-3.016149,53.076669,On or near QUEENSWAY,W01000376,Wrexham 003C,Investigation complete; no suspect identified
fe78e69ccbb3ceb26c22d8ea0e17381364e407f3c47884b58adaee9612671dcd,2015-10,North Wales Police,North Wales Police,-3.448207,53.255332,On or near IS TERFYN,W01000246,Denbighshire 010B,Suspect charged
99cf35501339b570c45bd2c285e1839c457f5e614ca27139a0a5a8817bd93cd9,2015-10,North Wales Police,North Wales Police,-3.829355,53.323297,On or near Parking Area,W01000169,Conwy 001D,Suspect charged
c6f9a4d77de96a9a4c23de8b3ea377adb5588e34580690ec6ab7d9e78f3d024d,2015-10,North Wales Police,North Wales Police,-3.764340,53.293064,On or near ORME ROAD,W01000167,Conwy 011C,Offender given a caution
3fc281a4ff1d4be6be9e30c1c33248e7646aaab2aee4f8787f4ca5d6281f8b3c,2015-10,North Wales Police,North Wales Police,-4.078867,52.626330,On or near A493,W01000085,Gwynedd 017C,Suspect charged
3b85e45fffaa83846bcee1995a611dc71dd16be842f737ca1fed765bee72a036,2015-10,North Wales Police,North Wales Police,-3.793540,53.323535,On or near COLWYN ROAD,W01000133,Conwy 002A,Suspect charged
83a82e5618657c92322c62f7a12618d848c63d5d3fedc31559797ae22a13d906,2015-10,North Wales Police,North Wales Police,-3.062337,52.981551,On or near TEGID,W01000409,Wrexham 017E,Investigation complete; no suspect identified
73fc118e3395efcf47a128abc62dc0844767b917634d71d2e77e0547320a9923,2015-10,North Wales Police,North Wales Police,-3.444480,53.257715,On or near GEMIG STREET,W01000245,Denbighshire 010A,Investigation complete; no suspect identified
0b22a1e80850ca03b74b1843e5ae8dd41d4d8b9421a218a587dfc528696d44b1,2015-10,North Wales Police,North Wales Police,-3.419858,53.183712,On or near LON GEFN,W01000194,Denbighshire 011A,Suspect charged
bea0e298ba42929fc78c483e9efd92cf1bf752eeb4f9183129255278d1ecf997,2015-10,North Wales Police,North Wales Police,-3.422434,53.179258,On or near AEL-Y-BRYN,W01000194,Denbighshire 011A,Suspect charged
e982e50c395468c0bd59ece324a99a3a2c8c6ea1ccf5dfb0fa5593997df83de3,2015-10,North Wales Police,North Wales Police,-3.419858,53.183712,On or near LON GEFN,W01000194,Denbighshire 011A,Suspect charged
ca2174676475f5f17ac8eae0f163d2a5b233e7d0207e3d3acd591d2852a36119,2015-10,North Wales Police,North Wales Police,-3.419720,53.184073,On or near Shopping Area,W01000194,Denbighshire 011A,Suspect charged
b831558c6a81a40b43d11a5b96d2781798de16e3f6c4f7e464622d0f60113e20,2015-10,North Wales Police,North Wales Police,-2.991807,53.047685,On or near STRYT CAER,W01000372,Wrexham 008C,Suspect charged
01a14f6400543b06e6a13edca66f3f897f6f90ccdb49666c5811c30635567955,2015-10,North Wales Police,North Wales Police,-2.971582,53.043816,On or near PRINCE CHARLES ROAD,W01000413,Wrexham 010C,Unable to prosecute suspect
f7ca9d502dad070cf37b1e57bc0bcf154a383ff390b431caccdc47b02e46bc5d,2015-10,North Wales Police,North Wales Police,-3.155156,53.258838,On or near BEECH GROVE,W01000253,Flintshire 003A,Suspect charged
364955433c8edf4a42bdb790dc11cc6a4597ebeef9c25f3d43144683f8a0e7de,2015-10,North Wales Police,North Wales Police,-2.994023,53.044772,On or near TOWN HILL,W01000350,Wrexham 011B,Suspect charged
799977af80216bec36a392971d0abe4fbf6b1c2ce588bbe11e8ac2d5775d25b3,2015-10,North Wales Police,North Wales Police,-3.704651,53.290741,On or near MAES-Y-COED AVENUE,W01000139,Conwy 007A,Unable to prosecute suspect
1ae5e3b2dc5968a047ff3d8630e46cc484961c7759e529a0893aaab1473e5e06,2015-10,North Wales Police,North Wales Police,-3.400679,53.336671,On or near PARC CEMLYN,W01000216,Denbighshire 002D,Local resolution
dd6493382cd93aa4618362a6d0ecfd54aa613d52d4ce798b4e9ac51882c3b907,2015-10,North Wales Police,North Wales Police,-4.311159,53.256600,On or near STRYD YR EGLWYS,W01000014,Isle of Anglesey 006C,Local resolution
a901ab11aa6ea60b2fdd84042e10b3653a47f792dd5df5a5354e125d640c5a60,2015-10,North Wales Police,North Wales Police,-3.439548,52.922661,On or near BRO DINAM,W01000205,Denbighshire 016B,Suspect charged
6d6ee99b17816b38baa8cc4c8ac683e2db2c67de04e5c3fbd9e3e7c30b63ecca,2015-10,North Wales Police,North Wales Police,-3.816756,53.321836,On or near Theatre/Concert Hall,W01000186,Conwy 001E,Suspect charged
d815a4001f3b43a2a22fc37d8024c078a7578f844217e036391bbc1526c419f3,2015-10,North Wales Police,North Wales Police,-3.037602,53.207009,On or near CROSSWAYS,W01000336,Flintshire 009E,Investigation complete; no suspect identified
3443f1dac29f8b156ddacb8445dc3f7dc74d4efa312cd6cd7ec2862882801f5a,2015-10,North Wales Police,North Wales Police,-3.059700,52.981494,On or near OGWEN,W01000409,Wrexham 017E,Investigation complete; no suspect identified
67b1c6eb53935dd2feea4427a5a6dba24b4ece331f190b4b32e7a46204d5632f,2015-10,North Wales Police,North Wales Police,-4.062137,53.192141,On or near BRITANNIA STRYD,W01000071,Gwynedd 003B,Investigation complete; no suspect identified
a224adc0bd655c2a43286770681fa56eb294edd4c1b9007660ce167a616f86a5,2015-10,North Wales Police,North Wales Police,-4.515988,53.234756,On or near FFORDD CRIGYLL,W01000002,Isle of Anglesey 007B,Investigation complete; no suspect identified
76af357bd1c8882cd41b504896a7a2d5e73b165de62ff9a48187db4788baa725,2015-10,North Wales Police,North Wales Police,-3.214511,53.290214,On or near TAN-Y-BRYN,W01000296,Flintshire 003C,Suspect charged
40de80464e676321b4439b56ad7b0e52c663257bbac800b31f2ac97811b4b429,2015-10,North Wales Police,North Wales Police,-3.493101,53.321068,On or near QUEEN STREET,W01000240,Denbighshire 004E,Investigation complete; no suspect identified
6f2e844df53981c8bb77366d0c24b0aef7d598d1743eb23fefae00335b09de26,2015-10,North Wales Police,North Wales Police,-2.978587,53.038293,On or near MILLBANK RISE,W01000424,Wrexham 012E,Investigation complete; no suspect identified
cc5a254673418022dc04828a878aafe84f2cc2a1dd342836948cbf22afa79b3b,2015-10,North Wales Police,North Wales Police,-2.989332,53.049045,On or near Police Station,W01000393,Wrexham 009C,Local resolution
8b979919352473c81a56980ed4e284509eaf4cb5b28badec65f12bbe27dcd36a,2015-10,North Wales Police,North Wales Police,-3.798539,53.263173,On or near GLAN-Y-MOR,W01001926,Conwy 011F,Investigation complete; no suspect identified
2d9c0477fcd12aed4b4c21ec564e2a3f34961545d388ce266364e5633bf39aaf,2015-10,North Wales Police,North Wales Police,-3.491007,53.319584,On or near Rhyl Police Station,W01000240,Denbighshire 004E,Investigation complete; no suspect identified
98e05e618e96375dbc745559ab754eff2b154c7b3e07c566ec1fa146900e1fe8,2015-10,North Wales Police,North Wales Police,-2.972341,53.041095,On or near Supermarket,W01000413,Wrexham 010C,Investigation complete; no suspect identified
12a9cc9ce391f592273736329ae2fab7698508f9c9044d341828b636fb8d6e6c,2015-10,North Wales Police,North Wales Police,-2.948601,53.181107,On or near EWART STREET,W01000329,Flintshire 015D,Suspect charged
f020315e010d0fac46615cb1efd53be96a3d17f361cf7cc35df84d5c5ff9f9a1,2015-10,North Wales Police,North Wales Police,-3.228824,53.273536,On or near COED-Y-FRON,W01000306,Flintshire 002A,Suspect charged
f020315e010d0fac46615cb1efd53be96a3d17f361cf7cc35df84d5c5ff9f9a1,2015-10,North Wales Police,North Wales Police,-3.228824,53.273536,On or near COED-Y-FRON,W01000306,Flintshire 002A,Suspect charged
a5ddfcafa5bc221b34f2e50190ec5930dc06b665b5d6c003a9658ef35cd1e4a5,2015-10,North Wales Police,North Wales Police,-2.980912,53.049421,On or near CROSSWAYS,W01000425,Wrexham 010E,Offender given a drugs possession warning
b4edd22509c752d4c33fe227fd40b1535059b9382b3b43e7436b8ff413e1b264,2015-10,North Wales Police,North Wales Police,-3.740075,53.310330,On or near Supermarket,W01000156,Conwy 004B,Suspect charged
11b30cc0ef99616580034b52d44a5110876abf5cdb6b51dc038da45f5858acdf,2015-10,North Wales Police,North Wales Police,-3.050536,53.191614,On or near OLD CHESTER ROAD,W01000251,Flintshire 013A,Investigation complete; no suspect identified
6ce7e16ce2cd0476456960d61a19fc920a37366a5f91804c2976e4ff333ddb43,2015-10,North Wales Police,North Wales Police,-3.076384,52.979798,On or near MEREDITH CLOSE,W01000355,Wrexham 017B,Offender given a drugs possession warning
9dad45d141461075b2c31a93baf19bb6127dd79fc21e2261833bf3544ba9cfb9,2015-10,North Wales Police,North Wales Police,-3.197709,52.915025,On or near B4500,W01001930,Wrexham 019F,Suspect charged
bd328c6a809956fdab0911a862870a813d4167e54275ba8720a5e6cd0815d321,2015-10,North Wales Police,North Wales Police,-4.620308,53.300482,On or near A5153,W01000029,Isle of Anglesey 003C,Suspect charged
72a89a9fa8fd8334b7366d184454d7efd046a8bfeb7cfe13e871f95560a77dde,2015-10,North Wales Police,North Wales Police,-3.581052,53.290241,On or near PENTRE MAWR,W01000178,Conwy 010E,Investigation complete; no suspect identified
3106720dfa811704f8d7558d38eb69448d93a9d26defef68587775ddde07b5ba,2015-10,North Wales Police,North Wales Police,-2.976395,53.036342,On or near THE ORCHARDS,W01000424,Wrexham 012E,Investigation complete; no suspect identified
f754c7b618077f4a075d0b794f8cc873ccf877a7ba66db5c945f29f60a05053c,2015-10,North Wales Police,North Wales Police,-3.824059,53.318470,On or near Supermarket,W01000186,Conwy 001E,Local resolution
c334cbe2bd9b95355146ae26ba0fd3372668d6ab88d8854757ecfa7586339ac7,2015-10,North Wales Police,North Wales Police,-2.998727,53.045650,On or near Parking Area,W01000350,Wrexham 011B,Suspect charged
b9b97bd49d4bb2da81e99cfc45aba5d5190acc2f9d21b446138a6602edc9c4a1,2015-10,North Wales Police,North Wales Police,-3.448207,53.255332,On or near IS TERFYN,W01000246,Denbighshire 010B,Suspect charged
62029710114119f6c893010247ee59437d2f5bf1e4ed0c252abeddcc6ddf8493,2015-10,North Wales Police,North Wales Police,-3.957650,52.936829,On or near COED-Y-LLWYN,W01000114,Gwynedd 009D,Investigation complete; no suspect identified
