Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4c4f92bdae3187f10d081bcdec81d317375b3f876a3db063ed7659c9a096ae03,2015-10,Northamptonshire Police,Northamptonshire Police,-0.936840,52.254470,On or near MORDAUNT LANE,E01027214,Northampton 018B,Unable to prosecute suspect
e64e2e28f8388376e65b5895fd822f9b0eea430d767047294b48da37fd0efaa9,2015-10,Northamptonshire Police,Northamptonshire Police,-0.902162,52.247994,On or near STANLEY STREET,E01027152,Northampton 021B,Formal action is not in the public interest
2751afc450cd61762465e21f1cb5d70c5ad1767d7cb7c6ca3f986d01ea4ae69e,2015-10,Northamptonshire Police,Northamptonshire Police,-0.882278,52.273908,On or near HOLMECROSS ROAD,E01027232,Northampton 001D,Formal action is not in the public interest
8b4e98ef27bfb4c8398eda07e8b7946cee21658fa1b66f8d3b2d33aa8f6dc76a,2015-10,Northamptonshire Police,Northamptonshire Police,-0.897293,52.238167,On or near DRAPERY,E01032979,Northampton 021F,Unable to prosecute suspect
69380d96764a922a330d1ba873e570afcff57f279916894c404989e220a077dd,2015-10,Northamptonshire Police,Northamptonshire Police,-0.733154,52.469829,On or near BODEN CLOSE,E01026954,Corby 008B,Investigation complete; no suspect identified
3970918e54a99875862f305be3f69ac62533e324fbb38c845bfe103f95413bc5,2015-10,Northamptonshire Police,Northamptonshire Police,-0.737964,52.403035,On or near POPPY FIELDS,E01027117,Kettering 007F,Investigation complete; no suspect identified
551ad7268c4b66d66ecb18e46d136d84a519f9670e0a436fb51dfe95e8e1e20d,2015-10,Northamptonshire Police,Northamptonshire Police,-0.515882,52.564105,On or near THE DOVECOTE,E01027043,East Northamptonshire 001B,Investigation complete; no suspect identified
d5e16d2e38a9684f6a232799c458ee6c62d49f8113d2d003e5cad21a2c2cc461,2015-10,Northamptonshire Police,Northamptonshire Police,-0.675061,52.361925,On or near HARVEST CLOSE,E01027101,Kettering 011C,Suspect charged
82f84db73dfa79499c111cafa5dd3fc04c38ee874888b8a522763d334349b9fa,2015-10,Northamptonshire Police,Northamptonshire Police,-0.895223,52.201214,On or near SAFFRON CLOSE,E01027167,Northampton 030F,Local resolution
6312a6d8b614e31ae5e9a61d356c538259284d2d0514063ae700e6fa02a9ce6b,2015-10,Northamptonshire Police,Northamptonshire Police,-0.898569,52.236336,On or near WOOLMONGER STREET,E01032979,Northampton 021F,Local resolution
18368fb67d55c26723e1f0f24e1d1ce2fa07d3d72cd772ba0f48b95ddb412a07,2015-10,Northamptonshire Police,Northamptonshire Police,-0.894302,52.237725,On or near DYCHURCH LANE,E01027223,Northampton 025A,Offender given penalty notice
f512479708710fd3252a06b441b962e61f807e770a6143486385a0b70bbdf6e2,2015-10,Northamptonshire Police,Northamptonshire Police,-1.168133,52.259850,On or near BRAUNSTON ROAD,E01026988,Daventry 007B,Offender given a caution
81ffb58abf42a061d106418900a92b7872d4eb3983b69f438592a6a237245740,2015-10,Northamptonshire Police,Northamptonshire Police,-0.894572,52.239265,On or near Supermarket,E01027155,Northampton 023A,Offender given a caution
616df34395f90016649198ba083de9bf42a15500967e855f9558f27d652acd70,2015-10,Northamptonshire Police,Northamptonshire Police,-0.773719,52.378426,On or near THURBURN CLOSE,E01027119,Kettering 011F,Investigation complete; no suspect identified
a5459f45d1513886ecf066928618b6a13c57a39d51f9cdb44b3e38e687e1e576,2015-10,Northamptonshire Police,Northamptonshire Police,-0.720754,52.485213,On or near MALTON WALK,E01026959,Corby 006A,Investigation complete; no suspect identified
16b58b4b10fb32c70f5334cff0bcff9582a378d09271c019cd6152f4cd71fb84,2015-10,Northamptonshire Police,Northamptonshire Police,-0.719389,52.475920,On or near ALBERTA CLOSE,E01026966,Corby 006E,Investigation complete; no suspect identified
b99d9ceb0f5ea305dae90e52dfd2ccdb233ce4e5bff741a9f4dbc89ac522ba6e,2015-10,Northamptonshire Police,Northamptonshire Police,-0.694279,52.363631,On or near KINGFISHER WAY,E01027092,Kettering 011B,Investigation complete; no suspect identified
2a48261597112dd2d2f06beda263028cab440fb632a5de4ac3a90621fffaf54a,2015-10,Northamptonshire Police,Northamptonshire Police,-0.746375,52.313658,On or near Sports/Recreation Area,E01027346,Wellingborough 003D,Investigation complete; no suspect identified
b0380aae64147bbc3bbe8080607c9058968a60c339bdd784e3ef600239c13ab0,2015-10,Northamptonshire Police,Northamptonshire Police,-0.728877,52.407226,On or near OAKLEY STREET,E01027104,Kettering 007A,Investigation complete; no suspect identified
1522eed333a7f5b64fbbc9dd1e1b885e21833c48b2bc07b23c49cf6d26e66c4d,2015-10,Northamptonshire Police,Northamptonshire Police,-0.900563,52.240976,On or near ST ANDREW'S STREET,E01032978,Northampton 021E,Investigation complete; no suspect identified
b8c7f880de959a7315377ee59894eb5e0bf38cbd036ed2d142eb755332c0b593,2015-10,Northamptonshire Police,Northamptonshire Police,-0.898163,52.240890,On or near SHEEP STREET,E01027153,Northampton 021C,Investigation complete; no suspect identified
0b31b7e3698cf19f5376a4520f03fff02d289627e12a01adedb35b45aeb1cc3b,2015-10,Northamptonshire Police,Northamptonshire Police,-0.887114,52.265143,On or near HELLIDON CLOSE,E01027231,Northampton 009D,Investigation complete; no suspect identified
f13074c9407580d1fc112ae7859424fcfde21d30dc19cd8f2084bb3ed045a4c6,2015-10,Northamptonshire Police,Northamptonshire Police,-0.708734,52.385664,On or near Theme/Adventure Park,E01027130,Kettering 009C,Investigation complete; no suspect identified
70f3e8abf2f4e2ad0bc71020b1e3c0f096280583756eca2e8eef79e17f2d23e5,2015-10,Northamptonshire Police,Northamptonshire Police,-1.031550,52.432595,On or near SULBY HALL OLD DRIVE,E01027026,Daventry 001B,Investigation complete; no suspect identified
0bfd1a4df6ae8af81da60e97a833fc0db0af446385b95b6b4d44946d3029244b,2015-10,Northamptonshire Police,Northamptonshire Police,-0.865356,52.252438,On or near Supermarket,E01027169,Northampton 012B,Investigation complete; no suspect identified
18c83d0ae31fb0d3f31ae5b0a82fea49ef5ddf2577662533ee23900a3b263cb0,2015-10,Northamptonshire Police,Northamptonshire Police,-0.925908,52.407301,On or near Park/Open Space,E01027005,Daventry 001A,Investigation complete; no suspect identified
6e64f21331aa9b6f6fc4e845a506bc2d0cf346bec6ca21acff22d1bf1f9692bf,2015-10,Northamptonshire Police,Northamptonshire Police,-0.833208,52.262734,On or near SPRINGFIELD COURT,E01027198,Northampton 007C,Investigation complete; no suspect identified
b8eff6d63ecace1d50355efc794510ac5fec5a6e4d5623231790737df6371130,2015-10,Northamptonshire Police,Northamptonshire Police,-1.058730,52.416785,On or near CHURCH LANE,E01027026,Daventry 001B,Investigation complete; no suspect identified
ba2237de049d62fcf8300810f3683eb8344e6ad9173c351ec4626dd11fc1c067,2015-10,Northamptonshire Police,Northamptonshire Police,-0.944073,52.210175,On or near Motorway Service Area,E01027254,Northampton 029D,Investigation complete; no suspect identified
c72fd340356882616eaf7b5bfe08677ac20904f5d8c4129ba59ed372e8385d08,2015-10,Northamptonshire Police,Northamptonshire Police,-0.898586,52.256358,On or near CLARENCE AVENUE,E01027191,Northampton 008B,Investigation complete; no suspect identified
b985295c0b33b0a0b33a3ce4ae6163172eec1bfd835364a7524dc47d40469552,2015-10,Northamptonshire Police,Northamptonshire Police,-0.949739,52.256015,On or near MEADOW CLOSE,E01027207,Northampton 019A,Investigation complete; no suspect identified
4da46cc760964ee8f2f38934eebbe0840de8397e7031190876c28a69bdc1000c,2015-10,Northamptonshire Police,Northamptonshire Police,-0.738954,52.469846,On or near MINDEN CLOSE,E01026953,Corby 008A,Investigation complete; no suspect identified
