Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7cb36f0395b3a1441add8f1dfe50d8a31faffcec57aedb4b9f629b4edac23479,2015-10,Sussex Police,Sussex Police,-0.496403,50.816259,On or near NORTHCOURT CLOSE,E01031459,Arun 005E,Unable to prosecute suspect
be8a2d4cc0fef0879f18067f7d7e44a460304fba04566d189cad8c5ed22e184d,2015-10,Sussex Police,Sussex Police,-0.485636,50.816012,On or near MILL POND WAY,E01031415,Arun 005D,Unable to prosecute suspect
526647e38010a7df245a06a18e754c4f58ea61cc3d80cbff4cbd0e6a7b394d93,2015-10,Sussex Police,Sussex Police,-0.120111,50.831398,On or near ELM GROVE,E01016892,Brighton and Hove 018A,Unable to prosecute suspect
a67ccb9f228560e69c16b45f3d8e62ace42d52a61627c1c5b9c1824667ae5941,2015-10,Sussex Police,Sussex Police,-0.541381,50.810131,On or near ANCHOR SPRINGS,E01031454,Arun 011C,Suspect charged
7da274a9a3b2fad3871d2e0480d9c24c7af1f899216dd4efc4296dc58f5537a8,2015-10,Sussex Police,Sussex Police,-0.554327,50.854681,On or near HIGH STREET,E01031392,Arun 001C,Unable to prosecute suspect
32ad15ec3352c6f8b9225c53e89e2353cbe0670f65f97bb68d09cf5bfc400224,2015-10,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
bafbcb0c306791ee2e8452661b5d6577c02de1d63b7cedd67ff44a092bf9f507,2015-10,Sussex Police,Sussex Police,-0.138934,50.819442,On or near GRAND JUNCTION ROAD,E01016952,Brighton and Hove 027A,Investigation complete; no suspect identified
a36b05907ddf42387a2ffb5fea627ea61b6b45499ed553961e3ab5b951e0a3ef,2015-10,Sussex Police,Sussex Police,-0.027027,51.152210,On or near Conference/Exhibition Centre,E01030822,Tandridge 010B,Investigation complete; no suspect identified
32a986220cd50e6acf4e8c838b75e494537db199980af370d55fa74ba041150e,2015-10,Sussex Police,Sussex Police,-0.162257,51.217660,On or near CANADA DRIVE,E01030572,Reigate and Banstead 014C,Suspect charged
235f24cdaa0a62dc98e6d4d61ef1e3493b235db3e958c91474c9f1b7200fd0a9,2015-10,Sussex Police,Sussex Police,-0.305043,51.091775,On or near Park/Open Space,E01031650,Horsham 002F,Investigation complete; no suspect identified
304ac25285a7d0915ebeace4f60bb325331da414a53679c7d6c089ac8420a1d1,2015-10,Sussex Police,Sussex Police,-0.336627,51.064801,On or near RUSHAMS ROAD,E01031636,Horsham 006A,Investigation complete; no suspect identified
9d42cbdeba46bc02b5797f6f3d3084288803df5d9ea95e80f976aa3e26a2ada9,2015-10,Sussex Police,Sussex Police,-0.362515,51.063620,On or near OLD WICKHURST LANE,E01031619,Horsham 007A,Investigation complete; no suspect identified
ef5c29b332c5ca038b169bda1bc18280743469e414c3a18b001a4d356b80ae53,2015-10,Sussex Police,Sussex Police,-0.290094,51.075811,On or near HOLLY CLOSE,E01031671,Horsham 001B,Unable to prosecute suspect
