Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b0c9559f5a1286d437ae3cbb8cc75a078172d85a5e0d7f92a0bfaf8028edb576,2015-10,West Midlands Police,West Midlands Police,-1.970182,52.416489,On or near Supermarket,E01009497,Birmingham 109C,Unable to prosecute suspect
226a7d353e6f1500ad8202a87e5813e55eb5c39a3108a0e8fec042d978dc07fa,2015-10,West Midlands Police,West Midlands Police,-1.966398,52.463200,On or near ELM TREE ROAD,E01009260,Birmingham 073D,Investigation complete; no suspect identified
c7a2c801e38bd03a54718a77537924750c676173adbf70c681841d1187caca44,2015-10,West Midlands Police,West Midlands Police,-1.969284,52.398005,On or near TITTERSTONE ROAD,E01009212,Birmingham 126C,Suspect charged
c8fba19ff8748989946e0dd112ca840147d55c0525fd1a04dab8899673ef4af0,2015-10,West Midlands Police,West Midlands Police,-1.782843,52.496206,On or near WOODSTILE,E01009307,Birmingham 045D,Investigation complete; no suspect identified
dafa0d9ae5ea3836ab4fbb88ceb94e307d7b192252a668fc7a35df2975046214,2015-10,West Midlands Police,West Midlands Police,-1.852294,52.522375,On or near HOSPITAL STREET,E01033630,Birmingham 031H,Suspect charged
a3e223f710857411d332bcecff6fc33122a8316a62413c1cb74201deb5994531,2015-10,West Midlands Police,West Midlands Police,-1.919882,52.401075,On or near ARROW WALK,E01009109,Birmingham 123B,Unable to prosecute suspect
7fc962bc66ffbc8409830ba64951ac13447476cf7a90e02e7473f8f413d464fd,2015-10,West Midlands Police,West Midlands Police,-1.996003,52.389549,On or near LICKEY ROAD,E01009163,Birmingham 129B,Suspect charged
86b19094d0ab3de9231bcaee59720ec6e1f306ba70a5e5845d148383637f875c,2015-10,West Midlands Police,West Midlands Police,-1.957425,52.457992,On or near HIGH STREET,E01009071,Birmingham 087B,Suspect charged
c29f5ecd3d9147100ed93fe44b5f66dee9fd7e2b511e0484f4a19762facf4cc7,2015-10,West Midlands Police,West Midlands Police,-1.477858,52.429788,On or near SULLIVAN ROAD,E01009599,Coventry 013A,Suspect charged
d00cec90aa16f6a71e644ec1b95329a9ec8cb2bc1cfd20b130a2a98385239224,2015-10,West Midlands Police,West Midlands Police,-1.454994,52.432823,On or near CHELSEY ROAD,E01009581,Coventry 007C,Investigation complete; no suspect identified
9528fc6d7ffa5d04f9b27146a6ce749b980f4b11698db91b9365685466657d0e,2015-10,West Midlands Police,West Midlands Police,-1.517316,52.408362,On or near SPON STREET,E01009642,Coventry 031C,Investigation complete; no suspect identified
b2ba6fb3bc132b7e277c42c235e34ae85e8c9570861a95cc11cf4baca590e427,2015-10,West Midlands Police,West Midlands Police,-1.491827,52.405693,On or near ST MARGARET ROAD,E01009635,Coventry 028C,Investigation complete; no suspect identified
651d0515e14ce1c7119331338fd769e5fb4f6c24df4bd65a7d8f4fc916e59be5,2015-10,West Midlands Police,West Midlands Police,-1.576096,52.401404,On or near BLANCHFORT CLOSE,E01009674,Coventry 029A,Investigation complete; no suspect identified
d9710f0e80a8d2c657e1fa97cd734d025f365cd9707ecc7948b7e7beaa11ecff,2015-10,West Midlands Police,West Midlands Police,-1.466479,52.422087,On or near SHIPSTON ROAD,E01009711,Coventry 013D,Investigation complete; no suspect identified
6b87cd7913695702cdcf5e9791869acbd480aafaad2322286d9d3b63b1114125,2015-10,West Midlands Police,West Midlands Police,-1.434518,52.427180,On or near THE KINTYRE,E01009580,Coventry 019A,Investigation complete; no suspect identified
2477d3be8856eb4f565437c12e581ae929d1f4621140f8883dc6bfa3d63e3aee,2015-10,West Midlands Police,West Midlands Police,-1.523927,52.419716,On or near HARINGTON ROAD,E01009630,Coventry 020B,Investigation complete; no suspect identified
227a7a39ac16bfcf4742b5c7484a453610981a1e142b59922abe464d99d9125f,2015-10,West Midlands Police,West Midlands Police,-1.548574,52.417943,On or near WESTBURY ROAD,E01009646,Coventry 022A,Unable to prosecute suspect
ba3bbd4799b5c51324d319f14307908e5938267ddb1ee2084f5a8381e83cff60,2015-10,West Midlands Police,West Midlands Police,-1.903919,52.415285,On or near DAMAR CROFT,E01008973,Birmingham 118B,Investigation complete; no suspect identified
20b021c3b0f5485ccdb07b67da63dc9ea7d410fa5b6e4625a97ee4f49302f5f4,2015-10,West Midlands Police,West Midlands Police,-1.514155,52.408456,On or near Shopping Area,E01009642,Coventry 031C,Suspect charged
b8a02c2395283d3efdb24bf51a24726fcb51b57a79fe9000e3bf621702234d76,2015-10,West Midlands Police,West Midlands Police,-1.497090,52.408232,On or near HARNALL ROW,E01009641,Coventry 024F,Investigation complete; no suspect identified
fd79a685e81d782fda982c31855f034db0370642313d968a499b4046cfe27d20,2015-10,West Midlands Police,West Midlands Police,-1.506754,52.428806,On or near MARION ROAD,E01009566,Coventry 009B,Investigation complete; no suspect identified
2ef441395494847c935a182e8c7f21bdc64c5b1d6c3fe1f9a31e0c8852d57839,2015-10,West Midlands Police,West Midlands Police,-1.527448,52.431507,On or near WALLACE ROAD,E01009527,Coventry 006C,Investigation complete; no suspect identified
8e48a1536ac326b1976f809c61ac37e60c9a84d8f8e11c17da8cc1e7722bec7f,2015-10,West Midlands Police,West Midlands Police,-1.482467,52.426770,On or near Supermarket,E01009662,Coventry 016D,Suspect charged
ed791a79fe8abf884f8afe049d3111e85d9be1d6b307ec536db6b7650bc1e008,2015-10,West Midlands Police,West Midlands Police,-1.495762,52.412560,On or near BROOK CLOSE,E01009641,Coventry 024F,Investigation complete; no suspect identified
415f8e15bbfa2a830cb1d4858ab6ac3dda0873d6941439f5c442a929ed8dcc83,2015-10,West Midlands Police,West Midlands Police,-1.437103,52.436722,On or near NORTH VIEW,E01009578,Coventry 008B,Investigation complete; no suspect identified
afcc9e10acadef27171f5a408c5f0b848694961fb319c5b46abd83026a30353a,2015-10,West Midlands Police,West Midlands Police,-1.462533,52.382575,On or near YARNINGALE ROAD,E01009541,Coventry 039C,Investigation complete; no suspect identified
7d93083010ff04b79ab7ca2f4b9932a5f8f4a94ea4f6bcb002dc7e5738d5e3ae,2015-10,West Midlands Police,West Midlands Police,-2.137939,52.570374,On or near GOLDTHORN ROAD,E01010426,Wolverhampton 035A,Unable to prosecute suspect
4c72b7701b3fe3b135f64b6bafa3588eedf75ee73f90e2216372478026d6d35f,2015-10,West Midlands Police,West Midlands Police,-2.158635,52.601632,On or near CRANE TERRACE,E01010539,Wolverhampton 009A,Suspect charged
35805f2834c8f0817566d577bdc968436b0514c5218b71a932632a25d5d9c90a,2015-10,West Midlands Police,West Midlands Police,-2.094939,52.594877,On or near RUDD GARDENS,E01010564,Wolverhampton 012C,Suspect charged
7fd8afb97a1c7547d64a32b228ee084f7013cfb8f16fef5c58915d0b1147b5dc,2015-10,West Midlands Police,West Midlands Police,-2.116041,52.591416,On or near BURTON CRESCENT,E01010472,Wolverhampton 015B,Suspect charged
b1a571b3e887780cbc68004dcd095129babcbb9b94fd6694a11628df23bc3457,2015-10,West Midlands Police,West Midlands Police,-2.090293,52.596904,On or near Shopping Area,E01010564,Wolverhampton 012C,Offender given penalty notice
9ddc81e0689881582ba16cb837df7e8f6d3d5aa2a54a80b05207b268dadec965,2015-10,West Midlands Police,West Midlands Police,-2.127739,52.573586,On or near SEDGLEY STREET,E01010433,Wolverhampton 035E,Unable to prosecute suspect
77670cc84dd04fbf090867b4ec56c637c3e7c2031966b20de20e74754f7a44b3,2015-10,West Midlands Police,West Midlands Police,-2.052896,52.607777,On or near LEN DAVIS ROAD,E01010554,Wolverhampton 010A,Suspect charged
9cfd7a212a86ad47b34bc6f6bafc5f99ac34b84edcddce3238800af578cc17cc,2015-10,West Midlands Police,West Midlands Police,-2.127739,52.573586,On or near SEDGLEY STREET,E01010433,Wolverhampton 035E,Unable to prosecute suspect
d90b2f2baa26623e5c52499a645052621212ec453ea14e02c4dc31ef03a28524,2015-10,West Midlands Police,West Midlands Police,-2.168876,52.569489,On or near LEASOWES DRIVE,E01010490,Wolverhampton 028B,Suspect charged
395a5d692885ac75d56d2f840ff189ff1d2809c686b51cfc3479b8a22d97a89b,2015-10,West Midlands Police,West Midlands Police,-2.093642,52.595742,On or near NEW CROSS AVENUE,E01010564,Wolverhampton 012C,Offender given a caution
7d8ef9c883e3ccc58e49d1f411c9efc407ca113ea7aad33559921c3685c77f1d,2015-10,West Midlands Police,West Midlands Police,-2.132403,52.564447,On or near HIMLEY CRESCENT,E01010431,Wolverhampton 030B,Unable to prosecute suspect
820a3241128edd0d592a38432e5a1a7afb49e15461229a3d8ace9442c480afce,2015-10,West Midlands Police,West Midlands Police,-2.142627,52.582621,On or near YEW STREET,E01010464,Wolverhampton 020B,Suspect charged
f15e7dbb714391c0c4531862c91a5408e332ce7d07f10e659d80f8fd4d43a4ae,2015-10,West Midlands Police,West Midlands Police,-2.121588,52.579894,On or near VICARAGE ROAD,E01010530,Wolverhampton 035H,Suspect charged
3b9e2749216a20797ba0db432f9fbd7435d5e83f6f1c71a6b5c26f36e34a5a8e,2015-10,West Midlands Police,West Midlands Police,-2.138159,52.593226,On or near RUGBY STREET,E01010529,Wolverhampton 016D,Suspect charged
0213ee788e77e026574b0548f0e3e81035db6a0aa39d252723ea19b9d0d6b809,2015-10,West Midlands Police,West Midlands Police,-2.137852,52.584937,On or near CHAPEL ASH,E01010508,Wolverhampton 017B,Suspect charged
3fc27f724b03623ccf3149e899df6a05d1b12d877c59e6b504b2a98dc4bd3687,2015-10,West Midlands Police,West Midlands Police,-2.114780,52.606016,On or near FOURTH AVENUE,E01010486,Wolverhampton 011D,Unable to prosecute suspect
fa14529148e6f6dda9de7c5875878796b6b504de1afc13f9546e3452ae314ce2,2015-10,West Midlands Police,West Midlands Police,-2.128513,52.585892,On or near QUEEN SQUARE,E01010521,Wolverhampton 020F,Unable to prosecute suspect
2245ae32fd826b4de4bc5bd35ae739757444a954b5b7fa1c5b61844aed784edf,2015-10,West Midlands Police,West Midlands Police,-2.061756,52.617742,On or near BARNARD ROAD,E01010560,Wolverhampton 005E,Suspect charged
f481c799909c11030a2aa6b86cebf3431ed2796b18de47bb4c9bed33f215ec5b,2015-10,West Midlands Police,West Midlands Police,-2.126136,52.570405,On or near RANELAGH ROAD,E01010428,Wolverhampton 035B,Unable to prosecute suspect
528c9e1577ba8783e60ad4b22c4cc89729feadc6ed66f4b756c2b92652812dfd,2015-10,West Midlands Police,West Midlands Police,-2.116623,52.588233,On or near SUN STREET,E01010472,Wolverhampton 015B,Suspect charged
