Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dc07b250e449d399e401aa9cfc10ee0c3ec8d52e1ba90199f0d59d90251209d7,2015-10,Wiltshire Police,Wiltshire Police,-1.792123,51.065370,On or near THE FRIARY,E01032023,Wiltshire 059D,Investigation complete; no suspect identified
df6e24b5f59440dfdfc12870b29f23b60c89c0393c2cea6b8b5ad85d8d639584,2015-10,Wiltshire Police,Wiltshire Police,-1.708699,51.635968,On or near VORDA ROAD,E01015519,Swindon 001A,Investigation complete; no suspect identified
38aab6106a5baa3398713b2fd932ccb410f34e3f4535eaca0b867d4abb5d3058,2015-10,Wiltshire Police,Wiltshire Police,-1.744732,51.551614,On or near PAKENHAM ROAD,E01015539,Swindon 020B,Investigation complete; no suspect identified
8e13f9e2aaa80c398b2aa5cc3ef4ce66f672685811cd1c8425e2f0374bd75b79,2015-10,Wiltshire Police,Wiltshire Police,-1.901853,51.199809,On or near ELSTON LANE,E01032696,Wiltshire 045F,Investigation complete; no suspect identified
65c3c5627c404c1069313d160d02c42d0c6b2d4383c9d5ec03c0916e9a1b68b6,2015-10,Wiltshire Police,Wiltshire Police,-1.780310,51.557962,On or near BYRON STREET,E01032714,Swindon 019E,Investigation complete; no suspect identified
4afbdf2325d5961c9a5c632bf45de4e3cd4e65586d3306cbe2fb8b58dd75262e,2015-10,Wiltshire Police,Wiltshire Police,-1.802593,51.588707,On or near GREEN MEADOW AVENUE,E01015516,Swindon 004D,Investigation complete; no suspect identified
09d9dd9085ba3823d38ef3209d4d4522be03422a16a56d2283529353caf7b985,2015-10,Wiltshire Police,Wiltshire Police,-1.787480,51.560889,On or near Shopping Area,E01015476,Swindon 015B,Investigation complete; no suspect identified
4bcffdfd42373e86ccee5ff1683865d6474ff11a5ea21a5dbbf6856c5502b900,2015-10,Wiltshire Police,Wiltshire Police,-1.788520,51.579206,On or near WAVELL ROAD,E01015580,Swindon 007D,Suspect charged
575956c56497222272fa3a406690af75f80cbe39b684b90af88abb4b480cc580,2015-10,Wiltshire Police,Wiltshire Police,-2.180932,51.203981,On or near Parking Area,E01032103,Wiltshire 044A,Unable to prosecute suspect
bbcbdaa5c2b645057cd3b0a9cb1993399da6557caff78c6ef95cf45be9683ac8,2015-10,Wiltshire Police,Wiltshire Police,-1.793603,51.066442,On or near ST JOHN'S STREET,E01032022,Wiltshire 058C,Investigation complete; no suspect identified
