Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
06cd8bc8e2dc7bce951d6f6a45f5a8f83c9236d60ff877ffb2b142bf8cf95573,2015-11,Cleveland Police,Cleveland Police,-1.217571,54.684259,On or near JOHNSON STREET,E01011999,Hartlepool 007D,Investigation complete; no suspect identified
7be953fab25fafb4a631c4270b470964d7459d06ac6dda0c9a05f576e1625a36,2015-11,Cleveland Police,Cleveland Police,-1.324049,54.577129,On or near LAUREL ROAD,E01012252,Stockton-on-Tees 012C,Investigation complete; no suspect identified
5bc4adadb2266eef59233265e67818de8a971273a243cc710463f89c86b9610d,2015-11,Cleveland Police,Cleveland Police,-1.304102,54.507528,On or near BARWICK WAY,E01012233,Stockton-on-Tees 022C,Investigation complete; no suspect identified
7b7cf3a478c2e8b5dfda901c7de7bea96e9aa48d9b3ec5a4e431251724a3f2b6,2015-11,Cleveland Police,Cleveland Police,-1.203093,54.564108,On or near Pallister Park,E01012076,Middlesbrough 004C,Investigation complete; no suspect identified
c0e3862c4ef628865e321dd1b07ba604fdcf99f65d6d20a8c5dd28c6228aaa2c,2015-11,Cleveland Police,Cleveland Police,-1.175315,54.581069,On or near NORMANBY ROAD,E01033470,Redcar and Cleveland 022G,Investigation complete; no suspect identified
b4ff53dd8bd8be55f1acae7419143452256610be711456226bda88b71252ae0a,2015-11,Cleveland Police,Cleveland Police,-1.220869,54.545099,On or near CHARNLEY GREEN,E01012050,Middlesbrough 014B,Investigation complete; no suspect identified
a22505b91e751d3d1c628f7009edc26f49523a658c626c15d0784d2836eee316,2015-11,Cleveland Police,Cleveland Police,-1.242437,54.691679,On or near Supermarket,E01012003,Hartlepool 014F,Investigation complete; no suspect identified
62a430c18900c371e57d6a620e0ec4bce4e1b6270a94e1d536c7d9c844c072e1,2015-11,Cleveland Police,Cleveland Police,-1.316918,54.558593,On or near PEARSON CLOSE,E01012262,Stockton-on-Tees 014A,Investigation complete; no suspect identified
790f019d5de9b8f56217d3e1b9631e4c507f7300457ace5750d2ea988fc54c3e,2015-11,Cleveland Police,Cleveland Police,-1.221935,54.518324,On or near SWALLOWFIELDS,E01012034,Middlesbrough 019E,Investigation complete; no suspect identified
46c5686e08097aa5cb8f1770c691f60eb68f6d09b4424a90732d0c50e326bf30,2015-11,Cleveland Police,Cleveland Police,-1.234399,54.578752,On or near Parking Area,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
4ec5f9ef206b94a8cacd54b6554cbd109d7de9b6e722d6682acde611ad85430c,2015-11,Cleveland Police,Cleveland Police,-1.173631,54.577849,On or near Parking Area,E01012170,Redcar and Cleveland 022D,Investigation complete; no suspect identified
8968ca9713541511b6ba18b6f01cd363f9e0db20bb829fb07b34a7e220834b9f,2015-11,Cleveland Police,Cleveland Police,-1.261708,54.552940,On or near BALFOUR TERRACE,E01012054,Middlesbrough 009B,Investigation complete; no suspect identified
7889fe6044de9a2161f88ba92b286d3383de63e22c74d8b87fe0a1a5c1247b4b,2015-11,Cleveland Police,Cleveland Police,-1.318682,54.564103,On or near DOVECOT STREET,E01012267,Stockton-on-Tees 014F,Investigation complete; no suspect identified
9ea198d61a9ff674ac09fdee31ffba4811c9a3a6aa01da22b284c6b42b718632,2015-11,Cleveland Police,Cleveland Police,-1.182368,54.571896,On or near WALLIS ROAD,E01012167,Redcar and Cleveland 022B,Investigation complete; no suspect identified
e3366429f339515c4a001f0f10e18c31cf2cd51294973ccb135dbfcfb3ac8682,2015-11,Cleveland Police,Cleveland Police,-1.309747,54.587644,On or near Supermarket,E01012260,Stockton-on-Tees 007C,Investigation complete; no suspect identified
7084fc278473ecc10cd498d16823ffadee273de60a8003eda2e04b2120c15334,2015-11,Cleveland Police,Cleveland Police,-1.236086,54.672128,On or near CATCOTE ROAD,E01011984,Hartlepool 009D,Investigation complete; no suspect identified
bd8eb093776a388521596ed7b68166c8ff89629e911449202ee46cea68bb2942,2015-11,Cleveland Police,Cleveland Police,-1.233669,54.557430,On or near EASTBOURNE ROAD,E01012079,Middlesbrough 005B,Investigation complete; no suspect identified
f229e55cf8320d5bae8e20848d00d80f8013f40b4a11e7d3f04e5d54248acf4a,2015-11,Cleveland Police,Cleveland Police,-1.239138,54.570154,On or near Parking Area,E01012039,Middlesbrough 003D,Investigation complete; no suspect identified
9b897280c7f1098d89507469947fcbd59c083e2fa2cea2716ae6545abfd135d1,2015-11,Cleveland Police,Cleveland Police,-1.284639,54.591677,On or near ROSCOE ROAD,E01012278,Stockton-on-Tees 004A,Investigation complete; no suspect identified
25e7c62b87649d08c3c1f83e025d8569238fc1c36edfc1178eba8a116ec72c39,2015-11,Cleveland Police,Cleveland Police,-1.220389,54.683711,On or near THORNTON STREET,E01011964,Hartlepool 007B,Investigation complete; no suspect identified
3166998fa775f23e37887b77416bc93eefc7f9c0734bfbe05ca69d20b08dda3d,2015-11,Cleveland Police,Cleveland Police,-1.227999,54.567001,On or near Petrol Station,E01012093,Middlesbrough 001E,Investigation complete; no suspect identified
3fb0b3b5edfc90e2c0c53b2b8717064fe621d3463d65ea4ade4ee6fd83651ed3,2015-11,Cleveland Police,Cleveland Police,-1.216990,54.601549,On or near Park/Open Space,E01012198,Stockton-on-Tees 003B,Investigation complete; no suspect identified
42f13093722877556352b6aa6348721192968c6e52e41bfcc91da852ba28d6c8,2015-11,Cleveland Police,Cleveland Police,-1.208943,54.517530,On or near CHERVIL,E01012032,Middlesbrough 019C,Investigation complete; no suspect identified
85fe30379fb9d17ba8392730bbbe0e6b0a1f1e00507b66cceb6f0dc09110463f,2015-11,Cleveland Police,Cleveland Police,-1.212064,54.685077,On or near Shopping Area,E01011999,Hartlepool 007D,Investigation complete; no suspect identified
208f6172f2ad893e3984d665b297117518e4e2c3620a610c680f6e929deaa0b1,2015-11,Cleveland Police,Cleveland Police,-1.194154,54.702044,On or near HENRIETTA STREET,E01011993,Hartlepool 002E,Investigation complete; no suspect identified
04379197137b83776c6fd45e865932413962d11e637a764630ab5f6e30348776,2015-11,Cleveland Police,Cleveland Police,-1.064745,54.523214,On or near WYKEHAM AVENUE,E01033472,Redcar and Cleveland 019G,Investigation complete; no suspect identified
6e0e668c6db885d4b987ebe190a72fd72df67072d71cc389d1642d4687cbfaba,2015-11,Cleveland Police,Cleveland Police,-1.330775,54.555624,On or near HARTBURN LANE,E01012218,Stockton-on-Tees 016C,Investigation complete; no suspect identified
861c89d7639b323faed64850b1ab72d6650eabe5a676b9bdd2ccc659c88dd1b9,2015-11,Cleveland Police,Cleveland Police,-1.318433,54.567886,On or near DURHAM STREET,E01012267,Stockton-on-Tees 014F,Investigation complete; no suspect identified
a73f889fb25f00e291cf605759333ef52558abf3331d7379fcf45a3846dea1a5,2015-11,Cleveland Police,Cleveland Police,-0.976887,54.578521,On or near THE ROSEWAY,E01012161,Redcar and Cleveland 007D,Investigation complete; no suspect identified
95015c047873269044f96290772e41a5ed4a92854917d2548d8d7271b427e4f0,2015-11,Cleveland Police,Cleveland Police,-1.333709,54.587140,On or near RUTHIN CLOSE,E01012274,Stockton-on-Tees 008F,Investigation complete; no suspect identified
e6e3e3e4c10470e1d0a37a2554559788da42f6015f8eb8556f34478f2bacd22d,2015-11,Cleveland Police,Cleveland Police,-1.301282,54.542426,On or near LILAC AVENUE,E01012291,Stockton-on-Tees 019B,Investigation complete; no suspect identified
0c78a103899edab35a21762d285c23268a545ebd83ff3a7e0958715b6607735c,2015-11,Cleveland Police,Cleveland Police,-1.246253,54.654029,On or near LINCOLN ROAD,E01011962,Hartlepool 012B,Investigation complete; no suspect identified
035a1baccfb970fcc57565e2a827d827f085a73513d53bec71f7b3486e1a6825,2015-11,Cleveland Police,Cleveland Police,-1.243866,54.560433,On or near WESTMORLAND ROAD,E01012081,Middlesbrough 005D,Investigation complete; no suspect identified
b7428ce29a1b6fd9f6280b41aac410fc87ff261fdb733f2b1d899ea300fb3d27,2015-11,Cleveland Police,Cleveland Police,-1.150985,54.570260,On or near AVONDALE CLOSE,E01012175,Redcar and Cleveland 009E,Investigation complete; no suspect identified
1cd26b708b0cec0a6de09d224bb0f9e4831d18e1fb420f76ef0f354465ec2c4f,2015-11,Cleveland Police,Cleveland Police,-1.216583,54.524329,On or near Shopping Area,E01012030,Middlesbrough 019A,Investigation complete; no suspect identified
70c407b7829caf3ce7cae58e476768eef2515bf79e508c3aa449ce6d184d15ea,2015-11,Cleveland Police,Cleveland Police,-1.142074,54.557103,On or near BARNABY CRESCENT,E01012111,Redcar and Cleveland 011D,Investigation complete; no suspect identified
ea78b49d60bbf24fc7d7c44a7deaac562b22229f266591bce575cf25ecf5d697,2015-11,Cleveland Police,Cleveland Police,-1.179896,54.550157,On or near A171,E01012017,Middlesbrough 007C,Investigation complete; no suspect identified
337f8aa013452394837392e0ce8b66c28e897ca794059d725ecf442128d890f1,2015-11,Cleveland Police,Cleveland Police,-1.149448,54.564587,On or near NIGHTINGALE ROAD,E01012172,Redcar and Cleveland 011F,Investigation complete; no suspect identified
b48be868066e634ad33c0015bdedb2c721ce43a889fea64f996e3d43931eb914,2015-11,Cleveland Police,Cleveland Police,-1.285140,54.571899,On or near Supermarket,E01012266,Stockton-on-Tees 014E,Investigation complete; no suspect identified
9fcc6aaa5f385efe36653d72b345ec7d2c77128959e8408d9da6211f16406c81,2015-11,Cleveland Police,Cleveland Police,-1.224806,54.705065,On or near Sports/Recreation Area,E01011952,Hartlepool 002A,Investigation complete; no suspect identified
4a1cb5de244c26753b178dfc614e82e08a3cda870e50625fb58432bbd077e5f6,2015-11,Cleveland Police,Cleveland Police,-1.304710,54.574458,On or near COWPER ROAD,E01012266,Stockton-on-Tees 014E,Investigation complete; no suspect identified
8afe08cc253c4b3f188c16d6c6382177828080d79b7da078e66208b0e9a186aa,2015-11,Cleveland Police,Cleveland Police,-1.244833,54.658721,On or near KINBRACE ROAD,E01011977,Hartlepool 012C,Investigation complete; no suspect identified
54f87190e85b4f265852fd42f3e4727d9cadce4a92a7054607423455721090dd,2015-11,Cleveland Police,Cleveland Police,-1.209224,54.541339,On or near LADGATE LANE,E01012064,Middlesbrough 020C,Investigation complete; no suspect identified
37c1fc1177a3dc042cd79f699e63b9cb57d041254bb90b2dff32a660835e6b22,2015-11,Cleveland Police,Cleveland Police,-1.070854,54.603230,On or near ROSEBERRY ROAD,E01012143,Redcar and Cleveland 002C,Investigation complete; no suspect identified
8610121df4f4daa01309f5abaaab1ab34b194eea9865755a6c8a48fa6228441f,2015-11,Cleveland Police,Cleveland Police,-1.336751,54.588514,On or near RIEVAULX CLOSE,E01012273,Stockton-on-Tees 008E,Investigation complete; no suspect identified
8077dc21cc2f6631d6392e95aacdf2bbf595c4b509cee35623faf228ea460ecb,2015-11,Cleveland Police,Cleveland Police,-1.203093,54.564108,On or near Pallister Park,E01012076,Middlesbrough 004C,Investigation complete; no suspect identified
