Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-11-01T00:00:00+00:00,False,,52.915731,-1.448240,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2015-11-01T00:00:00+00:00,False,,53.136736,-1.547433,Male,,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person and Vehicle search,2015-11-01T00:00:00+00:00,False,,53.001695,-1.671630,Male,18-24,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2015-11-01T00:40:00+00:00,False,,52.897725,-1.476134,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-11-01T01:18:00+00:00,False,,52.895327,-1.268755,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-11-01T03:54:00+00:00,False,,52.824870,-1.432102,Male,18-24,Mixed - White and Black Caribbean (M1),Black,,,Nothing found - no further action,,
Person and Vehicle search,2015-11-01T14:33:00+00:00,False,,53.021522,-1.471162,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,False,
Person search,2015-11-02T15:50:00+00:00,False,,52.901820,-1.481317,Male,25-34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-11-02T21:33:00+00:00,False,,53.077659,-1.364252,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,,
Person search,2015-11-02T23:45:00+00:00,False,,52.933130,-1.445430,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-11-03T00:00:00+00:00,False,,53.138399,-1.538103,Female,10-17,White - Any other White ethnic background (W9),White,,,Nothing found - no further action,,
Person search,2015-11-03T00:00:00+00:00,False,,53.138399,-1.538103,Female,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person and Vehicle search,2015-11-03T11:18:00+00:00,False,,52.975833,-1.304137,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-11-03T12:15:00+00:00,False,,53.049739,-1.407999,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2015-11-03T13:20:00+00:00,False,,52.908320,-1.479366,Male,25-34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-11-03T13:20:00+00:00,False,,52.908320,-1.479366,Male,25-34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Nothing found - no further action,,
Person search,2015-11-03T13:20:00+00:00,False,,52.908320,-1.479366,Male,over 34,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-11-03T13:40:00+00:00,False,,53.233796,-1.427562,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,True,
