Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
936434e93c0773ae251709164657a562380003f39d5c35d8b10f4be54cfa9565,2015-11,Dorset Police,Dorset Police,,,No location,,,Offender given conditional discharge
63842529812c1bef7dfc58fed81d12a738546417f2a074745da57e36ae45d909,2015-11,Dorset Police,Dorset Police,,,No location,,,Offender given community sentence
1f203b7f4523234a819ed69b47fd7b72abefacecca662d4ba123145bf2bef147,2015-11,Dorset Police,Dorset Police,,,No location,,,Offender sent to prison
62360f62d30972b1ade291aeb7e89b4a4d025d1e85d1c4cd9f000dcbcdd97626,2015-11,Dorset Police,Dorset Police,,,No location,,,Court case unable to proceed
016c2b2aa356c0449473db1f838be8f319d288912bfd4b4ae4b19d100a28713e,2015-11,Dorset Police,Dorset Police,,,No location,,,Offender given community sentence
bf55f6ecccc90f40d51abe3c92a0513363cab027141424dbfb7a1e453a36fa4b,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
3a9b52f549c39fc57a39611295a7ba1ebfa4bac9d403030ad6ffb30103e1809d,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
882c57d2065f1ea2d4abb824589047aa038e657188fa8cad87e4236be5620f3a,2015-11,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
17016a731f490d1f06b13aff46f0357e97923b801bbb138a07f46a7c0967857a,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
896202a28d3f5c2c0e9e81be40ae44fd58f51435d903d31fb14629aa830de70a,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
d2d59119fc1522ec825dbdca249d2174e1f49f8a41cea22f23c72d21fc32c5aa,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
b49c2010fac8cf78163de7978567a02f42c35129eff3d2b00b98e221b7320fe4,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
f7e86475f23ea939b869d5bb6da25027d5ff154d7ca39d857973d04f3418ae40,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
81b023b735d007c362dc15d1c280c6898ddb9c486d5db8fecfb575849fabf77e,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
c08c86990eb2cf18f38d045c03f8a59ff6674326a74679ae17d917caff6b18a1,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
d86e5811b39e8286ac4d3dfcc73c7ced7aa77b9d37b9673b5fa74fc923fd3dcd,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
598f610fa0bc534eadf9bbd04ae7dbef0a0606e9dde5c07234389062cbfc6d06,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
6f02dc5f27b55879ed78e370e994c40735cb7d5f4e91acd0e56ca36bdb7b2b51,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
e36dfc98b323e69c63e5a9076e287d071e442ebe43aadf6eed061e8eda96a102,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
67f67bb4ca88a5d8d4016f50ecdc32e54816417bd94cd2a97c8c4452dc5483a4,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
572d5bfcb2b2c427b00c0eefc90b4c5793965ce4119c9da040d82958a31cb9fb,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
1906622b967a255cda03dc716380f43c6801ab9fc3f1dc51159feae2d5ac13a5,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
5de2ac5d7273fdd97787e7f550de8ac22fb1d6827819a29700dcf9d557eed577,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
f8dbd2ad9e485815a9847ebc8b30b67d4816546f8f2f8de99be6537acbfa195b,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
92cde9b7cd3adaae18b9db9eb4f1fc37c405404073da76607dccc78ec6c7ddb6,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
b993ef60eabc9cd969d1ec1e4e496fa30c7ab72d2d839023166b5cb77c23e671,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
01db39ebd1b96fcf572aac3a3b974b0128c3f0a76d1b0c9bf769ef2cd85998a4,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
01db39ebd1b96fcf572aac3a3b974b0128c3f0a76d1b0c9bf769ef2cd85998a4,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
1f203b7f4523234a819ed69b47fd7b72abefacecca662d4ba123145bf2bef147,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
e0163014848da872eb28ab105bb6a729dca0b0892009aac0088a348dfbfb30a1,2015-11,Dorset Police,Dorset Police,,,No location,,,Suspect charged
2f7f65e7fc4477551d3d5daefdd1c56710e739aa4ce7dfe00ad2c818c079bf21,2015-11,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
240f49deea9017a7f0c354769faed71f55b80a037e6825a32df0c66d794badd3,2015-11,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
b91c4e815abab525929c69aa7010080974ac34c5a0c1a5eddaa26edb52779853,2015-11,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
988e475355aadc4df47ae190e6f33a8b49776e46df00c7ad2e76d4ad15bd35a8,2015-11,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
179c0d69fa16477903c2caaea83d94df26ffe929f22994b5b8d72ce42e06fd8a,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
554787b187793e6838b8922ab56420b6a62f870667c630092f326bdacefe2c1d,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
2741859b0663282d55d21751095dc0fadc9d88a148e4f8622b1975866ac4deb6,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
5982c92a7dd67e37fb40d63adcb998aec7b8e4ba3a1f2106c88f554265cbcf4e,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
ed3948964f24c2c5f5b333a3ef822b9e3663a67efc6165bda3692fd05672255b,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
5868f53ca34433ad428c8721d18f1d6106513ebeaeaaf7f8580bf8c5e397f696,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
4c6ef24d3c64655a2c2ada02692e1d0d60cbb4b815aa90d6c2321a3a6cfa97df,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
0472fc4c31fd7a683c7925de1ffc5ee003eb4353b081dcdc580ff7290e0ffffe,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
9e9cfbd0c5b497b1e33aee89d446fce66cab545f08eadf9fe496b58734c8ab54,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
d6e7a551f1ff21b1655000be4ceb7119538ee823cb1f26bbc405d4ba7462c19a,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
2d73eb3913a269b9f70a6a41b94a6eb4e6f333f30eb049292a06e465f9c3dc55,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
808cf0ca3ac1f65f7a6474b0bf98b85855ef59e2caef6b74e8946d0c9fec3985,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
e5098a153217a60ad93351579467d248048dfd5dea1b520f70cfc12d2954c01a,2015-11,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
8ea472302d7cda143dfe6f4127a2ac919db05ba0bcb24f190c4914d699db8b72,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
6d068715db502d10be29d8b2ea42fea97910ee93c214c7be01731cb7f94b268f,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
a25377fc92f6b7962af195f7ef952b1726f9223c2de28e69312ee86bbb043f29,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
b922ad44849f66efc1023e40acabb4d6ea1016b6aee33287d0418cc5d74d9f3a,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
859851699425e54c4c2f43ee48e7a95390054dbd6da0f09b738a2aa1483a638e,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
c558ac43cbc7d4be27605fba2234754b3ed70e825ff82559beee1c143ec1d393,2015-11,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
dee8e212f0e5323c1c65430a980b1a9639f26f47b5f311d574e30d6ce843e454,2015-11,Dorset Police,Dorset Police,-1.929519,50.755611,On or near HIGH HOWE LANE,E01015308,Bournemouth 002C,Suspect charged
679dc8ec9a0b942332f97ce0abd527c77860b6b712e2dce79e6c9eed9b36e190,2015-11,Dorset Police,Dorset Police,-1.876634,50.720496,On or near Shopping Area,E01015283,Bournemouth 017A,Suspect charged
679dc8ec9a0b942332f97ce0abd527c77860b6b712e2dce79e6c9eed9b36e190,2015-11,Dorset Police,Dorset Police,-1.876634,50.720496,On or near Shopping Area,E01015283,Bournemouth 017A,Suspect charged
679dc8ec9a0b942332f97ce0abd527c77860b6b712e2dce79e6c9eed9b36e190,2015-11,Dorset Police,Dorset Police,-1.876634,50.720496,On or near Shopping Area,E01015283,Bournemouth 017A,Suspect charged
679dc8ec9a0b942332f97ce0abd527c77860b6b712e2dce79e6c9eed9b36e190,2015-11,Dorset Police,Dorset Police,-1.876634,50.720496,On or near Shopping Area,E01015283,Bournemouth 017A,Suspect charged
a00f6412e7d39d1373765d6e73d2540e4406b95b628523227eae18eea0e172cc,2015-11,Dorset Police,Dorset Police,-2.469862,50.614631,On or near RUTLAND ROAD,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
4aefd39d8ac394ec91889ccbbdfa77274e750245f95d03f77086427cda629c9a,2015-11,Dorset Police,Dorset Police,-1.837222,50.725501,On or near WESTBY ROAD,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
928cfcf29aeccdebe8e389dfc9ea836fdfbec56a34a44435641f0652600dca46,2015-11,Dorset Police,Dorset Police,-1.721093,50.742089,On or near BURNSIDE,E01020369,Christchurch 004A,Investigation complete; no suspect identified
512c43f3bc0e5a79f88144a4f15c08052dfe3e0d55c923255500b624620d8918,2015-11,Dorset Police,Dorset Police,-1.922165,50.727765,On or near Shopping Area,E01015390,Poole 010A,Investigation complete; no suspect identified
512c43f3bc0e5a79f88144a4f15c08052dfe3e0d55c923255500b624620d8918,2015-11,Dorset Police,Dorset Police,-1.922165,50.727765,On or near Shopping Area,E01015390,Poole 010A,Investigation complete; no suspect identified
