Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7d7a955deee7b2262dc871a0684432b38a0cb207a33322fd4cc00eb0029715dc,2015-11,Essex Police,Essex Police,0.695338,51.558684,On or near HOBLEYTHICK LANE,E01015868,Southend-on-Sea 002F,Formal action is not in the public interest
fea1dcb8bfb2bb667bafff309c83003f413dc655a240ee519add123a79f84342,2015-11,Essex Police,Essex Police,0.123124,51.652126,On or near SAWYER'S CHASE,E01021770,Epping Forest 010A,Investigation complete; no suspect identified
25fada910de566a4fc248c9e694e61837416ab2a5e4de937035c115b1afd48bc,2015-11,Essex Police,Essex Police,0.902885,51.887993,On or near SHORT WYRE STREET,E01021649,Colchester 007D,Suspect charged as part of another case
ced4d766b058f7a7b27a77a214b3ca190bfad3a633720d1aa311ad110628cac0,2015-11,Essex Police,Essex Police,0.694182,51.550103,On or near HIGHFIELD CRESCENT,E01015907,Southend-on-Sea 007G,Formal action is not in the public interest
535c1706783b3db30d5f0e743ba84c420716c7871e98b88d7f645bfe4b54b0a9,2015-11,Essex Police,Essex Police,0.841312,51.878219,On or near ROWAN CLOSE,E01021721,Colchester 012D,Offender given a caution
e9e95771701c831b2f9a81f37f1c84a0261b8e7d8d00b5511c06b0b55ee49dd6,2015-11,Essex Police,Essex Police,0.397896,51.574387,On or near Petrol Station,E01021277,Basildon 014D,Suspect charged
eb02bd145469b650e2b0bea61c6c720e39bfeccd5cf6d87a7cf9ae0ad8900fee,2015-11,Essex Police,Essex Police,0.703441,51.553964,On or near Parking Area,E01015861,Southend-on-Sea 004E,Formal action is not in the public interest
cf9f2a204ecffa45dece4bec93de7f9472e9ce818b5df5283e9a90027132f9c3,2015-11,Essex Police,Essex Police,0.901325,51.890172,On or near GEORGE STREET,E01021649,Colchester 007D,Suspect charged as part of another case
a510bef03481624685b8087c56e931462466407605ff4a7075f5b1d4bb443eb8,2015-11,Essex Police,Essex Police,0.904274,51.852506,On or near CHERRY TREE LANE,E01021658,Colchester 016B,Investigation complete; no suspect identified
fe5a5f3308b0ec5a891d837f561094e09909d4e464f62bb781c0fd1fe13f82dd,2015-11,Essex Police,Essex Police,0.534544,51.868918,On or near A120,E01021383,Braintree 010C,Suspect charged
696f7a6f40523b3b229487c08f644c4409e7425d5bde8663a89a545a49e3b17e,2015-11,Essex Police,Essex Police,1.141178,51.823551,On or near Sports/Recreation Area,E01022016,Tendring 007C,Suspect charged as part of another case
7e5e2933e984a1befba214190ef8c97e4abda5aef16f7a3648d89517e6c86360,2015-11,Essex Police,Essex Police,0.908973,51.883238,On or near MILITARY ROAD,E01021686,Colchester 011D,Formal action is not in the public interest
fea8436bf260bfc134386d36369909d168405d6c52a108f3c60f4ff69fdac79c,2015-11,Essex Police,Essex Police,0.468394,51.576944,On or near FALKENHAM END,E01021268,Basildon 015B,Suspect charged
7b33714f14c9597d45a095fd5d7aa0bccaaa34a719d9f49ee180e6d062e4aef6,2015-11,Essex Police,Essex Police,0.941187,51.886493,On or near AVON WAY,E01021698,Colchester 008C,Formal action is not in the public interest
6166c03c06251cc9aaa2dc415ec4d456d1285df4e93540cbb481bf8a38bef3f9,2015-11,Essex Police,Essex Police,1.142919,51.783723,On or near THE COPPICE,E01022037,Tendring 017D,Local resolution
81b4b3480bec2110d6c21da92e407c6c295e47a26f66ca7951b5fa0cd2969584,2015-11,Essex Police,Essex Police,0.693199,51.597180,On or near THE BRAMLEYS,E01021931,Rochford 002E,Investigation complete; no suspect identified
c990a2f2d642d1626add2519ef5ee0aa72cdf660d5ebd38f8f54ab2457c906f0,2015-11,Essex Police,Essex Police,0.094835,51.767145,On or near Pedestrian Subway,E01021872,Harlow 007E,Suspect charged
23c544ef60083f9b6b45d11f9b2954b601f412d57c04b70a4444bd85b74201ea,2015-11,Essex Police,Essex Police,0.461407,51.562495,On or near LANGLEYS,E01021299,Basildon 020E,Suspect charged
bdd6ed88507cfcb5f4c6d040e82ed4eab733b593d6a615ca9b39842a9896153f,2015-11,Essex Police,Essex Police,0.455025,51.557871,On or near FOBBING FARM CLOSE,E01021297,Basildon 020D,Local resolution
d30017a23eee6ad4bd67b922607b46f581323b59a3862795a126dc6f7ebbbcca,2015-11,Essex Police,Essex Police,-0.002165,51.686760,On or near Supermarket,E01021818,Epping Forest 009C,Formal action is not in the public interest
04dc53e64cb9de05c784b513b863ea4832aaeabe75f75a2e9f433e142a2abe37,2015-11,Essex Police,Essex Police,0.086622,51.661584,On or near Sports/Recreation Area,E01021774,Epping Forest 011A,Formal action is not in the public interest
2f09a211684ee42f20b46250567b89814c5ea96ddf83fa7b2d454445b4b84670,2015-11,Essex Police,Essex Police,1.118338,51.784127,On or near TUDOR CLOSE,E01021989,Tendring 018B,Offender given a caution
d6a1af13712e85fbded378dfe72f8324a3bb8c41643a49d6424c43b29d0bf9e7,2015-11,Essex Police,Essex Police,0.161920,51.714555,On or near BEAUFORT CLOSE,E01021799,Epping Forest 001E,Unable to prosecute suspect
fea8436bf260bfc134386d36369909d168405d6c52a108f3c60f4ff69fdac79c,2015-11,Essex Police,Essex Police,0.468394,51.576944,On or near FALKENHAM END,E01021268,Basildon 015B,Formal action is not in the public interest
2b1c015b4f6a2367b839f47484ffae41ab160ac75661a63e5a0cec76d3b259c4,2015-11,Essex Police,Essex Police,0.902706,51.887692,On or near VINEYARD STREET,E01021649,Colchester 007D,Suspect charged as part of another case
57c3e4f3869f3ffda581a79923dc7039308f59172e2a853c0396f9c0a4a88790,2015-11,Essex Police,Essex Police,0.515670,51.574699,On or near CLARENDON ROAD,E01021314,Basildon 018B,Unable to prosecute suspect
2dc50ed6b6b427fbe05efc2a757610fcc1c894dcad9977aefcedd8856dddf723,2015-11,Essex Police,Essex Police,0.941329,51.947377,On or near Sports/Recreation Area,E01021655,Colchester 001A,Offender given a caution
33aa52715729a799798deecede3a3c2daa27281981cf52d4782163db5f0a94df,2015-11,Essex Police,Essex Police,0.592568,51.518623,On or near WINDSOR CLOSE,E01021498,Castle Point 011B,Investigation complete; no suspect identified
fcf2d1eab917d84b1fb4dc5acec812dc7fe0646ac41864f60dee2a319127f80d,2015-11,Essex Police,Essex Police,0.419838,51.576364,On or near VICTORIA CLOSE,E01021273,Basildon 014A,Investigation complete; no suspect identified
f9746b73aea497251f119bd2eabe91ff6f0b72553a5c98b833b78198b6a30c3d,2015-11,Essex Police,Essex Police,0.232047,51.482568,On or near HIGH STREET,E01016014,Thurrock 015E,Formal action is not in the public interest
c6d67fb0bd7676b443e2eb2f5aafd770d9dea54c1e69473afbe872eed3327f65,2015-11,Essex Police,Essex Police,0.477029,51.572769,On or near FAIRLOP GARDENS,E01021321,Basildon 015E,Formal action is not in the public interest
57c3e4f3869f3ffda581a79923dc7039308f59172e2a853c0396f9c0a4a88790,2015-11,Essex Police,Essex Police,0.515670,51.574699,On or near CLARENDON ROAD,E01021314,Basildon 018B,Unable to prosecute suspect
346871b3fb5a574c7c8538694737145198e7565a67fe738e4879772664bcbdcf,2015-11,Essex Police,Essex Police,0.550680,51.898111,On or near DEAN ROGERS PLACE,E01021356,Braintree 007E,Unable to prosecute suspect
4efd5abed95c844271196ac4be1b3c988bc4ddba42c62315341bc725efcad1b8,2015-11,Essex Police,Essex Police,0.347165,51.632311,On or near RAYLEIGH ROAD,E01021451,Brentwood 003D,Suspect charged as part of another case
4726016c6be83656307863f8cc3800880fb774a467bd3aa6890c63fde18dda81,2015-11,Essex Police,Essex Police,0.419838,51.576364,On or near VICTORIA CLOSE,E01021273,Basildon 014A,Unable to prosecute suspect
4726016c6be83656307863f8cc3800880fb774a467bd3aa6890c63fde18dda81,2015-11,Essex Police,Essex Police,0.419838,51.576364,On or near VICTORIA CLOSE,E01021273,Basildon 014A,Unable to prosecute suspect
a09de3b4fc7c5e57ffc2e3efa8634b3107da0262f3f9e2ec3d10e9603348f8c2,2015-11,Essex Police,Essex Police,0.134703,51.771688,On or near ALBA ROAD,E01021857,Harlow 001D,Unable to prosecute suspect
4f16143ee385add50057c2af98834353f7cc32a44e9b5cc15fc357fd7d54d2a9,2015-11,Essex Police,Essex Police,0.403692,51.562784,On or near TORNEY CLOSE,E01021284,Basildon 021E,Formal action is not in the public interest
4726016c6be83656307863f8cc3800880fb774a467bd3aa6890c63fde18dda81,2015-11,Essex Police,Essex Police,0.419838,51.576364,On or near VICTORIA CLOSE,E01021273,Basildon 014A,Unable to prosecute suspect
855d7c386298a31c5cfc992c2224f276bf771561619bbef512994844db87d520,2015-11,Essex Police,Essex Police,0.002785,51.689427,On or near MARGARET CLOSE,E01021812,Epping Forest 009B,Investigation complete; no suspect identified
f8a725a8830b1b9f7672d5d627cc6a809ac6ee490b0b93263cc2deae3331d090,2015-11,Essex Police,Essex Police,0.813579,51.632237,On or near FALKLANDS ROAD,E01021881,Maldon 008F,Local resolution
3efae1d29f3cea8f6fb64cecdaa36bdc31cf892bf3cc9bfffde26c52fd27590e,2015-11,Essex Police,Essex Police,0.372233,51.485606,On or near ST MARY'S ROAD,E01015934,Thurrock 012B,Unable to prosecute suspect
db4261a858b7584d029fdd0eeb8073db8b7bceeb5d56f205e4ce834c1734994a,2015-11,Essex Police,Essex Police,0.339788,51.489136,On or near LODGE LANE,E01015964,Thurrock 010B,Investigation complete; no suspect identified
0f2fbf323de92d9f9cd893153281bdf4ec3be6d6229559bcaa23a23e37abbaf3,2015-11,Essex Police,Essex Police,0.900615,51.887717,On or near VINEYARD GATE,E01021649,Colchester 007D,Suspect charged as part of another case
0185d6e66445c402487df7633c80aa7fa1058c7e4ed67d65a7e3b7b8e3646d45,2015-11,Essex Police,Essex Police,0.423863,51.583655,On or near Petrol Station,E01021274,Basildon 010D,Formal action is not in the public interest
3f07eed3e0957d5b73f9a28995217811d22b76f6db710d7d87beffc90dc7252f,2015-11,Essex Police,Essex Police,1.271384,51.927535,On or near Park/Open Space,E01022005,Tendring 004E,Formal action is not in the public interest
ecbef00008ef8d1a2657acacd737ef1d943b5d74b36a34479bbc57c53efc0a66,2015-11,Essex Police,Essex Police,0.461461,51.573385,On or near BRAYBROOKE,E01021318,Basildon 015C,Suspect charged
4726016c6be83656307863f8cc3800880fb774a467bd3aa6890c63fde18dda81,2015-11,Essex Police,Essex Police,0.419838,51.576364,On or near VICTORIA CLOSE,E01021273,Basildon 014A,Unable to prosecute suspect
8ed5a4c55cbc27670b4a326c52c37a65ebcaa7daf5f038c1cc930df70c39473c,2015-11,Essex Police,Essex Police,0.194275,51.631663,On or near TYSEA HILL,E01021800,Epping Forest 003C,Investigation complete; no suspect identified
367f8a71515ad6fceb68411294a5d0a3cff62023bd2a50e8dba37775b53d89bc,2015-11,Essex Police,Essex Police,0.365572,51.478807,On or near THAMES VIEW,E01015935,Thurrock 012C,Investigation complete; no suspect identified
1a0930bf082263437aa7afd1e98461daf505357e956ab781260871d0411d2a4b,2015-11,Essex Police,Essex Police,1.148823,51.795195,On or near Supermarket,E01022026,Tendring 016C,Investigation complete; no suspect identified
fea8436bf260bfc134386d36369909d168405d6c52a108f3c60f4ff69fdac79c,2015-11,Essex Police,Essex Police,0.468394,51.576944,On or near FALKENHAM END,E01021268,Basildon 015B,Suspect charged
ccf586b2da73624f2a6b280a9782ce082f64d0c9fc6d3a5e95ff4406587545b0,2015-11,Essex Police,Essex Police,0.520333,51.755246,On or near A130,E01021537,Chelmsford 005B,Formal action is not in the public interest
6c163f70258319cde89c5400a1984c76d76ca86a1ca0480231a202340f37a37c,2015-11,Essex Police,Essex Police,0.086144,51.607394,On or near Supermarket,E01021764,Epping Forest 017A,Suspect charged
cf142b39d10604e5217aaf9f41bb1dac9a6b67ed8f0c1db1eec35d36bccc4453,2015-11,Essex Police,Essex Police,0.714564,51.577451,On or near BRICKFIELDS WAY,E01021956,Rochford 007E,Investigation complete; no suspect identified
06b2e750b0de3d99771b3643a88d336c13c46526ea475b9a357b74563c243fa8,2015-11,Essex Police,Essex Police,0.134145,51.628527,On or near Parking Area,E01021770,Epping Forest 010A,Local resolution
0ff5146343c26b8cfddbd40c1ffa218475b7b11a7370ac082f2405b031b04aa4,2015-11,Essex Police,Essex Police,1.244040,51.831595,On or near OLD ROAD,E01021987,Tendring 008A,Investigation complete; no suspect identified
5f8d8c2835bf2e3055ad9f90c523e2b2ed49aeadf87d5705c243fdc41af7d610,2015-11,Essex Police,Essex Police,1.255218,51.848690,On or near BENNETT CLOSE,E01022012,Tendring 008H,Suspect charged
3bde8d86b64866b16ade9fca7433d1b4578e6cda57b634fa16cd50a970a3e918,2015-11,Essex Police,Essex Police,0.365680,51.880745,On or near CHURCH STREET,E01033056,Uttlesford 007F,Formal action is not in the public interest
74e73c1f70eaed2f6bcc54ab4c80f36b85ddbb22f32a4815d4ea48a92b4027a9,2015-11,Essex Police,Essex Police,0.908761,51.885357,On or near Supermarket,E01021686,Colchester 011D,Suspect charged as part of another case
c1b065a17aa6646edca4305611a0b7ef50768a3f82597da36a5bcc23821d1e42,2015-11,Essex Police,Essex Police,0.646525,51.541251,On or near Parking Area,E01015848,Southend-on-Sea 011D,Investigation complete; no suspect identified
d44e2e83ffe6a6fc7d93fb1f1289e4f05a06fa47ecc0bec38c308f98be65ec58,2015-11,Essex Police,Essex Police,0.148265,51.633179,On or near BOURNEBRIDGE LANE,E01021770,Epping Forest 010A,Investigation complete; no suspect identified
4f16143ee385add50057c2af98834353f7cc32a44e9b5cc15fc357fd7d54d2a9,2015-11,Essex Police,Essex Police,0.403692,51.562784,On or near TORNEY CLOSE,E01021284,Basildon 021E,Formal action is not in the public interest
bcfe227ad4364c9d8ad0ecadf5d49a2472e574afa7fd97094a22686a70f151af,2015-11,Essex Police,Essex Police,0.419386,51.481117,On or near PRINCESS AVENUE,E01015948,Thurrock 013B,Offender given a caution
1c0c71698336d54bb9173bf4006a722a2c232134c4086aaeda6c70a2a7fa67a5,2015-11,Essex Police,Essex Police,0.340369,51.497659,On or near BROOKMAN'S AVENUE,E01015966,Thurrock 010D,Suspect charged
1bd8c4310be7d861fe14e762b77ba70d9d9d96ed397f65c4c8070d4b4a8c8cd4,2015-11,Essex Police,Essex Police,0.900116,51.889231,On or near Shopping Area,E01021649,Colchester 007D,Investigation complete; no suspect identified
