Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
acf3d1e792affa0af5e8c016797058020f5ae71bb5259b7115e75f50ee57aa14,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
044de2a9a6a692ae71aed07a9995f1610e82009457b86d6c6eb3564d28ca3542,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
2fb8108e4ed703a89d391a0e37b6ecadf8fbd354395bc46cd3b04331f4f88c52,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
7dcf5ab1acb45b2595d86543d406fa9da44d73e295cb3e13a43610570a735953,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
a4b59963d99c165b10cd59a940641c41d796c01619b27162e506725bd2108726,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
2e3f9a74de4d31f265e3ef842547f98876c448937e78cbb39bd1e4952ba5cb21,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.013306,51.887718,On or near HAM ROAD,E01022216,Cotswold 004D,Unable to prosecute suspect
282b1b7c316ee7c5fe61bb9d2fadb61ab6b4fe6d2b290585e486421dc497dc3b,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
600fe268bdcbd54250c6dd8de6c38f403c5ceabd44c6f55bff3e6fe14eb04cd0,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
d7b07d3beb1bc2c5ab11b4b9ae28738ab4e97faea671c73c139b7c925394646f,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
2e383f48436c671a8733d3a2a1b598127384510a6897614665b9251bf5b3436c,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
2ed1c0a79b6885a79b080412c12f20c4aa68f477b9e6e9c2a1c681c96fc4e97e,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.205976,51.742612,On or near HORNS ROAD,E01022410,Stroud 006C,Suspect charged
b541f48febc17f7f259f63bf9b20af00cc10b62f032b43d64a46a56964284f5a,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.059629,51.900120,On or near ELDON ROAD,E01022100,Cheltenham 008A,Suspect charged
42ded55db044847162903aa6864f24a6126d3bffdb3f75e4ce57c60b9070bf3b,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-1.895822,51.854820,On or near A40,E01022216,Cotswold 004D,Investigation complete; no suspect identified
440cd514d5fc87658c518b0b185caf9f1c40e89722c29c6c7b839af6a5fc9c6f,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.249087,51.846690,On or near HENLEY PLACE,E01022331,Gloucester 009D,Investigation complete; no suspect identified
5e4febeb73a0a19733b12c2d63ec8919908bf529009f89b40fa53cdeb267e325,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.058558,51.803675,On or near Parking Area,E01022201,Cotswold 004C,Investigation complete; no suspect identified
748a7d54813b4c3e30da6f30e5ca33c6bad78a3b7aa004f0ebfaf6973e931061,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.225336,51.744753,On or near Parking Area,E01022365,Stroud 006A,Suspect charged
688988f3412ac19dcf60829442b22a1c6e528736d58a8d9716c79a0c9903168c,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.165293,51.719057,On or near Pedestrian Subway,E01022366,Stroud 008A,Investigation complete; no suspect identified
cbdca132ea0d0d2f79b982dace991ae2da4fb79458f9851b7df24c27597f6808,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Local resolution
57ce09213203b6393eaa73d19d920b7c31cb8c1bc80f163b40678477ab74d4a1,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.234115,51.854165,On or near MOOR STREET,E01022291,Gloucester 005D,Suspect charged
697af399770abf4698cef8b07cb3e8bbb37a6c93bd80dbd3ed9de2b029ea8802,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.234115,51.854165,On or near MOOR STREET,E01022291,Gloucester 005D,Suspect charged
8135a1c86ea64d373fa64df583d51308598206dedffc35bd900e64969182f8dc,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.247498,51.864136,On or near SOUTHGATE STREET,E01032937,Gloucester 004F,Investigation complete; no suspect identified
2712a0b507825209e2ad77e42be86c4a846187105a8e76fffcb809dd81670391,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.246788,51.856486,On or near NEW STREET,E01022332,Gloucester 004A,Investigation complete; no suspect identified
9676dc9bed182cf707476b24febcd6c983fa5cf7563fd098b3e8b9fe60138905,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.235650,51.861705,On or near NAPIER STREET,E01022289,Gloucester 005B,Investigation complete; no suspect identified
a899ebf6e868296ad3f75823c06ddcd91dbdf9f0ccc9a6f1293bbd7f649f5733,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.246253,51.864840,On or near Parking Area,E01032937,Gloucester 004F,Investigation complete; no suspect identified
4b018a11898183660c882a101ca4c8626b07244e0e73bc6edfc025d69b858c89,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.104581,51.912109,On or near KINGSMEAD ROAD,E01022159,Cheltenham 005E,Investigation complete; no suspect identified
1794d6885ad67835bb966016a290e064189cde470c85d845c97355cbde6f0b45,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.110145,51.916501,On or near HAYDEN ROAD,E01022441,Tewkesbury 004B,Investigation complete; no suspect identified
ef14449e48d128cd710b3f4a83586191c920c8599e081228f90bde95eba4e9ff,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.248245,51.859890,On or near SPA ROAD,E01022347,Gloucester 004B,Investigation complete; no suspect identified
90a9b316e74ac71fd741f3cab4e586f55eca0013ab78bbd92a4891025cfca426,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.226769,51.857075,On or near BISHOP'S CASTLE WAY,E01022288,Gloucester 005A,Investigation complete; no suspect identified
09acbc4d0badc0edd5298f2abbe6fb2420469f7b6143be6da4b8847505f648e7,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.215364,51.882990,On or near MANDEVILLE CLOSE,E01022313,Gloucester 001A,Investigation complete; no suspect identified
a1ba6f41d12fc2817898bed5c59d436887c52d6287b928e7369fe12868d7df08,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-1.967370,51.715573,On or near CRICKLADE STREET,E01022194,Cotswold 007A,Suspect charged
fdc503e3f2d3e5022d1a7ceca8d35b0e8965a845e0378d91fcd0ba101236d937,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.275682,51.815935,On or near EDISON CLOSE,E01032934,Gloucester 015F,Offender given a caution
4a3dd77903722b415b56928da4ce5e3bc33595b77fb5fdf02edf5da098798f82,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.076833,51.906458,On or near BRUNSWICK STREET,E01022154,Cheltenham 004E,Suspect charged
e3fc5fa5be1c4ceaced34b1b978069342a6a1b5262a9a13daf2b6b27100e6b8f,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.270948,51.824892,On or near WOODVALE,E01032936,Gloucester 015H,Investigation complete; no suspect identified
4e12510566610e6e4b83727ae3c86de45900ed5d07c72b52d61f4ebeac1bb2f6,2015-11,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.048596,51.817553,On or near HIGH CROSS,E01022201,Cotswold 004C,Investigation complete; no suspect identified
