Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
53b260fe348f096bc9fc94a907d71a3e05f276cec0b51653d070ff3448fb6a9a,2015-11,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
2fa0d4eeac05d466f774fac6810c35572cead4330ea1059b9cbc3fdf4f17e315,2015-11,Gwent Police,Gwent Police,,,No location,,,Suspect charged
85a804c22f162b662de0f5aca8dde39694bf16cc1872b93f6c4660c72c81ece1,2015-11,Gwent Police,Gwent Police,-2.973003,51.602362,On or near BADMINTON ROAD,W01001678,Newport 005D,Investigation complete; no suspect identified
4c07c524ba6e8d57b69e1c5e764c1d5b67d2c93ffd737b7c6ebcb34bf4526745,2015-11,Gwent Police,Gwent Police,-2.926421,51.595151,On or near MYRA HESS CLOSE,W01001667,Newport 010C,Local resolution
24a0ced6045f073deb81afbd2d8a29fda96c638ddc174eabb8305b0aa56d731f,2015-11,Gwent Police,Gwent Police,-2.926421,51.595151,On or near MYRA HESS CLOSE,W01001667,Newport 010C,Unable to prosecute suspect
493fae624e0510ba8e00cdad8d37dce35e5fb1bd966ad29660002ce7484eea6c,2015-11,Gwent Police,Gwent Police,-3.052755,51.711713,On or near STRYD SIOR,W01001529,Torfaen 003B,Offender given a caution
fe2a7622a8e386905d644ca1ce6c9a7ce62b690ffaf58b3a59bc16652b149f4e,2015-11,Gwent Police,Gwent Police,-3.245309,51.571671,On or near BEDDAU WAY,W01001398,Caerphilly 024A,Unable to prosecute suspect
e06528661466915e9c9fe178b40ef7b7820e388e7f644ad4d6f8828f3b1285ea,2015-11,Gwent Police,Gwent Police,-3.239800,51.668751,On or near BRON-Y-GARTH,W01001416,Caerphilly 008C,Unable to prosecute suspect
0d0920cc0248ce79af5a1c846df58ad7f6531fb48e859884ed69d9224559e22d,2015-11,Gwent Police,Gwent Police,-2.944056,51.571173,On or near ESTUARY ROAD,W01001647,Newport 015F,Offender given a drugs possession warning
c63b7ddbd34abc81178d212574b5447688470f744bfa468a084cd22f0eec1c22,2015-11,Gwent Police,Gwent Police,-3.003937,51.585584,On or near WILLIAM LOVETT GARDENS,W01001685,Newport 014B,Investigation complete; no suspect identified
374e74988d0e3366fd82e55f28b8cd9dc438971ba14d0bf42b626070f95bf853,2015-11,Gwent Police,Gwent Police,-3.003937,51.585584,On or near WILLIAM LOVETT GARDENS,W01001685,Newport 014B,Unable to prosecute suspect
662c2dfe69b4a452c7939d462a7f38f2c113e40e87af47dbe173b2493c9e92a4,2015-11,Gwent Police,Gwent Police,-3.220102,51.573348,On or near CARDIFF ROAD,W01001424,Caerphilly 024C,Unable to prosecute suspect
634c6ab1ac0fd9560f5f3f2fa78fd2df9c52f00eb159374451a69815eec2804d,2015-11,Gwent Police,Gwent Police,-3.225186,51.585839,On or near Supermarket,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
73a83fda11041199b4f17650c33b644327ea70ad148b549ca844316cb308773b,2015-11,Gwent Police,Gwent Police,-2.998418,51.582053,On or near DEWSLAND PARK ROAD,W01001686,Newport 014C,Unable to prosecute suspect
