Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d6e5f36dc10292775ff9d905aafabb4a4703cc0acb12dc1118055750097450e,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.363025,51.645198,On or near BOURNEHALL ROAD,E01023563,Hertsmere 012F,Offender ordered to pay compensation
d12936597772957fdf250ee1b1da7678222b034dd89ba129cf1d531c071970ae,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.229428,51.979506,On or near STATION PLACE,E01023644,North Hertfordshire 008A,Investigation complete; no suspect identified
8b7ae859d2bdef893ed1262ea9d0e55a84db99a03112e6cfc4ea9a83c6cb4f9e,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.169664,51.691486,On or near KEMBLE CLOSE,E01023574,Hertsmere 003D,Investigation complete; no suspect identified
413365fd350e81c9a8a31302163a39854adcb8476735ac28933daff2ff089fe4,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.210634,51.697099,On or near OULTON CRESCENT,E01023567,Hertsmere 002A,Investigation complete; no suspect identified
929388a3c291b0450ba4277b4e46796f8c4f3921e1d4b6f7b782a0b6f3b960ba,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.177139,51.694839,On or near HIGH STREET,E01023580,Hertsmere 001E,Investigation complete; no suspect identified
e72ff9f417525ca3d5b2ab2882268f211212ad296384d4844e286fa4d8ccba21,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.180806,51.692891,On or near Petrol Station,E01023577,Hertsmere 001B,Investigation complete; no suspect identified
d06c1b40fbf12fab686ac9d202852b7466b1fb770f15f484281166df14844fba,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.190217,51.699259,On or near DARKES LANE,E01023578,Hertsmere 001C,Investigation complete; no suspect identified
cc20ae33187b913bc65394831b50725c8bed106dd6a38c081134bfe664ced024,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.180485,51.691519,On or near HOLLY DRIVE,E01023573,Hertsmere 003C,Investigation complete; no suspect identified
26cc52b72d8ed6d053794396a798499b07ffa7a35590bf6a97c2085b85f740c4,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.204783,51.700166,On or near MUTTON LANE,E01023570,Hertsmere 002D,Investigation complete; no suspect identified
53ca6f4167778735c65b119444639ada23d339d66c9bfe6599dd7acd95a75bfd,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.181598,51.692625,On or near MUTTON LANE,E01023573,Hertsmere 003C,Investigation complete; no suspect identified
ed895472957f3987639417095cd7cc9d04acf8ea3e345404d990ea6378023a80,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.183186,51.706434,On or near KERDISTONE CLOSE,E01023578,Hertsmere 001C,Investigation complete; no suspect identified
57bc182e3d9b2f62f221f8c7fbdf4596774b19e2b9e141543e27a751086c8898,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.184858,51.694321,On or near MELROSE AVENUE,E01023577,Hertsmere 001B,Investigation complete; no suspect identified
9b526bcb23acc636e8f4080abe3e30c5d844c3c1b24963a23a04ad21e3af9204,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.180485,51.691519,On or near HOLLY DRIVE,E01023573,Hertsmere 003C,Investigation complete; no suspect identified
1361ee026215e8721a66ca3c18bb1ef5249dd40371ba81db1a1ba326e3cfcc83,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.208844,51.700659,On or near LEXINGTON COURT,E01023570,Hertsmere 002D,Investigation complete; no suspect identified
532f99de889799d3acb4934bcd0c5e478c45615906fc33c242f0ce26ab2e0a70,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.278190,51.655675,On or near Supermarket,E01023530,Hertsmere 007B,Investigation complete; no suspect identified
bcc48b5b4dc01aa2e2d23e9f8e051a9f42d7da9aa5cc27bfa0b18e6e9977d09e,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.261189,51.651135,On or near ARUNDEL DRIVE,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
5bca407738b3258f9cf68f8143009ffbcb20aa9ab85253651950cae38de556ed,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.219547,51.679421,On or near Park/Open Space,E01023584,Hertsmere 004D,Investigation complete; no suspect identified
adeb6938307948e0eb16c674ab759554e63d6888bcf9ff42c8b270e0d30958e1,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.270988,51.655362,On or near WHITEHOUSE AVENUE,E01023539,Hertsmere 011A,Investigation complete; no suspect identified
