Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ae1add41eb04b0131602ea840b0f117a13b0a728645e1f34809168a4b4f4184c,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender fined
3ed9dddc821bd5f4b56c7affaf1ad585c53d0a7394abb3a5b55b4b4c09230368,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given community sentence
ef159038aa4a3b4315e975011582d12356932ba82ef88717e49c806363bdd9ff,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
c34a884867686966a040e26a969cc375f22850902eb9dbbdfdc5f4cb969d3992,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a caution
c9461b58873f7d17a6c4c317b7d080f8843e21be6097d5d21d631a5fbd193476,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
ed570ea544a41c40632bf6f15ef60b9ec19c3f72bcd996295ba165ead6555424,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
9506ae574fccb532063ba1ef6577ac211f81041969c488de0af1cb4ed823a37b,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
9cf84cabb7812f073ff2795681deb6690d66112001c6c42a8b3132bc0f6c96b1,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a drugs possession warning
e433432bdc5325aed7e7cfe5f5979994f7b03c7464103dc083dce83215f63db2,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
2d2f719d228fe73a333b4bd13dfeb61e66c0a94dfbb49f6a77a4026e2fa8f15f,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
076b0e511b04e61e5e2dc8cbd0e47799f03d28b356bda86febec2029f2d815be,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a8445a09bfb2599d83d901e3cecb1ab67a10a18d417a01d8af4323873dc32547,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
7fba8cbf2640c5acdebe55b99dfad7cbcdd1c736e34e38fc1f62b3cc9bc92c1a,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
83452704fead6483205e3b67611b9a1e4dd59c4bcbeca9b24fac215a44664fdf,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
1d93ce25f7f9a483844ce430a4e6ad47019c7ff3ded26ad6e40919c370f99f52,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
7caa7a283ede1e205b32c34fad14f34b555b3fa77c66767533e41011baea9025,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ec6b6527d841f5045f8707713df4f0cb204d30cd133867fddf73a3317b9e86dc,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
562d34a5f219397b050fe35ebdf13174a7e25c050ed14213b5d239540dc1365a,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a738557dc5eb062618bf29066eccf2e5895e03760af5794134658b82fd699411,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e099f2e4a86ca1949950fc7f426b693ee8578b2ef0ad9ee303f703e7f8b3fa3b,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
d010ce9db1fd285635193dd8da4b88000340d540f2d6e69ddb6dfe07cad5835f,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
c9f42541663e4274b2b56811282e3c794f8c94fd7dcddf06895cc0ca246e908f,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
dfbfd9a92ecb9478914717968db60fdf4394614560c3339b1c2fadec1b367db0,2015-11,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
