Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2fbc56611b0fe267d2e164323c9a0aa64c5d5cf61808c43f19cce963de79de96,2015-11,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
ccd12d45e07c9f887eae534a5acea64a376c94dea3bdb923cc0182dd085c6f6a,2015-11,Staffordshire Police,Staffordshire Police,-2.026482,52.686581,On or near Supermarket,E01029360,Cannock Chase 012B,Suspect charged
65ca59bf04a1f3ec4b90321c6daef3cdd42a8dcd552c2665c3de404604636ced,2015-11,Staffordshire Police,Staffordshire Police,-2.191752,52.978891,On or near BUCKINGHAM CRESCENT,E01014353,Stoke-on-Trent 030D,Unable to prosecute suspect
4ca0db1d6274c23ecbeff77e3217816fe5979f084386a103463178dc830c4bdb,2015-11,Staffordshire Police,Staffordshire Police,-2.127295,52.822024,On or near Supermarket,E01029720,Stafford 007B,Unable to prosecute suspect
c058e68c5992b792e401dda152745f27741107f415eb5e13f495bb277973c17c,2015-11,Staffordshire Police,Staffordshire Police,-1.655915,52.636309,On or near REPINGTON ROAD SOUTH,E01029821,Tamworth 003B,Investigation complete; no suspect identified
86182151ac4eeb94fb1f2f64e42b222a3a3c3bfb934e2bbd31d545e5db2b8cde,2015-11,Staffordshire Police,Staffordshire Police,-2.199225,52.990897,On or near LEVITA ROAD,E01014343,Stoke-on-Trent 023D,Investigation complete; no suspect identified
40af2342af74fb1a50d2d5d4a2887ada6f17b4a2d392bb32474a5e13ae398ed6,2015-11,Staffordshire Police,Staffordshire Police,-2.171119,53.029819,On or near FESTING STREET,E01014330,Stoke-on-Trent 013E,Investigation complete; no suspect identified
6a661feb80acef50648684bd17b96e57cd2925e706a473f149a08275d1a21c47,2015-11,Staffordshire Police,Staffordshire Police,-2.021009,52.717686,On or near ARDGAY DRIVE,E01029385,Cannock Chase 004B,Investigation complete; no suspect identified
21c1cd388e27ea2dff3001c64b6ce9d852c01c409d8f21305f6a7b9c8244422a,2015-11,Staffordshire Police,Staffordshire Police,-1.647098,52.795472,On or near ALL SAINTS ROAD,E01029407,East Staffordshire 011A,Unable to prosecute suspect
e49136f41366a060b4a3759432ae63b5287c2911185d324637bc236c61016132,2015-11,Staffordshire Police,Staffordshire Police,-2.147669,53.013939,On or near WILLIAM BIRCH ROAD,E01014226,Stoke-on-Trent 014D,Unable to prosecute suspect
e59d27f33012d55d4bdbd10ba2be926aefe075cdc09991bff943c441c731f452,2015-11,Staffordshire Police,Staffordshire Police,-2.258018,53.084639,On or near BANBURY STREET,E01029541,Newcastle-under-Lyme 003B,Unable to prosecute suspect
