Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5fa1d1468da0d911faef6b351111b25520b25aebf140eacc9fd316c7ae6b6abf,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
21176bac265cb036093a23644df563616d8b1d3deb5b12cf7e6da050fe485e93,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
821017c57e70c8a057049bf870577f3414735dc490f676f2a6b639f29b87341a,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bd646b5f276095f0965df929e49e639dc80477001669b11bb3453b7362587fdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
b906c7abd2232d30453b13586472a5d5734cac26a70b3388661ce48517625665,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
411d6da395767045e1a49ec0a8a86b72c250b347eeffccd1b60b33e349c9c195,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
6979052b2023a7cbfea841f64fbe75645fcb662fa45e93ade43029363b5f7d2c,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b6801f7b12ffa4a273ec10723a07dac76331aa409d7d13815b59336c74df188d,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
eeed04c8e44d82b9d75c0ae788a45536c2fd0fc6b2e94f3aac3fa0db53f0d6df,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
a752bfd245ae8cd5b839236bda12a9fe2d00e1dae1490e32542850057c8f447d,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.932179,52.299822,On or near THE CAUSEWAY,E01030068,Mid Suffolk 002F,Investigation complete; no suspect identified
ee1a30f5488c366f36e83ff7ea59d31bc9cbee53493b789b0a6a5170771510b0,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.178505,52.225002,On or near KNIGHTS CLOSE,E01030048,Mid Suffolk 007A,Investigation complete; no suspect identified
8cf03a8672182b0606bf8f2bdb3593c21338fd17b1b9a1f97ee21ea51539b30b,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.292275,52.086259,On or near CLAYTON COURT,E01030203,Suffolk Coastal 008C,Investigation complete; no suspect identified
ffdc3474e24e2f2b279b1859b10172b9b4ad9fbb0ff14c4dca003fb0d55d54ff,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.241531,52.058139,On or near PEASEY GARDENS,E01033444,Suffolk Coastal 010H,Investigation complete; no suspect identified
af502e37a4fb44e5ad57f67317362cb6aac0ed54d104c5e7a32aae6fe0247852,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.578137,52.208838,On or near ROBERTS ROAD,E01030188,Suffolk Coastal 004D,Investigation complete; no suspect identified
abfc1e52d877ddd59e9b55d242baa1a7ab884cf599026f35410585b5d02d92f7,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.189983,52.063881,On or near BRAMLEY CHASE,E01029999,Ipswich 004C,Investigation complete; no suspect identified
4bc808370f41fb794fdca03a050cefc40070884664d76e33c6c782f05f0c53f4,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
