Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
70e6cf3d60425bb5da9c3e44b98db655156c1c09ddcf0e2ad32341097b8ee30c,2015-11,Surrey Police,Surrey Police,-0.541098,51.326319,On or near EVE ROAD,E01030982,Woking 004C,Offender given conditional discharge
d90c9fba966d3abc977deb58cf3d86e6f6ab3d0cb72b960a29c975aba4027d14,2015-11,Surrey Police,Surrey Police,-0.394400,51.342268,On or near NIGHTINGALE CLOSE,E01030306,Elmbridge 017F,Investigation complete; no suspect identified
7e4d0977e81dd0e77e4682834efbc8df30735f3a0fca64aa02335d2bee20cf79,2015-11,Surrey Police,Surrey Police,-0.421274,51.334450,On or near BENNETT CLOSE,E01030304,Elmbridge 017D,Investigation complete; no suspect identified
58f38df67a123b5a080861066465ac47b548e23fae7480cca3a2068fd796ae3c,2015-11,Surrey Police,Surrey Police,-0.415521,51.336018,On or near PENNYFIELD,E01030304,Elmbridge 017D,Investigation complete; no suspect identified
4f40700b0623b0c3190edf1f93cedee2c5701f7013e6a895df9e0cfb45728f8e,2015-11,Surrey Police,Surrey Police,-0.356704,51.332016,On or near HIGH STREET,E01030342,Elmbridge 018B,Investigation complete; no suspect identified
33c65051e5dcb481463ddd8cc6a7cc6e57a468a5080cfc02af84ab1adc8ab6d3,2015-11,Surrey Police,Surrey Police,-0.361773,51.333193,On or near HOLTWOOD ROAD,E01030344,Elmbridge 018D,Investigation complete; no suspect identified
ff8caef592c252ed0dd69063b79a5484d96ed4ee535a2a2ccbfa46966217ab87,2015-11,Surrey Police,Surrey Police,-0.360062,51.334473,On or near WARREN LANE,E01030344,Elmbridge 018D,Investigation complete; no suspect identified
3cee1b91e35b18b2bbdc5c3880609e9935e02e053c32ee6ba7189a0c7de84047,2015-11,Surrey Police,Surrey Police,-0.372647,51.325674,On or near RANDOLPH CLOSE,E01030345,Elmbridge 018E,Investigation complete; no suspect identified
8bd477f688ea2bd2f68e55b264b9bd19aa6a239688027896468c65ffa641ef71,2015-11,Surrey Police,Surrey Police,-0.390452,51.317683,On or near Parking Area,E01030343,Elmbridge 018C,Investigation complete; no suspect identified
a9acd32d567b5ebd2a81054c4650044f5d705549306709d17ea389dabfff2e7b,2015-11,Surrey Police,Surrey Police,-0.388186,51.319666,On or near STATION ROAD,E01030343,Elmbridge 018C,Investigation complete; no suspect identified
70f49ab4ae690b4a2354aaef415c0e933431ac9b01f0ee655809193f7c5f1316,2015-11,Surrey Police,Surrey Police,-0.390168,51.320044,On or near BRAY ROAD,E01030343,Elmbridge 018C,Investigation complete; no suspect identified
afffc8d2642f270f27896c303b4b3c7dbb06bc7673acc788d51e048f8b7898dc,2015-11,Surrey Police,Surrey Police,-0.403875,51.333639,On or near ROSS ROAD,E01030301,Elmbridge 017B,Investigation complete; no suspect identified
218ce32b7547895172572a86c28a1137c579bb3d3bdae5c397f9a2ccd0bd6ce4,2015-11,Surrey Police,Surrey Police,-0.405137,51.331201,On or near PADDOCKS CLOSE,E01030301,Elmbridge 017B,Investigation complete; no suspect identified
eac07178ab93dace403d7d82f9484c9017a467e50df38fdafc0611c5b2622493,2015-11,Surrey Police,Surrey Police,-0.338538,51.373521,On or near Petrol Station,E01030321,Elmbridge 009C,Investigation complete; no suspect identified
a140eb46b962ef88f6fad5857ad4e37e6f205b8838f291814f8d3618a498b569,2015-11,Surrey Police,Surrey Police,-0.330217,51.380677,On or near GREENWOOD ROAD,E01030325,Elmbridge 006D,Investigation complete; no suspect identified
d0dfd394d75b1ba07383332b517e917e04b2c5c48bb1ec7cccdf53a0f029e73e,2015-11,Surrey Police,Surrey Police,-0.315923,51.386426,On or near ST CHADS CLOSE,E01030323,Elmbridge 006B,Investigation complete; no suspect identified
e28c6f71e690a7440f6e908c1be8bbd549c4abc55c544d233c7b1cad1a3bc4d3,2015-11,Surrey Police,Surrey Police,-0.313665,51.385296,On or near DEMPSTER CLOSE,E01030323,Elmbridge 006B,Investigation complete; no suspect identified
799e87cb1ebf2cd79f9dbeb2202a06b8997413f63021d231e1c43051141d2f19,2015-11,Surrey Police,Surrey Police,-0.316508,51.388116,On or near BALACLAVA ROAD,E01030323,Elmbridge 006B,Investigation complete; no suspect identified
3e5f73a4d5dd38d8acb8ea97533d6d07d2d918e838afc7ac052d217a6f21ee68,2015-11,Surrey Police,Surrey Police,-0.318760,51.382357,On or near RECTORY LANE,E01030324,Elmbridge 006C,Investigation complete; no suspect identified
