Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
898d8a26f2cf9faf77861acdd7e920d6a75093bb0c0480f6c228de8d4c9f6af0,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given conditional discharge
61e168e807009b0d5f2f3fe8ac119e4ce94bb0f1ea694722d4d8c9b3f9d1acbe,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given conditional discharge
c28011464794073473f0ee12cad9129e3585743c2dd30fb96788440cd4915148,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Court case unable to proceed
580a03e3a3b5a4bdddcdcde9679e4470a7b99326750bd75d01fbbb7df9e185e5,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
248f4afcd7c1dad59f325d7f0c73cde2906c270cf7e1acc24de90da227fa89a9,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Offender fined
5b38fb782004fe38c3d82cbb8f3d0bea1d2e5bf3bc4a779e26017a4ada510fdf,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Offender sent to prison
1b68a01bae5648b2b9f37057860d60972661af80e4382f1e6705b264b3c86b16,2015-11,Thames Valley Police,Thames Valley Police,-0.821551,52.051566,On or near DROVERS CROFT,E01016839,Milton Keynes 012D,Offender given community sentence
dbb5c2c48e732043175f68a79bbf64f866a30b9e9bd5afa8e25daa36eab78d9e,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
2f408bfb698df24eb6187f127f3a71c884586ce7c80fb8a9da7b8451bc06ecbc,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Formal action is not in the public interest
15c133b0c9910831aaf66fdbd437fdbb6b4351b57e7402e4dad0167a7eebd19a,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
b68838639b08ed9c021fb2e56eed3be9f50c939a64cad99d599cc591f93a1a0d,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Formal action is not in the public interest
5d4bf27752c00bc5dcc0b948879de6662d6b1b8e14a6c63bcd9a9f786b05a72a,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
3a2c0485141cbbc8548fa83703f99491ce61ed69d959b50f87c9d0967a70ef86,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
bb3452cadce163622feeeae3a825e3e494b1bec85971ff9a1e453e154daf17eb,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
a22ba16584aa0adcd1dfb68b565d648864cefb95597ed9697aef35d40c37279e,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
c175c71e4df17b6a0aa60f14b77335f4608962afc0de8a844b2068757bb1744c,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
b1c5eb72bfec6622372dfbe6a7864d1d2d0e1f1fc862ad2f4b2e2ddbc248eed9,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
3ccd1f772365f0268d61ba2ca3655225d00ec488ba2c170883d3b0f5dd3990a6,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
a713084f48d58113e99970a57797593bd0ba1f7d9a038563c0e59a55eedfbfb4,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
4ae7fd78d32d32cff0e6134e7658cbf08f3e45c5600598081e3c9b6acbe67b3d,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged as part of another case
8eb918038d9fa272d51f40fee954ea1e86ea9928f60729dbb62b19b8176e1854,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
4ef1c00a719cfe8e822faafc60bd6953f3efefed11a14093de9b0d13ddb29c76,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
d8d1924c47fb2510efce1f07a20841b5c7c379cf67183ae0239be0e30b1e6a61,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
21bd870d8c23c740e508d7b80fc2e757315d273f5cabe433f927d2b8f74aa966,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
7af2d8b1c3189d02f322f6ab5f63038143a37cadf163ac2842a4d7da4e378b4c,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
aca0a605cd6802ada8bb7405152368c4ed17c781f0070e0a0db7bf62ece20fed,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
3aa1c0ef7759dc075217337e5532500602e93e73e93da04a3c446800573b312c,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
3f1660dffb054dc11a19edd9894dbbef6b4f81e9b9d66e956528ce69f9b6e39c,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
1441f214a1b02c229e668c112410cddccc54186ba33a628bc8a398dc67011170,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
55802fca8c61a3b412aac7eaa0f484288444dd47c48653fe3490b3149434a542,2015-11,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
