Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d96e4882aaeec01a7ad1f4175c5b54b3eece7afeaf03af45b9b6c049d4ff8b0d,2015-11,Warwickshire Police,Warwickshire Police,-1.522611,52.286772,On or near BEACONSFIELD STREET WEST,E01031335,Warwick 010E,Investigation complete; no suspect identified
8b2ae4c4d5072213ed32e2ac4af1b0438f0993024925a03f0c2b12caa9a5e8ba,2015-11,Warwickshire Police,Warwickshire Police,-1.541654,52.291028,On or near NEW BROOK STREET,E01031291,Warwick 009B,Investigation complete; no suspect identified
36b1a914e46b9e7cb4286bf913778e76873ebda5e49acf0c24cf7ed46aa31ec9,2015-11,Warwickshire Police,Warwickshire Police,-1.573871,52.287436,On or near WHARF STREET,E01031319,Warwick 012E,Investigation complete; no suspect identified
4e42c134748c5593c38e4519ef2442c81a6e9cc706c9f03c54e944f38069e1e3,2015-11,Warwickshire Police,Warwickshire Police,-1.568493,52.275135,On or near WARWICK TECHNOLOGY PARK,E01031315,Warwick 012A,Investigation complete; no suspect identified
dc81c7b9c4f9aa59ffc1989eff5bad5233dc2aaffb4a5f2f757938798ad93608,2015-11,Warwickshire Police,Warwickshire Police,-1.542050,52.286813,On or near VICTORIA ROAD,E01031291,Warwick 009B,Investigation complete; no suspect identified
9b9506217480f37be6be6b3f6b66bf8a2ea554393992c14e84151c77fb39fa37,2015-11,Warwickshire Police,Warwickshire Police,-1.562291,52.288778,On or near EMSCOTE ROAD,E01031309,Warwick 008A,Unable to prosecute suspect
4737c5e15752ae261ba6de9940e98598bba8a12d1c1488daeed5a3d8f2097a26,2015-11,Warwickshire Police,Warwickshire Police,-1.518379,52.286368,On or near GLEBE PLACE,E01031337,Warwick 010G,Investigation complete; no suspect identified
f86b9fb23ee0c565035e5257d93de59d18ab98cf4cb770fc7f250dbead958512,2015-11,Warwickshire Police,Warwickshire Police,-1.526520,52.277645,On or near NORTHWAY,E01031263,Warwick 013C,Investigation complete; no suspect identified
0daac00f9abff5baefa868019ca651a1eacbba9c658c7e7513f8fd2eede9d831,2015-11,Warwickshire Police,Warwickshire Police,-1.535477,52.290069,On or near PARADE,E01033253,Warwick 007H,Investigation complete; no suspect identified
4d1998e760f6245dc0b449be1c802625608ada825693ab2cc84e4de2ddd3efaa,2015-11,Warwickshire Police,Warwickshire Police,-1.522611,52.286772,On or near BEACONSFIELD STREET WEST,E01031335,Warwick 010E,Investigation complete; no suspect identified
f70ede7764c01e6adb34c38a1f6c12442f3fa9acbc5d4cb926bdc9e87ee4a9b6,2015-11,Warwickshire Police,Warwickshire Police,-1.541442,52.224930,On or near Further/Higher Educational Building,E01031252,Stratford-on-Avon 008F,Investigation complete; no suspect identified
96704bf02ef3176d71b2f679701c99edb272b8f26cc5d20062e8c39c5f988861,2015-11,Warwickshire Police,Warwickshire Police,-1.517763,52.279578,On or near ENDSLEIGH GARDENS,E01031332,Warwick 010B,Unable to prosecute suspect
f123d75c842b9442a16cfca33a42f685fedc270679eb70526b6c33746bc15b63,2015-11,Warwickshire Police,Warwickshire Police,-1.517763,52.279578,On or near ENDSLEIGH GARDENS,E01031332,Warwick 010B,Unable to prosecute suspect
