Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-11-01T00:46:00+00:00,,,52.475571,-1.914403,,18-24,Asian or Asian British - Indian (A1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2015-11-01T01:36:00+00:00,,,52.507345,-1.951278,,over 34,Black or Black British - Caribbean (B1),Black,Criminal Justice and Public Order Act 1994 (section 60),Offensive weapons,Offender given penalty notice,False,False
Person search,2015-11-01T01:45:00+00:00,,,52.475448,-1.885768,,over 34,Asian or Asian British - Bangladeshi (A3),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2015-11-01T01:46:00+00:00,,,52.470481,-1.899780,,10-17,Black or Black British - Caribbean (B1),Black,Criminal Justice and Public Order Act 1994 (section 60),Offensive weapons,Nothing found - no further action,,False
Person search,2015-11-01T01:48:00+00:00,,,52.470239,-1.901253,,25-34,Black or Black British - Caribbean (B1),,Criminal Justice and Public Order Act 1994 (section 60),Offensive weapons,Nothing found - no further action,,False
Person search,2015-11-01T04:10:00+00:00,,,52.475571,-1.914403,,over 34,Black or Black British - Any other Black ethnic background (B9),Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2015-11-01T09:49:00+00:00,,,52.473410,-1.898169,,25-34,Asian or Asian British - Pakistani (A2),Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2015-11-01T14:52:00+00:00,,,52.589117,-1.987174,,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False
Person search,2015-11-01T16:36:00+00:00,,,52.575691,-2.032494,,18-24,Asian or Asian British - Indian (A1),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2015-11-01T16:36:00+00:00,,,52.575691,-2.032494,,18-24,Asian or Asian British - Indian (A1),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
