Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
490e3374bd0b6538405063dee0e992304d1bbddfb8c88f68d4df56157acb7395,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given suspended prison sentence
614bff769b1a874e4faec57a33318f9b6b711a242a2619ae163ebe8095873b49,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given community sentence
2e76340e67f9d97e083b0b74c2d9ac14a6912edd3ea1ece6bbfd2e96929ebdb4,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given suspended prison sentence
7b16924d3facdf8aca82ebe4f7741564556e59e96aba7cc601072bcfefb92d79,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender sent to prison
903af25d5c096f648cc559732a0fe3bb3786611e74f4015ddb471876a1927aaf,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given community sentence
a82dd2da32d69684b0317b7019e1b5ef33061bf583d8d8e572622ed1805a0b54,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender fined
1092783b4e455241dfad075192a0d3748aa266d1276158f5768a64d2d6643eba,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.971413,51.322326,On or near Hospital,E01014803,North Somerset 025A,Court case unable to proceed
5bbf93f08d85b790fcb19059d2977d9c545e51d7b321da332bc9ab40120375e8,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender sent to prison
411f103592b9ad4b63356149d5e99a4748020e800d286e69ca93911e22071f6a,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given community sentence
03ccc1cb16974e0cacb6ca71428c52765a104ab378fc3656e4d962c20e158cde,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.515648,51.089036,On or near MONTAGUE GARDENS,E01029167,South Somerset 002B,Offender given conditional discharge
c23292ffdb8e6bd31996bbec4264d6d05bff8a47e6e27613ed547ffe6b71ca66,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Court case unable to proceed
bf77f73034205a94b551d43fda8d8d70dd6b60dde7cefe065532d58e92cb3e0b,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
6804da3479b22187a5a7e7b35e20d12d9d50f638bec1fc3700992bfe4a1fb3d8,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
9122ba08d7813ede058c989b0d3b4ec9c24a449d8b3b384984f1c1f6bb1fc9e5,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
ee5074b2429fcc9acd597205d2cdd7e40d03a8d7de6ec06127cef47472138d0d,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
a34005370da1f4f479ea5fda29f74f8649104d3a2f71514623593252fa92eb2f,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged as part of another case
ffcea06ed8143fe6db30741922ddf0869e7dfe0828ce97a09ffcc6b5bed5fe2a,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2c510d797788742d9e09e080d90d115c0c10f0e38f929d4f3c9a2e4e14f765bb,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
db965cb16f869da090c25b53deb09c8f057405f6addbcd99b84b92192a402e0c,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
db965cb16f869da090c25b53deb09c8f057405f6addbcd99b84b92192a402e0c,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
6314c5bbd50932b781ef6a86558c9eabbdc15f6138eea98736b640f7f1d898cf,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d8423d0b3535f8179d09d4c348e0b863367fa13c1ce122ed42b15d475bb61e26,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e0b89a7f94dce1558dea23af84c8272328bee93fe20bd1672acf30b188445596,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
f07696f5ce2d56726e6f14d5832767c5dbf4c97d4baf09bd1c104682e4e3de64,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
001259d53c8d252528336fce49222eef52b0218d0ea84106f93dc9fd49b70e9b,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
01460050a04817b4837ac252bccd49520bea43f7d6eb78ddd8f94ec7eecac332,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
d6c5e1293e351d247bed36e25771e5aaa9d61b9fd1672de557ee9060e31a4108,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f287fb50f06d0388ce39475eb438a9e03cee652e0b0ed3adb0884006a099ab8c,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
f287fb50f06d0388ce39475eb438a9e03cee652e0b0ed3adb0884006a099ab8c,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
028ab97ccf143a8ea29b4cad9060674947d0eb15c1d472f79d287459d91ed288,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
7073b6db392a5789364b6bf1f4ccbba27b99f888ac3568dda58264687fb9eb36,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
aba3a7c8b04fcaad91446d38dda27043dc4a13233015f5338f070791b9ef2615,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
aba3a7c8b04fcaad91446d38dda27043dc4a13233015f5338f070791b9ef2615,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
ca74046d2c5ba8e7ecc108dd4429d7c01a0fdd0f1bc81023e4ef0008cb144a3e,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
3fa875fe9c00a74a3fafb39868daa378aed5406aa26c60ba74fea16441e55164,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
645730bcd55d6e0a37473634c04374fa72b92c7d18cc5f06dde20da2a7374edf,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
05724c9976adc6b3b781b1bbe15dca230690a64c584d9830808585d685661fdf,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
c6fca5fb17817465912c41fa6a6ea5b8cf6b52242238e995dc05f864f77cb67d,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
413d45c99e7f41ad03d15e78f10ff912fe4d82996f88d20aafdcd959d6d70490,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
6c8a771f55b5021ea014e4d97aa24e22a8f2609264bc9f99ea0962b5478ce033,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c6ce27ef932ef1ee701d9e5c94bc39aacbd9e793af276433b76a9c1de0d70122,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
bdd2131c56118b7b55ef23671370e84737516b3b3d7a700b5f879ab184f43376,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
8fec6969bab06c93ff725c5e89b233de6e6942599e4c318ab274643b86ccc058,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
daee1fa5f4991ea94e48dd6426efc368f39aa066b9e6373800fc9c69a3fd4edb,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e746b97710115abda280a890b3574235084cdac53a7ddedab947ca6b45fce492,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
8fec6969bab06c93ff725c5e89b233de6e6942599e4c318ab274643b86ccc058,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
008543ab5650debe28addb4c5fbb56ccfa837705f0676641ca9c753d2678a6b2,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged as part of another case
bb25c89e85178228b2f537282ac49ecda22aa9a0c02630051dcee9a20212e0a4,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
db5977e6fd83dee3fd0d68cd818f64fb04ee6b1e9fa3e8f448ce756666c0422f,2015-12,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
