Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d0a4429e9782a60a67d66af239875f9d6510886b62fff98eb9572074e03e8dd5,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.600253,53.387698,On or near HENRY STREET,E01033300,Warrington 018F,Offender given conditional discharge
7ba7316e3432f995a79d3018401f2071c846a84d0ae63d87d1e9e60d9257748a,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.902685,53.284695,On or near REDHILL MEWS,E01018563,Cheshire West and Chester 007D,Offender otherwise dealt with
6168ffa14f33f8dd0a130f1812c38dae77a8754d05f0f9fb9d7bdc1ff45e83b3,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.206153,53.162900,On or near MOUNTBATTEN WAY,E01018400,Cheshire East 026C,Offender deprived of property
315e5065b4b5840c3bd742fe200a3f369d652d159a8a04b07a13b608902996c7,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.725684,53.377267,On or near CYPRESS AVENUE,E01012369,Halton 005A,Offender sent to prison
0bbdf1853ec242ab6b77f5aa9076392a997316228c516a2ab5e2e9bf5c211d55,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.866051,53.207328,On or near DORSET PLACE,E01018364,Cheshire West and Chester 027A,Offender given conditional discharge
cdee3527ba796cb6dfad66acfda48a66dfb2c6ccfb4802b4c4a1815700373ee7,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.286770,53.178526,On or near BRERETON COURT,E01018394,Cheshire East 033A,Offender fined
a0343477703cfbe5b5ba077d07c2eadb5667e468060d8c1423160584e64ec33b,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.127017,53.253744,On or near RYLE STREET,E01018635,Cheshire East 018F,Offender given suspended prison sentence
5f6f5af837a52ceed1f7836c3beb5a538440647b951a838ce5afd797f451402f,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.439290,53.095973,On or near Supermarket,E01018464,Cheshire East 039B,Offender given suspended prison sentence
07a7f8d1da4b20f460677119be029c21f6d1aa76928c690bb58b048e58d58908,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.121162,53.260923,On or near KING STREET,E01018629,Cheshire East 016C,Court case unable to proceed
2a9518239332938c379b34616351cd0c74ccde2ca70fe229daf4f4b8f9273ac4,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.932270,53.283586,On or near WOODVALE ROAD,E01018542,Cheshire West and Chester 008D,Offender given community sentence
bfa08c9c2c6e08baa48d0b67de3c314127436de7c91048af8e185bd60df20cb2,2015-12,Cheshire Constabulary,Cheshire Constabulary,-2.440485,53.091600,On or near UNION STREET,E01018486,Cheshire East 043A,Offender given community sentence
