Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-12-01T00:38:00+00:00,,,53.289504,-2.895586,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender cautioned,,
Vehicle search,2015-12-01T00:38:00+00:00,,,53.289504,-2.895586,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-12-01T00:38:00+00:00,,,53.289504,-2.895586,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T01:31:00+00:00,,,53.364946,-2.719313,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,,
Vehicle search,2015-12-01T03:14:00+00:00,,,53.109856,-2.428422,,,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-12-01T03:14:00+00:00,,,53.109856,-2.428422,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect summonsed to court,,
Person search,2015-12-01T10:22:00+00:00,,,53.361842,-2.740223,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T10:39:00+00:00,,,53.256118,-2.495146,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T10:39:00+00:00,,,53.256118,-2.495146,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T10:39:00+00:00,,,53.256118,-2.495146,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T12:19:00+00:00,,,53.405186,-2.573710,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-12-01T16:57:00+00:00,,,,,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-12-01T19:59:00+00:00,,,53.192126,-2.882209,Female,10-17,Mixed - White and Asian (M3),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T21:48:00+00:00,,,53.100626,-2.294929,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Vehicle search,2015-12-02T00:35:00+00:00,,,53.107156,-2.448740,,,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-12-02T00:35:00+00:00,,,53.107156,-2.448740,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-12-02T03:48:00+00:00,,,53.098236,-2.447228,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Local resolution,,
Person search,2015-12-02T03:48:00+00:00,,,53.098236,-2.447228,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Local resolution,,
Person search,2015-12-02T06:24:00+00:00,,,53.275582,-2.923608,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T09:50:00+00:00,,,53.386671,-2.598915,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-12-02T10:11:00+00:00,,,53.386464,-2.584464,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,,
Person search,2015-12-02T10:46:00+00:00,,,53.342684,-2.720140,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Vehicle search,2015-12-02T10:46:00+00:00,,,53.342684,-2.720140,,,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-12-02T11:20:00+00:00,,,53.257592,-2.484056,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Person search,2015-12-02T11:58:00+00:00,,,53.319597,-2.133953,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Vehicle search,2015-12-02T11:58:00+00:00,,,53.319597,-2.133953,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-12-02T11:58:00+00:00,,,53.319597,-2.133953,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-12-02T11:58:00+00:00,,,53.319597,-2.133953,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T12:08:00+00:00,,,53.371173,-2.722619,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-02T12:08:00+00:00,,,53.371173,-2.722619,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-02T12:08:00+00:00,,,53.371173,-2.722619,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-02T12:17:00+00:00,,,53.390070,-2.595054,Male,over 34,White - Any other White ethnic background (W9),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-02T12:17:00+00:00,,,53.390070,-2.595054,Female,25-34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2015-12-03T11:30:00+00:00,,,53.321535,-2.221015,Male,18-24,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-12-03T11:30:00+00:00,,,53.321535,-2.221015,Male,25-34,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-12-03T11:30:00+00:00,,,53.321535,-2.221015,Male,25-34,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-12-03T11:49:00+00:00,,,53.198182,-2.881345,Male,over 34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T12:10:00+00:00,,,53.197142,-2.893075,Male,25-34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,,
Vehicle search,2015-12-03T22:55:00+00:00,,,53.089958,-2.432330,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-12-03T22:55:00+00:00,,,53.089958,-2.432330,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-12-04T00:52:00+00:00,,,53.276566,-2.905378,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,,
Person search,2015-12-04T00:52:00+00:00,,,53.276566,-2.905378,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-04T00:52:00+00:00,,,53.276566,-2.905378,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-04T00:52:00+00:00,,,53.276566,-2.905378,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-04T00:52:00+00:00,,,53.276566,-2.905378,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2015-12-04T02:34:00+00:00,,,53.388724,-2.592915,Male,25-34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,,
Person search,2015-12-04T04:32:00+00:00,,,53.352834,-2.464493,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-12-04T04:32:00+00:00,,,53.352834,-2.464493,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-12-04T11:56:00+00:00,,,53.260630,-2.503818,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T11:56:00+00:00,,,53.260630,-2.503818,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T11:56:00+00:00,,,53.260630,-2.503818,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T12:05:00+00:00,,,53.259955,-2.182665,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T12:05:00+00:00,,,53.259955,-2.182665,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-12-04T13:25:00+00:00,,,53.325089,-2.242172,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
