Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bcc3a699a8d01a7f4db9b201c43116315108cc5c019c107ca728da5d6a6047c9,2015-12,Cleveland Police,Cleveland Police,-1.147527,54.570703,On or near SOMERSET ROAD,E01033471,Redcar and Cleveland 009F,Offender sent to prison
6ba8980f080d409ac30a8a25eb452ba44221b013ee3f48f4a882b5105f3ee37c,2015-12,Cleveland Police,Cleveland Police,-1.243510,54.560449,On or near Supermarket,E01012081,Middlesbrough 005D,Offender sent to prison
4d36a4ede85b12292f497e3be0527938fe7732d65b3071c333da09aa3cf64219,2015-12,Cleveland Police,Cleveland Police,-1.317138,54.562064,On or near Parking Area,E01033477,Stockton-on-Tees 014G,Offender sent to prison
293228324855565f89829046659e0f88649b8496bed50cbcbf15117f9ff61cc7,2015-12,Cleveland Police,Cleveland Police,-1.182368,54.571896,On or near WALLIS ROAD,E01012167,Redcar and Cleveland 022B,Offender given community sentence
07e0b6b91248cf810ff76c4a2adb299f00ad92042f370b4b3b35064b333057d3,2015-12,Cleveland Police,Cleveland Police,-1.242224,54.661463,On or near FORDYCE ROAD,E01011978,Hartlepool 012D,Defendant found not guilty
477152157dcbe76ca8236860c158921715481ba332fa7f2f8948e2d81ceb7e78,2015-12,Cleveland Police,Cleveland Police,-1.242027,54.567890,On or near HAREWOOD STREET,E01012039,Middlesbrough 003D,Offender given community sentence
5c2a03799b5711a8dd38d137819b2a585b3824237b67493575fdae42175c243b,2015-12,Cleveland Police,Cleveland Police,-1.213290,54.684241,On or near Middleton Grange Shopping Centre,E01011999,Hartlepool 007D,Offender given community sentence
ff14ab3047ed048777537aef4e1e70242d7152918bd01a8c4a62091132eb85b1,2015-12,Cleveland Police,Cleveland Police,-1.215226,54.554005,On or near Hospital,E01012018,Middlesbrough 011A,Offender given absolute discharge
f67c12f1f0af26751dcf50dc9e2e51d641a0867e966153bd7b2b83a40c9be2e9,2015-12,Cleveland Police,Cleveland Police,-1.062309,54.617345,On or near Nightclub,E01012102,Redcar and Cleveland 001C,Offender given community sentence
789f22a12e563409d860b2a63a7a1d6b8c41dfb501866d46ba75728fe6fba8b5,2015-12,Cleveland Police,Cleveland Police,-1.243510,54.560449,On or near Supermarket,E01012081,Middlesbrough 005D,Offender sent to prison
2656d7a7fac61270187a42ccbac6c4fbddd3ccf0910ad231fad8b5de47527198,2015-12,Cleveland Police,Cleveland Police,-1.198747,54.545943,On or near WINDLESTON DRIVE,E01012082,Middlesbrough 010A,Offender given suspended prison sentence
b41ce8b3862a24ca84b6a2eafe7b218f011163ed7c6a1d88f2067fab583da6e8,2015-12,Cleveland Police,Cleveland Police,-1.237501,54.577495,On or near Shopping Area,E01033468,Middlesbrough 001G,Offender fined
56b51ac75d36865e60c10e67fd16d47c3bdf5de0a59b023199c8e560e3fd787a,2015-12,Cleveland Police,Cleveland Police,-1.299664,54.582778,On or near BERKSHIRE ROAD,E01012258,Stockton-on-Tees 010C,Defendant found not guilty
2d17d1302c4c82adf1a7ab54b1124a0077e23f049b194545fdef886f9a5ca6a9,2015-12,Cleveland Police,Cleveland Police,-1.313256,54.566706,On or near Shopping Area,E01012266,Stockton-on-Tees 014E,Offender sent to prison
2a4087787b1c44bd43b91534727262622eb49dadd917f799dca06862092c05ba,2015-12,Cleveland Police,Cleveland Police,-1.359504,54.555627,On or near EDGLEY ROAD,E01012224,Stockton-on-Tees 015C,Offender sent to prison
0894e9f99c859f5fe008b3393ba9b141515bb23d4260da6bfbbef23488ce5e64,2015-12,Cleveland Police,Cleveland Police,-1.239192,54.577263,On or near Hill Street Shopping Centre,E01033468,Middlesbrough 001G,Offender given suspended prison sentence
8e8fd64f460aacc8880d29f0d6dbca9c0bc35d27f8c8d82de0cd24dab6932280,2015-12,Cleveland Police,Cleveland Police,-1.253781,54.556918,On or near THORNFIELD ROAD,E01012054,Middlesbrough 009B,Court case unable to proceed
