Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
13375cf02ca96e58559f54d5e698c8ca5680c78a5cc68c7cdd7772b65e7b6fe6,2015-12,Cumbria Constabulary,Cumbria Constabulary,-2.906004,54.890766,On or near BOTCHERBY AVENUE,E01019197,Carlisle 011A,Defendant found not guilty
673f1dfe4d503d2ff64f86ece96e9f66c4c5b9ec7cead07a81e985869b424d2c,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.528655,54.483989,On or near WYNDHAM WAY,E01019274,Copeland 006D,Offender given community sentence
06f89e855a17b3cc179e35c26a77c45d9722520a4a3cfd358f7dce4087e34ea5,2015-12,Cumbria Constabulary,Cumbria Constabulary,-2.977290,54.890986,On or near COALFELL AVENUE,E01019192,Carlisle 005A,Offender given suspended prison sentence
50fbc749dbc766451684c3736973c7831f9628b33cf4844498a1035f0bb78567,2015-12,Cumbria Constabulary,Cumbria Constabulary,-2.922418,54.875617,On or near UPPERBY ROAD,E01019247,Carlisle 012D,Offender given community sentence
9dad9cfd0ad9862c3853689211dfaa82bc5f879e697844a143dfaa8933173c95,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.563372,54.620216,On or near SHELLEY COURT,E01019112,Allerdale 009B,Offender fined
1e14e4a22efb4926aaaf15c69ffbb5b8f1d076e01d7a4da832bdc832f8780d1d,2015-12,Cumbria Constabulary,Cumbria Constabulary,-2.923480,54.887292,On or near LONDON ROAD,E01019211,Carlisle 010B,Offender fined
a22d6752c2d5264ec522017876a2688de2a2fc78cd03ed9509d30d9b36fd55f8,2015-12,Cumbria Constabulary,Cumbria Constabulary,-2.756470,54.659707,On or near CASTLE DRIVE,E01019333,Eden 003C,Offender sent to prison
171a88a992cd2265e1c11b9731c3176298584b0122879fe0fd8bd419c142c262,2015-12,Cumbria Constabulary,Cumbria Constabulary,-2.932206,54.894558,On or near Bus/Coach Station,E01019206,Carlisle 006B,Offender given community sentence
5e39ffea6edbb83459af9e01bbf0530689788f154f5b9bb0b691d0cb431eef4a,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.573277,54.528465,On or near HERDUS ROAD,E01019294,Copeland 005C,Unable to prosecute suspect
7a4500dd3d16a4b44a01e5f94db2b4c383cb0b3a8545c8fd82656bf8a6bfd037,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.528445,54.480028,On or near SOUTH STREET,E01019274,Copeland 006D,Investigation complete; no suspect identified
eb7f0f92e4da21df9a440e0992014e0ef1eede0107d7a0d6acfd4e33077c1835,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.592729,54.533531,On or near BRAKESIDE GARDENS,E01019301,Copeland 005F,Investigation complete; no suspect identified
65264ad15f05a470bd64d594ef759a3b681fbe8321e94562d0bdd6ff5bb9e1ee,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.403999,54.544129,On or near CAUDA BROW,E01019276,Copeland 004G,Unable to prosecute suspect
4c807591201bca5315af80dd07dae6197aa437668f62a5b8bba3f15f44455b52,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.266455,54.209891,On or near KATHERINE STREET,E01019299,Copeland 008G,Local resolution
b65eaa365ac1e0f7300e5a024b2dc42f57cfcb692a31c1947d5c34c277bd7fad,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.587903,54.552909,On or near Supermarket,E01019260,Copeland 002A,Suspect charged
a43ed335c29f57a73138f03b16737aa02a9415dd4eeb526127c87463d4fc2631,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.506890,54.519684,On or near ROBERT OWEN PLACE,E01019263,Copeland 004B,Investigation complete; no suspect identified
5056d4f2b42c43c09358507d11095c1f963a4ee37f86541f6aba1d9c59a4ead0,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.537963,54.513595,On or near JOHN STREET,E01019273,Copeland 006C,Investigation complete; no suspect identified
bbdcb41ad45da6862d8628fb599407da29eef23b284cb58fbf891fc18aa9b790,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.582500,54.551551,On or near JAMES PIT ROAD,E01019280,Copeland 002B,Offender given a caution
a7fa7bff27712f523298d48a8cb35ab7b121fd1500c871145b6fe215dbb79043,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.589227,54.549198,On or near STRAND STREET,E01019280,Copeland 002B,Unable to prosecute suspect
2ed94f07c179e491c593a5e23248723b7e769f23e226d995e3164cbd32716d71,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.589227,54.549198,On or near STRAND STREET,E01019280,Copeland 002B,Offender given a caution
10d0d90910a98faed59735102cf3d39fe973c53a26e69e14e86df242b97ce804,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.587903,54.552909,On or near Supermarket,E01019260,Copeland 002A,Suspect charged
10d0d90910a98faed59735102cf3d39fe973c53a26e69e14e86df242b97ce804,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.587903,54.552909,On or near Supermarket,E01019260,Copeland 002A,Suspect charged
f5d61cdc412c09fc44f317ae8a3a927524b16dee1b09189c119f5bfa9d1d0cd3,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.539461,54.484832,On or near CHAUCER AVENUE,E01019272,Copeland 006B,Investigation complete; no suspect identified
5d6d8d021b1182d5db1a4c1df4db19fcdc34f3f487f0d0c21c71039ada596e12,2015-12,Cumbria Constabulary,Cumbria Constabulary,-3.310210,54.246939,On or near A595,E01019293,Copeland 008E,Investigation complete; no suspect identified
