Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0a55a3ff017362946e123b60b6955d583880993fbfc46a9212a7ed22f5a9d37e,2015-12,Humberside Police,Humberside Police,-0.348587,53.796443,On or near BROADWATERS,E01033105,Kingston upon Hull 001F,Defendant found not guilty
ee236d86ee8bcd2f99e0f1465c45f66b9c592311b6583a51dd6012f74080872f,2015-12,Humberside Police,Humberside Police,-0.334316,53.743146,On or near LAND OF GREEN GINGER,E01033104,Kingston upon Hull 029E,Offender sent to prison
f567c37a23f97de1612c1de0aed667825bf35e8145f9ab011b9c4b4b0489172f,2015-12,Humberside Police,Humberside Police,-0.085041,53.570677,On or near Petrol Station,E01013221,North East Lincolnshire 003D,Offender given community sentence
088ac89524df33823d2c7a8d5d6b0b2e645e0757f540a2e8ff8f8cac7b1029d5,2015-12,Humberside Police,Humberside Police,-0.197590,54.090108,On or near Parking Area,E01012945,East Riding of Yorkshire 004C,Offender sent to prison
df5ada884160ad8fedfc1b48b5dba5597b5c507e6f94beae9609b1cfb7da5ab1,2015-12,Humberside Police,Humberside Police,-0.022881,53.554410,On or near BROOKLANDS AVENUE,E01013133,North East Lincolnshire 014C,Offender given community sentence
46a03b25c42e8aa1f4bd60ea7e8be991163e96f6b2d348187b5c121e77910ab9,2015-12,Humberside Police,Humberside Police,-0.343300,53.745671,On or near Shopping Area,E01033104,Kingston upon Hull 029E,Offender given conditional discharge
ed6e9dd97f01292a6fb805e989ec82cf3980ac8bab3a6fe8e18bb49c4548b90e,2015-12,Humberside Police,Humberside Police,-0.203956,54.092118,On or near Supermarket,E01012929,East Riding of Yorkshire 002A,Offender given conditional discharge
3f6b42aa0210de37de62f45ebfc988dd0014fbe117d6325fbe44590249f97fa7,2015-12,Humberside Police,Humberside Police,-0.701616,53.761549,On or near TURKS HEAD GARDENS,E01013019,East Riding of Yorkshire 026B,Offender given suspended prison sentence
89986cc1cf314c8d9d7a5a476ba189273de3413ecb9b375737031c1b42ebd24c,2015-12,Humberside Police,Humberside Police,-0.646464,53.571956,On or near POPLAR GARDENS,E01013315,North Lincolnshire 014A,Offender given conditional discharge
f571ee803e1cb3f9074caea8354519f57bdb5d951e6cd1034ce1ad2155f9aa41,2015-12,Humberside Police,Humberside Police,-0.334316,53.743146,On or near LAND OF GREEN GINGER,E01033104,Kingston upon Hull 029E,Offender sent to prison
e1b49d4b92fb80439a21d635465e6471ebf295ba720ddae241fe9d71ff85bd75,2015-12,Humberside Police,Humberside Police,-0.086465,53.566565,On or near Shopping Area,E01013221,North East Lincolnshire 003D,Offender sent to prison
12034447bb6edf90b38f3f723cf07dee2c7d3e767c3ebefe3cd0bb4de7240025,2015-12,Humberside Police,Humberside Police,-0.075028,53.568018,On or near FREEMAN STREET,E01013137,North East Lincolnshire 002B,Offender given community sentence
45a639cd396e28142b2689beb7acd2747d239c8304be4b32ea185fd9741607df,2015-12,Humberside Police,Humberside Police,-0.107038,53.560707,On or near CHELMSFORD PLACE,E01013211,North East Lincolnshire 015C,Offender sent to prison
0edc446d2ec53cf57b648d9eb36e6e1d101c37a861c18dda03f5f5808ed8d2c9,2015-12,Humberside Police,Humberside Police,-0.343300,53.745671,On or near Shopping Area,E01033104,Kingston upon Hull 029E,Court case unable to proceed
a2a5190caa576ac928776108331be0f3a004d6033abac36d55feac776af288f2,2015-12,Humberside Police,Humberside Police,-0.680825,53.599496,On or near FERRY ROAD WEST,E01013302,North Lincolnshire 007C,Offender given community sentence
83cd3f1f5ea66cac7106dd03229e0b5866f5f12b3c1739c033bc167d8a933ab2,2015-12,Humberside Police,Humberside Police,-0.105072,53.562124,On or near WINSTON AVENUE,E01013188,North East Lincolnshire 008B,Offender given suspended prison sentence
a0a8cce4673c75553fd8692bfc2efc63a1ce2e1460f4580f4a69578972440d3b,2015-12,Humberside Police,Humberside Police,-0.347571,53.745433,On or near Shopping Area,E01012851,Kingston upon Hull 029A,Offender given community sentence
b70fa022a4f4375d8e250993cabce567751e4b11d85c52c53a3ed41b156c745f,2015-12,Humberside Police,Humberside Police,-0.427365,53.841269,On or near Shopping Area,E01013062,East Riding of Yorkshire 019E,Offender given conditional discharge
bde19429bee3a89c57734b00c8fd2a6a31d999c832484943f8202de2d20ddfa3,2015-12,Humberside Police,Humberside Police,-0.078346,53.565104,On or near SHEEPFOLD STREET,E01013165,North East Lincolnshire 011D,Offender sent to prison
34d8a0e8005e730155c3bd8636b669f30648acd3554c5f315b07c1085da8de50,2015-12,Humberside Police,Humberside Police,-0.190966,54.082440,On or near Shopping Area,E01012948,East Riding of Yorkshire 005C,Offender sent to prison
798e3d66976bf0779027bec7db31b8da7417f5a86834e35febc22a18f3a5d0dc,2015-12,Humberside Police,Humberside Police,-0.363816,53.787078,On or near Petrol Station,E01012768,Kingston upon Hull 005C,Defendant found not guilty
7d43b37b3b9008a1ecd06cfaed50cc2dcd6ea1f66ecd595f6ee0749de17f390b,2015-12,Humberside Police,Humberside Police,-0.210134,54.094952,On or near Shopping Area,E01012932,East Riding of Yorkshire 003C,Court case unable to proceed
8f8c88353325c77dae2ad7afd1002661fafccc33a99c2aac5bc0f939b87dde96,2015-12,Humberside Police,Humberside Police,-0.656109,53.574977,On or near ASHBY ROAD,E01013316,North Lincolnshire 012C,Offender given community sentence
7b4f9b3881c7b16e6b96b551bfacfbdc42ab8a92805dd812d27c273296598cb2,2015-12,Humberside Police,Humberside Police,-0.276397,53.760000,On or near BILTON GROVE,E01012895,Kingston upon Hull 017D,Offender given community sentence
4d9f0e0c4043f835f410730e7dd991447beb4d9594ce474577ed54daf00e9a73,2015-12,Humberside Police,Humberside Police,-0.106544,53.562965,On or near CLIFTON ROAD,E01013233,North East Lincolnshire 008D,Offender given suspended prison sentence
d9722c3e5ab60cb2e620d2c6567d6207740b6ee4124d09e49de8ae3bdecd638c,2015-12,Humberside Police,Humberside Police,-0.665602,53.568009,On or near SAXTON CLOSE,E01013319,North Lincolnshire 014D,Action to be taken by another organisation
48efd2b222381239a9a6e395fbaafc2f53c9567ea46a9b5221d0cc0bb72a31ec,2015-12,Humberside Police,Humberside Police,-0.360899,53.792198,On or near CLOVER BANK VIEW,E01012768,Kingston upon Hull 005C,Action to be taken by another organisation
7919a145313cb27faa2653c339a8d6fb90e6e626bf8403e9554e528f9eeb2fce,2015-12,Humberside Police,Humberside Police,-0.662261,53.686230,On or near HUTESON LANE,E01013290,North Lincolnshire 005D,Action to be taken by another organisation
a931e2fdcd21a87a77e8178449481ee5e4b4b80667c8e91f30a6af9208c4d83e,2015-12,Humberside Police,Humberside Police,-0.296483,53.747990,On or near Prison,E01012848,Kingston upon Hull 020B,Action to be taken by another organisation
bce2071f2e383c6f2d47f0927c73aecb3e007e3b6f05185740ab4bb5b6feb2b8,2015-12,Humberside Police,Humberside Police,-0.078321,53.556321,On or near FLORENCE STREET,E01013181,North East Lincolnshire 016A,Action to be taken by another organisation
389180527f2842fdd2d8d289b358c5aff5b44fdec7f695b676c3be1cec9323eb,2015-12,Humberside Police,Humberside Police,-0.375644,53.784246,On or near 22ND AVENUE,E01012880,Kingston upon Hull 008C,Offender sent to prison
0d9cc3658f12d992be5d1d517d7eb9ddf5f0d8f478f3f5e4d7dec35bb86afce3,2015-12,Humberside Police,Humberside Police,-0.339833,53.766289,On or near Sports/Recreation Area,E01012871,Kingston upon Hull 015D,Offender fined
229591027affeeb4571ebdb67f5c0c12076b7773a858435a58d7d9f7d14f5faa,2015-12,Humberside Police,Humberside Police,-0.397556,53.738184,On or near BOOTHFERRY ROAD,E01012860,Kingston upon Hull 031B,Offender given suspended prison sentence
e369f95cd094cb57a2c3caed83bc1696d94905c737293424e72df40d50325343,2015-12,Humberside Police,Humberside Police,-0.810344,53.554390,On or near JOHNSON CLOSE,E01013244,North Lincolnshire 020D,Defendant found not guilty
b7969c5f27b7814542455902dd0c5c5cd6b1677e466692ef523d80c3a1d2dd9a,2015-12,Humberside Police,Humberside Police,-0.077393,53.557151,On or near Pedestrian Subway,E01013181,North East Lincolnshire 016A,Offender given absolute discharge
01db3a5dd2d929d3953b2f40e06c057aad15be96c3b633aff67eef0317668282,2015-12,Humberside Police,Humberside Police,-0.285824,53.759102,On or near ALDBOROUGH GROVE,E01012895,Kingston upon Hull 017D,Offender given suspended prison sentence
dd16f7b71fbf1d7e5c9f354fc8834179a8d00ba49e10061ef856114b376d10b5,2015-12,Humberside Police,Humberside Police,-0.348461,53.750569,On or near TRAFALGAR STREET,E01012851,Kingston upon Hull 029A,Offender given conditional discharge
9bb5a7c19564ab2ac371f4e0297349b70074a4ecfb72a9ccc7676e723d1004a8,2015-12,Humberside Police,Humberside Police,-0.429484,53.841512,On or near Shopping Area,E01013062,East Riding of Yorkshire 019E,Defendant found not guilty
05baa4d21139a22fb107c8302e773f2245d514573d2f1eb8239112f79c2ddcd7,2015-12,Humberside Police,Humberside Police,-0.413498,53.848646,On or near PENNYMAN ROAD,E01013045,East Riding of Yorkshire 017B,Offender given community sentence
5913f36c1aff1ce85552d08f8e5d5494cf4395c841845fab178ba9a0322f6de1,2015-12,Humberside Police,Humberside Police,-0.351150,53.749672,On or near WALMSLEY STREET,E01012851,Kingston upon Hull 029A,Offender given community sentence
44c612bc6c4ea810bd0660da05436f8306593fdf5375950bc08dcee6b0d75abe,2015-12,Humberside Police,Humberside Police,-0.370051,53.733912,On or near Shopping Area,E01012889,Kingston upon Hull 030B,Offender sent to prison
a75d145fb2d72bde24238fde749c93ca678c03b12680d162a54d7589e208a638,2015-12,Humberside Police,Humberside Police,-0.374003,53.787837,On or near Parking Area,E01012875,Kingston upon Hull 003A,Offender given community sentence
b17733fe7af31e4dc94771c3ef0ff2cdb3c3a5e978ed040667f39bd3349cb8a1,2015-12,Humberside Police,Humberside Police,-0.116952,53.544512,On or near SELGE WAY,E01013209,North East Lincolnshire 019D,Offender given community sentence
f5e94702ca598af6dd1ab3cfe4b5c8212231cdf82454a30b7512f8e196c13a40,2015-12,Humberside Police,Humberside Police,-0.042653,53.539812,On or near BUCK BECK WAY,E01013156,North East Lincolnshire 018D,Offender sent to prison
e22ebc94dc9f7946b72f4b1458d54d2166a70e433f60b73ba5c8081693cf5941,2015-12,Humberside Police,Humberside Police,-0.250612,53.758809,On or near TUXFORD GROVE,E01012842,Kingston upon Hull 021A,Defendant found not guilty
c06d05fb86198d3100d6f8cd72a23dbb678b71841802719f38a78678bc087b03,2015-12,Humberside Police,Humberside Police,-0.104010,53.573712,On or near CLEVELAND STREET,E01013218,North East Lincolnshire 003A,Defendant found not guilty
64f0b4c7a99bb068485422cc0878fdbefbfce11ff88b222d4b8b269ed6d66117,2015-12,Humberside Police,Humberside Police,-0.305146,53.754702,On or near RENSBURG STREET,E01012903,Kingston upon Hull 022E,Offender given community sentence
8d2417afbcd95d36b0d28fc4e7f1caeacd9ec3cb9e42874630527a0fff5be9d8,2015-12,Humberside Police,Humberside Police,-0.345036,53.794084,On or near JOHN NEWTON WAY,E01012829,Kingston upon Hull 006A,Offender given suspended prison sentence
2eb14b8b499a8d9ec24f2fd656cf95034ff0f72c5f6905605c92e2ba9e596bc7,2015-12,Humberside Police,Humberside Police,-0.348587,53.796443,On or near BROADWATERS,E01033105,Kingston upon Hull 001F,Offender sent to prison
b7cdec25a36866e7e5b9622c54f83981b8f0891b8ecba3937838935a06f019ab,2015-12,Humberside Police,Humberside Police,-0.186712,54.089190,On or near PARK AVENUE,E01012952,East Riding of Yorkshire 004D,Offender fined
3e6b3c0c9a0f4ab1e840dd11cf77b6c02e8362607a11d9df90ec1f13245644d3,2015-12,Humberside Police,Humberside Police,-0.267666,53.779732,On or near BICKLEIGH GROVE,E01012840,Kingston upon Hull 009E,Offender given suspended prison sentence
ed6a900fa760c7452985c5c1582bd5d8f336cbf0ac42272e5dc38736ec23cf53,2015-12,Humberside Police,Humberside Police,-0.427116,54.003046,On or near CAWTHORN CLOSE,E01012977,East Riding of Yorkshire 044B,Defendant found not guilty
ba76806748b5d0be971150bbc43ecbbda219574cf2d1479dcc2224dc8b36cc67,2015-12,Humberside Police,Humberside Police,-0.487509,53.819714,On or near TAYLORS CLOSE,E01012921,East Riding of Yorkshire 020B,Offender given conditional discharge
71f1565a76be8a7b596e2271b13268f7fc020ced38c19f5dba59d3768c6cc33a,2015-12,Humberside Police,Humberside Police,-0.106544,53.562965,On or near CLIFTON ROAD,E01013233,North East Lincolnshire 008D,Offender given suspended prison sentence
34e30876893521ec10cde55adec91e1238d2736fbda864e91f809993bfd38e39,2015-12,Humberside Police,Humberside Police,-0.498089,53.550571,On or near Petrol Station,E01013272,North Lincolnshire 011E,Offender given suspended prison sentence
e3c7803976b6270dc6895872fb7fdd06128f409bcecaeba134fc4fcb69bf6fd7,2015-12,Humberside Police,Humberside Police,-0.041111,53.546071,On or near BELMONT CLOSE,E01013154,North East Lincolnshire 018C,Offender given community sentence
e95f5383410e033ccc0b3e4a8e41d10fa7f96954a9f98ae29556f48510dd0dc2,2015-12,Humberside Police,Humberside Police,-0.751280,53.542956,On or near PARK VIEW TERRACE,E01013253,North Lincolnshire 023D,Offender given suspended prison sentence
664c7123535b255bc0105ba22e2c7b6de53d897b84e84eeef40f5c27d3fdb173,2015-12,Humberside Police,Humberside Police,-0.703041,53.875729,On or near YORK ROAD,E01013120,East Riding of Yorkshire 015A,Offender ordered to pay compensation
29eccb1d53c882fb7a1a4f127cb740651dba5df8349a65ac001c3605e6b97577,2015-12,Humberside Police,Humberside Police,-0.357381,53.744301,On or near LANSDOWNE STREET,E01012852,Kingston upon Hull 024B,Offender given suspended prison sentence
6b92737e5fc4f5e0e4c4fd5ef249e3f978e5f54f46611408645426b2a971303b,2015-12,Humberside Police,Humberside Police,-0.357896,53.780858,On or near BEVERLEY ROAD,E01012881,Kingston upon Hull 008D,Defendant found not guilty
bec5de24c5c88c1a3a86ea06df7f02bdc5ad7dac5545ed120d9a76104b6e07e8,2015-12,Humberside Police,Humberside Police,-0.102442,53.564194,On or near WENTWORTH ROAD,E01013233,North East Lincolnshire 008D,Offender given conditional discharge
fa92097f64e9a6d2e9d4918a6fab6baccc24990ca1397329c7d039f6dc00ff92,2015-12,Humberside Police,Humberside Police,-0.337922,53.742073,On or near PRINCES DOCK STREET,E01033104,Kingston upon Hull 029E,Offender fined
9a4a0eddb1e7d397bc841d94d50fc9210cff764d862d6736451214916c957b38,2015-12,Humberside Police,Humberside Police,-0.197998,54.089863,On or near Sports/Recreation Area,E01012945,East Riding of Yorkshire 004C,Offender sent to prison
444a72a27e7555e466061e275179f1c34f13ec68985f26697544838f674815a1,2015-12,Humberside Police,Humberside Police,-0.124305,53.551279,On or near Supermarket,E01013207,North East Lincolnshire 015B,Offender given community sentence
13fcd1d3d0393bc6633977b0771a5aaa2892cdac60d553735656caf419b152d3,2015-12,Humberside Police,Humberside Police,-0.646632,53.592246,On or near Shopping Area,E01013330,North Lincolnshire 008D,Offender sent to prison
c56f599b8901c2c34ed26b7fc27929916422be7afb598527d57adda872640a05,2015-12,Humberside Police,Humberside Police,-0.082357,53.566229,On or near DIAL SQUARE,E01013221,North East Lincolnshire 003D,Offender given suspended prison sentence
a84d543b472cad7d71513ee088ec715a0907b760e037f79329b8688139364d3b,2015-12,Humberside Police,Humberside Police,-0.680825,53.599496,On or near FERRY ROAD WEST,E01013302,North Lincolnshire 007C,Offender given community sentence
d7656ffed2624b4a99d8dfc66b968e25fbeb93f9c92d840faad11d5d4476f9d7,2015-12,Humberside Police,Humberside Police,-0.358169,53.754047,On or near CHARING CLOSE,E01012763,Kingston upon Hull 018C,Offender given community sentence
f0b03a209b9720d2249bcdcebaa034e6c09babd6bebd312e7795c607ea95d955,2015-12,Humberside Police,Humberside Police,-0.422031,53.721915,On or near OWEN AVENUE,E01013008,East Riding of Yorkshire 034A,Offender ordered to pay compensation
75cf9e832bc4cff5f52e67025f302df7855f8381bd7f271f8ecee5db3e9289c8,2015-12,Humberside Police,Humberside Police,,,No location,,,Offender sent to prison
fa5d7ed72e057965affb94c06f89c9b93372049a8b0ff9417a65dca823fdfeb0,2015-12,Humberside Police,Humberside Police,-0.042653,53.539812,On or near BUCK BECK WAY,E01013156,North East Lincolnshire 018D,Court case unable to proceed
348d7b1ea7317834036fff1d9b0447bd2c372674ea79c3f8da98aa0587d5b728,2015-12,Humberside Police,Humberside Police,-0.188654,54.081120,On or near HARBOUR ROAD,E01012948,East Riding of Yorkshire 005C,Offender given conditional discharge
0a55a3ff017362946e123b60b6955d583880993fbfc46a9212a7ed22f5a9d37e,2015-12,Humberside Police,Humberside Police,-0.348587,53.796443,On or near BROADWATERS,E01033105,Kingston upon Hull 001F,Defendant found not guilty
eb3bd365e76a3fd52d6e0ee07827cee58e42c4b1039c7ca3c9b805f689b32bd5,2015-12,Humberside Police,Humberside Police,-0.342755,53.783786,On or near Parking Area,E01012829,Kingston upon Hull 006A,Offender sent to prison
d076b48bcfcdfa502e7b2c3308c827d5ce3bd480f68d34b1f658ee4ccf5ecd47,2015-12,Humberside Police,Humberside Police,-0.385193,53.783431,On or near KNIGHTSCOURT,E01012879,Kingston upon Hull 003E,Court case unable to proceed
42823d6c0ed998fd8ea6a5afb61e04c2f3a8d6b01af8dac52eebde3dd8699fcf,2015-12,Humberside Police,Humberside Police,-0.116420,53.553439,On or near WINSLOW GROVE,E01013206,North East Lincolnshire 015A,Offender sent to prison
5f4f7fb8f8b09753474ea1f13f8dd7eb3440123e66aae3c425cdbb9c88e07e32,2015-12,Humberside Police,Humberside Police,-0.671024,53.865572,On or near SKELTON CRESCENT,E01013123,East Riding of Yorkshire 015C,Offender fined
de136f41dacd48be579df83c7121c976d7809895017fecabb8b47df08dcf598e,2015-12,Humberside Police,Humberside Police,-0.339833,53.766289,On or near Sports/Recreation Area,E01012871,Kingston upon Hull 015D,Offender given community sentence
