Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d859471028971b059c8ca2c5fae250d5b80cf70bae79e91baf0026447d17be07,2015-12,Kent Police,Kent Police,1.053847,51.356201,On or near THE HEATH,E01024058,Canterbury 005C,Offender given suspended prison sentence
58c3b9ed03e0560d07f2fe80308532a66088e653247f9d19e06c5efa08ba17b5,2015-12,Kent Police,Kent Police,,,No location,,,Offender fined
2daa4ffc9934e81f7f520c7368c549d529230c620ef690b6e3f5a04aac1b061f,2015-12,Kent Police,Kent Police,,,No location,,,Offender sent to prison
ffe3efe29b695c246fbdfd1a249373083a71d29f5357b5eb0254751934c97670,2015-12,Kent Police,Kent Police,1.402038,51.346545,On or near WOODVILLE ROAD,E01024685,Thanet 013D,Offender given conditional discharge
5e2d6148396e94efac04179a1b280ac1ada4238061bdf0acc00069bf4a82c822,2015-12,Kent Police,Kent Police,0.548827,51.378249,On or near CANTERBURY STREET,E01016047,Medway 016C,Offender fined
6a71a3e1be22d5d7e130e6cce16eb48140d8d385ce48ba1e660a769ce0ef9c51,2015-12,Kent Police,Kent Police,1.081366,51.275203,On or near Police Station,E01024044,Canterbury 016A,Offender sent to prison
660c052f02b1c97f42ed54ea92e98a01c1fa733d91723476456fb45af4cf9de7,2015-12,Kent Police,Kent Police,1.128467,51.371033,On or near WILLIAM STREET,E01024078,Canterbury 001A,Offender sent to prison
3e1883c186fc60a645eb38bbb3186ba26ecaf27557ab3beb6d15cfa00dd9fef3,2015-12,Kent Police,Kent Police,0.212925,51.441014,On or near HEATH STREET,E01024182,Dartford 003C,Offender given suspended prison sentence
a0d4b837f0de6b052ba80b51e95becc3a43739ce0380e651d6f0d1ea53d02f06,2015-12,Kent Police,Kent Police,1.407364,51.386148,On or near NORTHDOWN ROAD,E01024656,Thanet 002D,Offender given suspended prison sentence
a1074584aac67c508cb0c30dd8910d6336441001f0ad64b5d1460455e8a84046,2015-12,Kent Police,Kent Police,0.525910,51.385643,On or near BARRIER ROAD,E01016110,Medway 015D,Offender given community sentence
afa8d8a8e346ecc6ca1db153805e6b15a98069475df7d5833ea1490d513516a0,2015-12,Kent Police,Kent Police,0.524808,51.274956,On or near CHURCH STREET,E01033090,Maidstone 004F,Offender given conditional discharge
a30729b353fd3ffe622980955f26772a3666e75c7e134e598e064fb10c4daa82,2015-12,Kent Police,Kent Police,0.270367,51.189856,On or near Tonbridge Police Station,E01024779,Tonbridge and Malling 013D,Offender fined
3399ac401fafe7eb5e96fa24cf7fe081803dbc92cded9444455e48e9d8314bab,2015-12,Kent Police,Kent Police,0.338583,51.433204,On or near WATERDALES,E01024280,Gravesham 006A,Court case unable to proceed
bd962040f91f94cbc0376cc26885af0598e876a3e07784713cd083afedb63aa3,2015-12,Kent Police,Kent Police,0.215176,51.446799,On or near WESTGATE ROAD,E01024181,Dartford 003B,Offender sent to prison
6af5b749fb7ba6398e7c07d6d8fb780ef542ad782b1f780842d8dd8140f8ef48,2015-12,Kent Police,Kent Police,1.420280,51.334202,On or near Supermarket,E01024667,Thanet 016D,Offender fined
766e618f35c69b58c65257112808a18e0a0a66772050f882c5d79fd732202d84,2015-12,Kent Police,Kent Police,1.343173,51.380794,On or near CHESTER ROAD,E01024712,Thanet 005E,Offender given community sentence
750444df5f39c2ed325c1765556c443bcad596263c3b3e54af891eb447f5c5b0,2015-12,Kent Police,Kent Police,0.494650,51.395972,On or near Supermarket,E01016140,Medway 006D,Court case unable to proceed
cf11607d557a31d589bf46dcedad0430d68280ed66f3014dca610ffa366c1be0,2015-12,Kent Police,Kent Police,0.194715,51.288257,On or near Hospital,E01024468,Sevenoaks 010F,Defendant found not guilty
bc33619674a5c7036a4288dc953aea316857b47c325862a9d4a6d4889cf14b0f,2015-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ddf11a2420f59074a7311118e30b9fa706df5d764483ef7ac9e2490595f97b82,2015-12,Kent Police,Kent Police,1.390352,51.389188,On or near CLIFTON GARDENS,E01024657,Thanet 001A,Offender sent to prison
128f8cd4195adc6af2c8ce095e28e32210a14db875787946d493fa2f4101deee,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b1dc68038e20e4f721eba42339aa5e32c1d2493d25e040e40c17944aa6de64a6,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
5a6792a95cc6258491691a8cb18a9c0da8024055167c6aaf24cd0ba995d1f826,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
87234f4be710019b7478bac2d202f7f658a86f5fefdd54981f0cedb69a3857d5,2015-12,Kent Police,Kent Police,0.217780,51.439348,On or near Sports/Recreation Area,E01024167,Dartford 009C,Court case unable to proceed
40ff15c2c8eb63fe849926e53b156b3874d540e66bcc2f3158bdc719b4676c0e,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
1f66a0b2a530c661e52223b65f0b9a214f0aaca35ad91385caa16aa58a58833b,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
0bd2642fe656cd04f0ad44702b01c15ffb752e0a883f693fe4ea678a899de79c,2015-12,Kent Police,Kent Police,0.883708,51.136890,On or near NEWTOWN ROAD,E01023973,Ashford 005A,Offender sent to prison
81a54297090c621b86184540c41cdd5b545ebd2b41a72823f636ec48ae917077,2015-12,Kent Police,Kent Police,0.166061,51.289204,On or near AISHER WAY,E01024423,Sevenoaks 008B,Court case unable to proceed
1b0fb4ef90c843acdcf6fe3b1ddbcec9a86ad5d40fa554f8b529a235a04b286b,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
e7741422f07f36139d54bddf932a83f22a04e91244ab271aaceca321599b1c80,2015-12,Kent Police,Kent Police,0.907871,51.145781,On or near WILLESBOROUGH COURT,E01024004,Ashford 006E,Defendant found not guilty
757d6f6eba917f9fb0ce8f1e231452fb3026eb9746eadf4e52280467a6c4cb7f,2015-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
77287c003f628aa7d50eef0bc4f88f4ad4121fcfb8239c8529d7892ebb2ad092,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
79eb2789891bc87dfdaf08f36e7b12917640ee6fc1c73e969a786dd90c66465d,2015-12,Kent Police,Kent Police,0.527621,51.376514,On or near CHALK PIT HILL,E01016016,Medway 015A,Defendant found not guilty
455a535d643d6b38796a2813eba95675ba909ea62b149608d7a59a588c35e71e,2015-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
95d2302c3cddf51377c57d6ee2224c8af7e37a7426c846364d896c1919206825,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
f6ddf21044e4cdea39b06739e19f73ec5e3c0f79b8ae43c79f5b77c639044202,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
6b44aeb362cedf78835319e32067e0c86a7ca93eb1eea1e7d304576a028b347b,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
77bd34db93e1f534eacc920a9c8c1792ab42007aee9bdd6675b46ba6a1464bdb,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b544009a665fdc092839aa9a84b8ea467c97d4d25b05d394c095bcb5590c5b5b,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
9fa1d9d3539ba762264987c62cfa2d468d9e9294ac07b55e184c83a1c682bc17,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
89c68683412d5585d916648f984d3223139b47c29ef30eb5375bc51aeda15e58,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
ff49102559a075cf2027c30ac09e5a63ac1f285ee9b63e6b40505c6f92f3ccb9,2015-12,Kent Police,Kent Police,0.525910,51.385643,On or near BARRIER ROAD,E01016110,Medway 015D,Defendant found not guilty
a918cf5d33fa57b9e123a10698404eb226f0e5ac87d3417332b4035570d0b4cb,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
081d22c7c045124a84429a2efd5bd5cdf1797c6b3fcdc4c99dac6c9d0afa4360,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a36869b359eb3f9d97d761c4040aed6f92d8bf238d7acd1edf45caefd3105bbc,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
bf8c803442f73f8463c7c54f5e81c2d028718cf3520df18f6e95300b9bf8dc39,2015-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
97c65f3abb94f1e020c519dd3d2817620776083ee160cd9107872c98ee7d49c2,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
703b2f41360928c2e891466c36f7df4f72100ca0285a678abccbee9eac7fb3e5,2015-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
adfcfd2a665aa22b329d696a19d030b382d07a05b97688cd3aad0a44b5a86832,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
0af8ea3878b815460c3739e809623f7624a16a79d16bf3d197abc1f695697441,2015-12,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
f00d0e3a5c307683e8914c206698f88afd299f917055bc16bf5e132617e36168,2015-12,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
c0b5ab92835c3ebb8c712929179848f9eb0f04fabd172390fd8c2f7a2c2d386e,2015-12,Kent Police,Kent Police,,,No location,,,Suspect charged
6192f72fca8307190b723ec50eb6f12c475641be1af555a03a15e2834b2cdd3a,2015-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
1f9504bf26c2dddc93c4d50a8152a0a3e11ec6eaf8c956f37816eccdcd3d25ff,2015-12,Kent Police,Kent Police,1.352947,51.379606,On or near Petrol Station,E01024673,Thanet 005B,Offender given suspended prison sentence
6991abd2928aea226787b79d3d599bcd2e92623e45c818534071715664fc7a26,2015-12,Kent Police,Kent Police,1.067609,51.359421,On or near Petrol Station,E01024057,Canterbury 005B,Defendant found not guilty
e83fecfa0ede489189e14e14d715bdf07548338df658cc62dbd48304f6854347,2015-12,Kent Police,Kent Police,0.235164,51.452930,On or near DICKENS AVENUE,E01024154,Dartford 001C,Offender given conditional discharge
6f9a3e6e6da2678ea6ca8251e835ef939ff5ba75c126cc489add8bf854b89b3a,2015-12,Kent Police,Kent Police,1.382588,51.380813,On or near GLADSTONE ROAD,E01024697,Thanet 003D,Offender sent to prison
c908fe0be0d8733744cbb7cf618e9d4495525f2d0a8a22866853e959bdca1b47,2015-12,Kent Police,Kent Police,0.495619,51.395295,On or near Supermarket,E01016154,Medway 011B,Offender given suspended prison sentence
d0ee0b352c97c115d67ef05774d1fd58a74b61e3fc21a2b749032645618564f6,2015-12,Kent Police,Kent Police,1.183892,51.079984,On or near THE PARADE,E01033215,Shepway 014D,Offender sent to prison
477a7f745bfa4623bf072f77c540083314c100f3292eda6599d449f0ac955ec0,2015-12,Kent Police,Kent Police,0.545860,51.395986,On or near KELLY DRIVE,E01016035,Medway 007A,Court case unable to proceed
8e8edfbd2ccb6170f02eeb01d010be0a90ec029e717508e016263cdc91d7557b,2015-12,Kent Police,Kent Police,1.145768,51.088024,On or near GRANGE ROAD,E01024512,Shepway 006B,Defendant found not guilty
855c3f501b4ef173b3b3cd68decf030f082bc269fe7e59cae64d39d8f87eb56c,2015-12,Kent Police,Kent Police,1.381065,51.385112,On or near GROSVENOR PLACE,E01024676,Thanet 003A,Offender sent to prison
