Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ca2f7d511e1c4bd379a84ab27d35262e614f08eb1a052aa8e7fe15ca317c22ed,2015-12,Northumbria Police,Northumbria Police,-1.471423,55.022859,On or near TRURO GROVE,E01008489,North Tyneside 015B,Offender given conditional discharge
92a5d464157c4a2e085f4139939d6aba253a785635e488f0f1fac3b60b2168bb,2015-12,Northumbria Police,Northumbria Police,-1.510696,55.128314,On or near REGENT STREET,E01027415,Northumberland 023B,Offender given community sentence
4b6603bfa488195876037c5ed9a6ed95fee509a0a9962fbab2b2d39933114049,2015-12,Northumbria Police,Northumbria Police,-1.373581,54.894591,On or near VILLETTE ROAD,E01008737,Sunderland 016D,Court case unable to proceed
2c60ca7bbaa98133980840a33d3282335bec85e46397f1a7375ee7ddd97fc1b3,2015-12,Northumbria Police,Northumbria Police,-1.468087,54.964065,On or near ABERDEEN DRIVE,E01008603,South Tyneside 014B,Court case unable to proceed
f1ffddd9d72b685a64dec02f6d5ceff9ef95e442c0ecf12b6e1ad905ddcdc7b1,2015-12,Northumbria Police,Northumbria Police,-1.382717,54.916061,On or near NEWCASTLE ROAD,E01008787,Sunderland 006B,Offender given community sentence
b9a199ffa5c0d282abb7504ab7d2ce703ddbf36b202539790cade4a401fbd2ef,2015-12,Northumbria Police,Northumbria Police,-1.615061,54.975034,On or near Shopping Area,E01008397,Newcastle upon Tyne 024C,Court case unable to proceed
aba4b373a96a5e8c6d7634b56a4a6a10c32f1728e22bca2a47d7f9cb285a337f,2015-12,Northumbria Police,Northumbria Police,-1.415290,54.908503,On or near EXETER STREET,E01008757,Sunderland 015A,Offender given community sentence
27bf9002e85129ae1cb0fcd22d2156355d644442f12c4b84d0c99f849eef4158,2015-12,Northumbria Police,Northumbria Police,-1.665793,55.012072,On or near Shopping Area,E01008295,Newcastle upon Tyne 008A,Offender given conditional discharge
1701cfae996ebedc0cc2297052f51d8156986059333d7b3e8ffe04f1bc9a9105,2015-12,Northumbria Police,Northumbria Police,-1.584226,54.976182,On or near CLIFFORD STREET,E01008304,Newcastle upon Tyne 026C,Offender given conditional discharge
2ed6b8ef8633f4f23c03a96502ccda6b235198c04f611b4ca94b50d8f97bbbfe,2015-12,Northumbria Police,Northumbria Police,-1.672286,54.980818,On or near WARENFORD PLACE,E01008343,Newcastle upon Tyne 019A,Offender sent to prison
5788a8a05e43e71543493b0fa81479cdd1b7adba81e7256f670cfae898db1a50,2015-12,Northumbria Police,Northumbria Police,-1.381905,54.917126,On or near Shopping Area,E01008787,Sunderland 006B,Offender given community sentence
9d410737f7e28f14d1d48fcd29cc302c5adb75b58b1e43ec199483e9765f0c3a,2015-12,Northumbria Police,Northumbria Police,-1.653527,54.980110,On or near GOWLAND AVENUE,E01008349,Newcastle upon Tyne 019G,Defendant found not guilty
81ff36333fc26e96356c32aa3df91901a55df79aaf03bddeaa671ea4f9f9a2a7,2015-12,Northumbria Police,Northumbria Police,-1.537312,54.988153,On or near CRAWLEY ROAD,E01008575,North Tyneside 030E,Offender sent to prison
e2f29a10dceac5dd64e2f33aafec850f3d4f2d123c6de7e78dc427d3e0b908b1,2015-12,Northumbria Police,Northumbria Police,-1.728165,54.954725,On or near BACK STREET,E01008280,Gateshead 004E,Offender given suspended prison sentence
8df584c9b3f544dacb19ace3f428cf5e0ac1f65b0e0da1d9c1e412aa45128761,2015-12,Northumbria Police,Northumbria Police,-1.490243,54.963378,On or near SWINBOURNE TERRACE,E01008659,South Tyneside 017C,Offender given conditional discharge
3271b5b007c3c2863043f2a31257ff681a853295a7162f8802aa9605ae0704f4,2015-12,Northumbria Police,Northumbria Police,-1.409258,54.972151,On or near Supermarket,E01008634,South Tyneside 008B,Offender given community sentence
736f5ae078829a6870092ff392ef0be654291799540c8a1ace99e1937d700e72,2015-12,Northumbria Police,Northumbria Police,-1.370221,54.900091,On or near EMMA COURT,E01008736,Sunderland 016C,Offender given community sentence
3c50cde3256cd0a80c3840723508453d515657f5ab4047e937d9fc30d39abb57,2015-12,Northumbria Police,Northumbria Police,-1.368061,54.864781,On or near Hospital,E01008768,Sunderland 028D,Court case unable to proceed
8acb1ea785b9c3ef481754f840b55c6a6c1fd526af7736c742f354395d3c7678,2015-12,Northumbria Police,Northumbria Police,-1.575244,54.983457,On or near HARTFORD STREET,E01008360,Newcastle upon Tyne 018C,Court case unable to proceed
274a1e6796b716ff625dedfa4aeb5793048fd89aa11dc90c2b1a36a25bd8b9ae,2015-12,Northumbria Police,Northumbria Police,-1.668382,54.976755,On or near ADAIR AVENUE,E01008289,Newcastle upon Tyne 027B,Defendant found not guilty
9163628d0acd741c056fa7908c512223cef797a5ab0076936ba33d1e26976c8b,2015-12,Northumbria Police,Northumbria Police,-1.411045,54.902300,On or near KAYLL ROAD,E01008759,Sunderland 015C,Offender given community sentence
17e6d5ddae1ff6becfdf9eff1e4c43c5ce1f8976d1f823826c6ce45d0f6bed28,2015-12,Northumbria Police,Northumbria Police,-1.430790,54.981770,On or near STANHOPE ROAD,E01008683,South Tyneside 005D,Defendant found not guilty
a15b499cfade9e338cf9d9edee54413ad4830ab499320b6bcf7cc9aa37055252,2015-12,Northumbria Police,Northumbria Police,-1.499419,54.961466,On or near BRIGHTON PARADE,E01008658,South Tyneside 015F,Offender given conditional discharge
30323e4d4ee64b3bfdd31c7b5325869f0ae4c3bdf5316cf844702c9b4a49997e,2015-12,Northumbria Police,Northumbria Police,-1.621373,55.008213,On or near ELSDON ROAD,E01008355,Newcastle upon Tyne 006B,Offender sent to prison
e1583e29d897166834dfde1b548179c412a1e240fb76e38d4c332d6f0050d81f,2015-12,Northumbria Police,Northumbria Police,-1.615061,54.975034,On or near Shopping Area,E01008397,Newcastle upon Tyne 024C,Offender sent to prison
69ff72ba1b3002e234bd29a62c8d67e875d5c0b6439cd815c487f9c093b8d2ee,2015-12,Northumbria Police,Northumbria Police,-1.515520,55.128810,On or near WRIGHT STREET,E01027415,Northumberland 023B,Offender sent to prison
a04635e426b8064f3e8f2dd1a1d1a5a0fe1fa7ff9a9fb4726d067274628adcb4,2015-12,Northumbria Police,Northumbria Police,-1.525637,55.118075,On or near WORDSWORTH AVENUE,E01027422,Northumberland 024B,Offender sent to prison
95a30d6cfd2ff6166ec6af62885de7401475acaf54a5209550e814abfb13f686,2015-12,Northumbria Police,Northumbria Police,-1.386034,54.904180,On or near VINE PLACE,E01008703,Sunderland 013B,Offender otherwise dealt with
c565dc0768f9f434e70f21fc9d3d3760a75a109cbb6d7314681cccbf61bcd9b6,2015-12,Northumbria Police,Northumbria Police,-1.578536,54.970465,On or near CUSHAT CLOSE,E01008305,Newcastle upon Tyne 026D,Offender given suspended prison sentence
3db78e01f9955126da5acbb29c4a02379f4556ab6b04ff1be5ea02dadebf1db9,2015-12,Northumbria Police,Northumbria Police,-1.619912,54.949322,On or near ARKLE STREET,E01008257,Gateshead 008E,Offender sent to prison
297ac2010bfdba8441a4cff7c2e247a833273c7ef3255725a08014cb25fbd036,2015-12,Northumbria Police,Northumbria Police,-1.595546,55.085663,On or near Parking Area,E01027409,Northumberland 029B,Offender given conditional discharge
33696068960d2b0fd9d9008b847ac5185e3fbef719229dd93fdd4868f71a8cdf,2015-12,Northumbria Police,Northumbria Police,-1.484950,54.981553,On or near STAPLE ROAD,E01008604,South Tyneside 007B,Offender sent to prison
67589e09af3383d8544c367decd90c854c8a61bcad451e48c7140769fbf2630d,2015-12,Northumbria Police,Northumbria Police,-1.600219,54.962504,On or near NUNS LANE,E01008166,Gateshead 027C,Offender given community sentence
f7e039ed93df2076baff918aa086af62c1c20398d69cb8fb730834192c989a95,2015-12,Northumbria Police,Northumbria Police,-1.457142,54.917432,On or near COLOMBO ROAD,E01008696,Sunderland 008D,Offender given community sentence
af7749f5ca74b0468112f729aed81251858f5f3d29f4025b17a3c40eb4727cbb,2015-12,Northumbria Police,Northumbria Police,-1.593393,55.002776,On or near Hospital,E01008321,Newcastle upon Tyne 007D,Offender given conditional discharge
61fea1e6d0bdee031865ebe6bbe0f4c1e3302026d1e211a4c549fc51769d4994,2015-12,Northumbria Police,Northumbria Police,-1.639378,54.988067,On or near GRANDSTAND ROAD,E01008395,Newcastle upon Tyne 024B,Defendant sent to Crown Court
ee1dabaab8a7aa41281bcd750e25825f928cb8a411b0381ee81193b5f1a6be07,2015-12,Northumbria Police,Northumbria Police,-1.639157,54.967398,On or near BEECH GROVE ROAD,E01008437,Newcastle upon Tyne 029F,Defendant found not guilty
2f1cf3b79d2d486603b9d3ee011078df56092d340cea05ff8d3099abf5067364,2015-12,Northumbria Police,Northumbria Police,-1.452770,54.969488,On or near Supermarket,E01008669,South Tyneside 012B,Court case unable to proceed
b98798d470e937126fe9d6c30bb4492247ec953d8c0949f704303e98dd7c7fab,2015-12,Northumbria Police,Northumbria Police,-1.497619,54.864001,On or near HUNTER STREET,E01008793,Sunderland 030A,Defendant found not guilty
0d433472e9c4852ea0ceb88f7c5fbc84ce4258be3964f0183df2e6ae31feeef5,2015-12,Northumbria Police,Northumbria Police,-1.445541,55.042891,On or near YORK ROAD,E01008584,North Tyneside 006A,Offender given conditional discharge
26f3656d5d5a504ccf20123e2a6ea275137ec07286464df58da25d5f73f77543,2015-12,Northumbria Police,Northumbria Police,-1.617134,54.972264,On or near NEWGATE STREET,E01033543,Newcastle upon Tyne 024G,Offender given community sentence
e5e19e07abb00472adcfef1ec54d78d9c41bfac38f603913c6873e5fdcd21350,2015-12,Northumbria Police,Northumbria Police,-1.535133,54.991488,On or near Supermarket,E01008536,North Tyneside 030C,Offender given conditional discharge
b1ee9e0712d0335e0d35d06d0da8fbfadf823b44d910d7f420f89aec8ea2e474,2015-12,Northumbria Police,Northumbria Police,-1.634255,55.296721,On or near WANSBECK ROAD,E01027444,Northumberland 008B,Offender fined
8daef9d133a0e54e715eae73b8c72766eb702f75f5b21472c6c4dfce0f170b01,2015-12,Northumbria Police,Northumbria Police,-1.615061,54.975034,On or near Shopping Area,E01008397,Newcastle upon Tyne 024C,Offender given community sentence
868da1fd748bc14f5b3c394dcda8e5950a7552f200e64f3b566b4cbd8438c949,2015-12,Northumbria Police,Northumbria Police,-1.621086,54.973876,On or near Parking Area,E01008397,Newcastle upon Tyne 024C,Offender fined
a464818cf07677487795648a66ff3598ce0f2c9e72f0195ecc1f0e399bbd6e0e,2015-12,Northumbria Police,Northumbria Police,-1.535133,54.991488,On or near Supermarket,E01008536,North Tyneside 030C,Offender given absolute discharge
6ac5b5523568986a6df9a448f0ff6156164aecd1110086b78320a9e7b7067df2,2015-12,Northumbria Police,Northumbria Police,-1.539994,55.214020,On or near DALTON AVENUE,E01027451,Northumberland 008E,Offender given suspended prison sentence
79609c79d3e9088f1b333a7aa0d143d7708269cb048832715634d1a04e530d9b,2015-12,Northumbria Police,Northumbria Police,-1.586985,54.976757,On or near Petrol Station,E01008304,Newcastle upon Tyne 026C,Offender given conditional discharge
4f0de658fb6316d458848d4a18b9310b9d4d183c345bdc68f4dbb7fcef81254c,2015-12,Northumbria Police,Northumbria Police,-1.560959,54.967914,On or near SPRINGWELL AVENUE,E01008389,Newcastle upon Tyne 028B,Defendant found not guilty
7d119639451cce3d3bba7507a83fc92dd1d26ecb50085e9e7f62ba2a443aa9f5,2015-12,Northumbria Police,Northumbria Police,-1.561197,55.176689,On or near FIFTH AVENUE,E01027545,Northumberland 010D,Offender deprived of property
742159e6dfd53c0f2a0c94564bbb034fd33aca59684c8ee84f4422301be248df,2015-12,Northumbria Police,Northumbria Police,-1.850389,54.961002,On or near Supermarket,E01027500,Northumberland 038D,Offender given community sentence
0c328655131805268c2d8b39d37b5e8afe53c6566458317ffd665d84c5ac98b3,2015-12,Northumbria Police,Northumbria Police,-1.619903,55.013187,On or near Supermarket,E01008358,Newcastle upon Tyne 002E,Offender fined
95522f9043daa94f2b26a4ccb0579356f592f490d36f9cd6f1c59a27c8158eb0,2015-12,Northumbria Police,Northumbria Police,-1.679503,54.949637,On or near KIPLING AVENUE,E01008265,Gateshead 009D,Offender given absolute discharge
d1810605231ecfb485b33504ed49fb9e83dd3be023b2ca65789087f0eed5b35f,2015-12,Northumbria Police,Northumbria Police,-1.381905,54.917126,On or near Shopping Area,E01008787,Sunderland 006B,Offender fined
13dd458d03687251028a39d1741669db8e05e144f8d04f84cafd95c1feb47b30,2015-12,Northumbria Police,Northumbria Police,-1.549847,55.126245,On or near INGLEWOOD CLOSE,E01027425,Northumberland 025A,Court case unable to proceed
