Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
33774152fb03a88c6dd1760ce9fb6136ba4180d5c26877c6771bc11be34d59b7,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
d3d946d27fbbb8c4f98dcf35290d10e6d66f44bae9b2951af4c7c530cf396df2,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a drugs possession warning
2085ace2b39b1c03f311c47417144dfd7febb8f15cd02243ec0720ef7508724d,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
d7326b01d67d7e9815f0997941ad58be5beaee4dee824a7ad6ba108b349fdfe1,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
335b2a0246b99a4c53a9ff77791bf219d6207fd7cbad957af2bc2fd776e712bb,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
66b635dcddac2be1d82beb9ef3db3fc322074a6e70bb6cf3dddd15ca4de8601b,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
7973b35626e3238b6ae5bf5bab51fe4a1abcd47e6bb6f813d0da39c4bd2b8f38,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Local resolution
d2872a429ee44eaca4d0dccf1801b3821c73c96bd1bcd5af8011dba1e492fdbc,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
c3a7dcf5d402e0bc7c58746eec5df2b3c240cfa305bb695f60d12e9be5356834,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
4eaaa84fd0a3c331982b77884aafbfaf3efc199f48c6b8da1130b16df2ecacbf,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
103baa5bb6dca14a27c162165f455581c6ec82d15a27276e7bc0f8bc6345bf12,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9c3feafaa7b0337c18c41257ab30c9a6e10bd869883cddd09d698829497348e7,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
70ebd768eb071905b6d12d86ace78cd0d19e598c05db9e3123ff111f9e2776c2,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3cebe04af2c5e1280ce2384ccba2ee67dfdfd79199e8b83c1cec38e81649a4de,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3f97a125058a10a160159187f72c95a9207e34f892513fdee278feea8621cd3c,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2475ccc8a3710de4c2ce27eb440fc2b694b615f96868bff5351833d75ca44327,2015-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2d1347b9939d200555a7aa2ae6f338815487136aa32185b994a3870631534a7a,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.693262,52.467066,On or near BURNT HILL LANE,E01030237,Waveney 009C,Investigation complete; no suspect identified
4a563dfbfd6ff02e1f0e82585f9601a4f0fdd00192539a354619221212225c9d,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.678332,52.324757,On or near PARK LANE,E01030282,Waveney 014A,Investigation complete; no suspect identified
5cc467e9e77e9c74e7435f5502bba59b0bf2a95c626b984a7059dfc22e2e2b67,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.739094,52.484235,On or near BROOM ROAD,E01030262,Waveney 002B,Investigation complete; no suspect identified
62c02dc0359b020f9baab94f8e2b495fa2db92ae238258f760637d46645d4611,2015-12,Suffolk Constabulary,Suffolk Constabulary,0.412644,52.242640,On or near NAT FLATMAN STREET,E01032612,Forest Heath 008F,Investigation complete; no suspect identified
72705cd7a1139349e7698849e3e4b2c951143f9d419270610ac321cccef3f9bd,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.753236,52.483346,On or near DOVE STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
7c3efeca4754ee114fcf45f7ead9b395958fdc14883c93f958a15be32c815136,2015-12,Suffolk Constabulary,Suffolk Constabulary,0.713875,52.245547,On or near HIGH BAXTER STREET,E01030091,St Edmundsbury 006A,Offender given community sentence
8dc989f8e28fff82a91acb754e72b395a304149b3d21b8870435d6622613ca2f,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.132095,52.044075,On or near EMMANUEL CLOSE,E01030019,Ipswich 015C,Offender given community sentence
41c056d130e0e2c4993be0a610ef7263255ef33d7bb2c2f9722573ac76f579eb,2015-12,Suffolk Constabulary,Suffolk Constabulary,0.511816,52.342392,On or near Supermarket,E01029947,Forest Heath 004E,Offender sent to prison
f487984a807589ed5b5ec975a811d4fd983305fd87a0776eae35e6ba3a7b064d,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.153387,52.056035,On or near FALCON STREET,E01033125,Ipswich 007G,Offender given conditional discharge
0281d0925c41fb03fc195ba44c2db8f3d96f1855feceea76e13006c3564f0ed0,2015-12,Suffolk Constabulary,Suffolk Constabulary,0.955869,52.050187,On or near FREEMAN CLOSE,E01029893,Babergh 004B,Offender given suspended prison sentence
d03ee52dc8749e8823d61073ac98d338675073523ee8e407a12c71b355785c31,2015-12,Suffolk Constabulary,Suffolk Constabulary,0.816404,52.002190,On or near Sports/Recreation Area,E01029899,Babergh 009B,Offender given community sentence
ef9b87bc42ee1778fe0b74acedaa20269f40eb4b818935ca95aaedfe83f9dfb2,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.148178,52.059556,On or near Pedestrian Subway,E01033125,Ipswich 007G,Offender given community sentence
698d785af0eeb8169489c0987a36dc41b4cbd9c41dee9c1346f749d6b4133bfd,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.156019,52.056531,On or near Shopping Area,E01033125,Ipswich 007G,Offender given conditional discharge
90fb281b4d2f42d01949209726f14d74e33edf025f1ded1fe495f49935321993,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.730385,52.483692,On or near NORMANHURST CLOSE,E01030263,Waveney 005B,Defendant sent to Crown Court
78a406d323b45d9489c6d2535ad3f54203769980436268168292aedb1fe8cd78,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.147364,52.074112,On or near Supermarket,E01029973,Ipswich 002A,Offender given conditional discharge
4edaa086a17c0129838745d152d4ef890e7be85b1370ec2730ee09933cbc8b3a,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.149254,52.056389,On or near CURRIERS' LANE,E01033125,Ipswich 007G,Offender given suspended prison sentence
4a4e42d7471776ef6ef97a4d2b6b9bcfdfb344194a4ced73f0e4e38d2f96a15a,2015-12,Suffolk Constabulary,Suffolk Constabulary,1.145714,52.060620,On or near Supermarket,E01030024,Ipswich 006C,Offender given suspended prison sentence
