Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b8da600bd3726371b0f7206f37dca3343ab97b2c4121c40457b1f0461d9b98de,2015-12,Surrey Police,Surrey Police,,,No location,,,Offender given community sentence
8384631129bbf6bbd79e8384f125284dafceb2c4be2ea9d248ce1d02556cc3d2,2015-12,Surrey Police,Surrey Police,-0.081840,51.309896,On or near ASPEN VALE,E01030860,Tandridge 002D,Offender given conditional discharge
bf5a952e996ac0f4057a4d6d78764904d19703de1d1f746668eec96a6ced5857,2015-12,Surrey Police,Surrey Police,-0.188710,51.336732,On or near Prison,E01030563,Reigate and Banstead 002E,Defendant found not guilty
c273660f7b37bceae05765cd9e35a68ec2325e35ba33e150d87f2bb4a2f86a1a,2015-12,Surrey Police,Surrey Police,-0.578687,51.317034,On or near PARLEY DRIVE,E01030970,Woking 008C,Defendant found not guilty
6e517c65faf47bc6115d5927722990d8099fa5247f8ee85d38238311b9a8d0e7,2015-12,Surrey Police,Surrey Police,-0.075409,51.306184,On or near ALPHA COURT,E01030860,Tandridge 002D,Defendant found not guilty
e200eb3d5e7b2d633ff5e4727f67a849c24bf518a0f2c4dd909cb586ce03e1fb,2015-12,Surrey Police,Surrey Police,-0.510578,51.359720,On or near LEIGH CLOSE,E01030661,Runnymede 009D,Offender fined
d4fe2453c7447f0cc12ed58519c7d0e086b2bce2956c1f20e13051b5419d2f9a,2015-12,Surrey Police,Surrey Police,-0.626934,51.310191,On or near RAYNES CLOSE,E01030944,Woking 012A,Offender given suspended prison sentence
9d7cf61d5c173bea62d9ad8c540c595665d04b8116aa5b21cd772dd4288ceb38,2015-12,Surrey Police,Surrey Police,-0.616942,51.318049,On or near Supermarket,E01030977,Woking 007D,Offender sent to prison
3d3a9ae52586cde59afa7bf169904802a8a0d99c2feb7ee91cf8796747326ebe,2015-12,Surrey Police,Surrey Police,-0.572749,51.235526,On or near Shopping Area,E01030455,Guildford 013E,Offender given community sentence
58808593f2d4c4f59c8bab89f1d84d071eb1502b408e576d3acc4035645e558d,2015-12,Surrey Police,Surrey Police,-0.509239,51.385475,On or near HAMILTON CLOSE,E01030655,Runnymede 007F,Offender given community sentence
d480ab2cc29c33bbb304035ff8401ef23a0de3e4c64d8071d4ca851c2c968198,2015-12,Surrey Police,Surrey Police,-0.357468,51.381314,On or near THE WOODLANDS,E01030369,Elmbridge 009D,Offender fined
1d9d5e9afa249d5d0a958e94e290ed64c6f7c9f02a52d6bb9b03288d3f0de81b,2015-12,Surrey Police,Surrey Police,-0.766379,51.228195,On or near PINE VIEW CLOSE,E01030903,Waverley 001C,Offender given community sentence
16eda68003900ea0000cba445d6ea0d486669370620ac65ed3573927625d3c1e,2015-12,Surrey Police,Surrey Police,-0.511457,51.435806,On or near Supermarket,E01030736,Spelthorne 004C,Offender sent to prison
3d64f04434c63dca45275f4abae39c71d875d64788327b5b44de8212a5801fb0,2015-12,Surrey Police,Surrey Police,-0.740610,51.318554,On or near Parking Area,E01030768,Surrey Heath 010C,Offender given community sentence
bfd0b8a03cab4643a92301f2009b2f3842ea34559403a1d976a452d6501c2a64,2015-12,Surrey Police,Surrey Police,-0.557048,51.320690,On or near CHOBHAM ROAD,E01030954,Woking 008A,Offender given community sentence
b783f63c35e44c901a46e9a5eb1a6fbe7adf2fd3b521674097e86b917f24e3d9,2015-12,Surrey Police,Surrey Police,,,No location,,,Local resolution
5e7bb35d13990f27dd99d3ccca526741cba1dc0d20e4f8fe90fd0b4f54425980,2015-12,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
5772dd4d2ca2e026742f7f57b98ab07f3221f2a1148c5d395f94346a6ab9cd1d,2015-12,Surrey Police,Surrey Police,-0.545925,51.263495,On or near ABINGER WAY,E01030434,Guildford 008A,Offender given community sentence
a9f53cff5aa6b9273330796ec09f111e3186147ffb12e9cd093f7a94b3570549,2015-12,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
c2cb5db0a2b7c1f41c3615fcbfe311ff24abd7c60a36808f9152ea1a242d91fe,2015-12,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
70fa00b9e62c8ab1f15220662029dcdf2c609f4e95496017cb262f64d8e37253,2015-12,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
c0c63c534e92ddef86b09b59fc3eb39b7bed7e528ac5645332ffe8631519cc03,2015-12,Surrey Police,Surrey Police,-0.148400,51.176128,On or near CLARENCE COURT,E01030582,Reigate and Banstead 017C,Offender fined
6694852fcb42d80a79374f81a0fde1798063199b0ca9744b4f012c6ea7841ab9,2015-12,Surrey Police,Surrey Police,-0.167332,51.245258,On or near NASH DRIVE,E01030617,Reigate and Banstead 010C,Offender given conditional discharge
a1d78662b654de8a1c07d0600646d846e45291883773e08305b95e53fa929207,2015-12,Surrey Police,Surrey Police,-0.168576,51.236671,On or near READING ARCH ROAD,E01030613,Reigate and Banstead 011D,Defendant sent to Crown Court
b34570fc5f68e3e94159028dcd90e723115402cebd6efee6dbd6507361634553,2015-12,Surrey Police,Surrey Police,-0.161510,51.174195,On or near YATTENDON ROAD,E01030576,Reigate and Banstead 018B,Offender given community sentence
c273660f7b37bceae05765cd9e35a68ec2325e35ba33e150d87f2bb4a2f86a1a,2015-12,Surrey Police,Surrey Police,-0.578687,51.317034,On or near PARLEY DRIVE,E01030970,Woking 008C,Defendant found not guilty
1f06e9dc1ab48b31d6c01c7a5cb1915bc567460f5b2ae647990fc99683a9e0bd,2015-12,Surrey Police,Surrey Police,-0.746313,51.337787,On or near Shopping Area,E01030800,Surrey Heath 005E,Offender given community sentence
