Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-12-01T00:06:00+00:00,False,Not applicable,51.243503,-0.307552,Female,25-34,Chinese or other ethnic group - Any other ethnic group (O9),Asian,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T01:00:00+00:00,False,Not applicable,51.311648,-0.244538,Male,,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Vehicle search,2015-12-01T03:25:00+00:00,False,Not applicable,51.360184,-0.347366,,,,,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-01T12:29:00+00:00,False,Not applicable,51.293800,-0.070462,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-01T12:30:00+00:00,False,Not applicable,51.433482,-0.504800,Male,over 34,Not Stated (NS),White,,Stolen goods,Suspect arrested,True,
Person search,2015-12-01T18:30:00+00:00,False,Not applicable,51.237089,-0.185034,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Suspect arrested,,
Person search,2015-12-01T18:30:00+00:00,False,Not applicable,51.237089,-0.185034,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Suspect arrested,,
Person search,2015-12-01T18:30:00+00:00,False,Not applicable,51.237089,-0.185034,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Suspect arrested,True,
Person search,2015-12-01T21:10:00+00:00,False,Not applicable,51.246124,-0.162326,Male,18-24,Asian or Asian British - Indian (A1),Asian,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-01T23:36:00+00:00,False,Not applicable,,,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T15:06:00+00:00,False,Not applicable,51.372058,-0.271624,Male,over 34,White - White British (W1),White,,Article for use in theft,Nothing found - no further action,,
Person search,2015-12-02T15:06:00+00:00,False,Not applicable,51.372058,-0.271624,Male,25-34,White - White British (W1),White,,Article for use in theft,Nothing found - no further action,,
Person search,2015-12-02T17:00:00+00:00,False,Not applicable,51.307247,-0.552032,Male,18-24,White - White British (W1),White,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-02T17:50:00+00:00,False,Not applicable,51.199971,-0.165666,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Suspect arrested,,
Person search,2015-12-02T18:35:00+00:00,False,Not applicable,51.237624,-0.188164,Male,10-17,White - White British (W1),White,,Controlled drugs,Offender given penalty notice,True,
Person search,2015-12-02T19:00:00+00:00,False,Not applicable,51.226181,-0.172286,Male,over 34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T19:00:00+00:00,False,Not applicable,51.232438,-0.170463,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-02T19:30:00+00:00,False,Not applicable,51.248272,-0.168000,Male,18-24,White - White British (W1),White,,Controlled drugs,Offender given penalty notice,True,
Person search,2015-12-03T00:30:00+00:00,False,Not applicable,,,Male,over 34,Not Stated (NS),White,,Stolen goods,Suspect arrested,True,
Person search,2015-12-03T03:25:00+00:00,False,Not applicable,51.314206,-0.166796,Male,18-24,White - White British (W1),White,,Controlled drugs,Suspect arrested,True,
Person search,2015-12-03T10:40:00+00:00,False,Not applicable,51.260389,-0.501364,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T11:25:00+00:00,False,Not applicable,51.240928,-0.186716,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T12:15:00+00:00,False,Not applicable,51.247041,-0.164610,Female,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T12:15:00+00:00,False,Not applicable,51.247041,-0.164610,Male,18-24,Mixed - White and Black Caribbean (M1),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T12:20:00+00:00,False,Not applicable,51.248984,-0.161223,Male,18-24,White - White British (W1),White,,Controlled drugs,Suspect arrested,True,
Person search,2015-12-03T12:36:00+00:00,False,Not applicable,51.248105,-0.162490,Male,18-24,Mixed - White and Black Caribbean (M1),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T12:54:00+00:00,False,Not applicable,51.323091,-0.199839,Male,over 34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T18:00:00+00:00,False,Not applicable,51.311269,-0.140196,Male,10-17,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Suspect arrested,,
Person search,2015-12-03T18:00:00+00:00,False,Not applicable,51.311269,-0.140196,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,Controlled drugs,Suspect arrested,,
Person search,2015-12-03T22:34:00+00:00,False,Not applicable,51.335590,-0.407769,Male,10-17,White - White British (W1),White,,Stolen goods,Suspect arrested,True,
Person search,2015-12-03T22:34:00+00:00,True,Unknown,51.335590,-0.407769,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T22:38:00+00:00,False,Not applicable,51.260389,-0.501364,Male,25-34,Black or Black British - African (B2),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-03T22:55:00+00:00,False,Not applicable,51.254301,0.014042,Female,18-24,White - White British (W1),White,,Controlled drugs,Suspect arrested,True,
Person search,2015-12-03T23:12:00+00:00,False,Not applicable,51.236924,-0.208118,Male,18-24,White - White British (W1),White,,Firearms,Suspect arrested,True,
Person search,2015-12-04T00:25:00+00:00,False,Not applicable,51.199971,-0.165666,Male,18-24,Not Stated (NS),Black,,Controlled drugs,Suspect arrested,False,
Person search,2015-12-04T00:42:00+00:00,False,Not applicable,51.259434,-0.155546,Male,18-24,Mixed - White and Asian (M3),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T00:52:00+00:00,False,Not applicable,51.291769,-0.086439,Male,18-24,Not Stated (NS),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T00:52:00+00:00,False,Not applicable,51.291769,-0.086439,Male,18-24,Not Stated (NS),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T09:29:00+00:00,False,Not applicable,51.307620,-0.043210,Male,25-34,Black or Black British - Caribbean (B1),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T14:40:00+00:00,False,Not applicable,51.233913,-0.163572,Male,over 34,White - White British (W1),White,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2015-12-04T14:50:00+00:00,False,Not applicable,51.233913,-0.163572,Male,over 34,White - White British (W1),White,,Controlled drugs,Offender given penalty notice,True,
Person search,2015-12-04T16:13:00+00:00,True,OPERATION NUTCRACKER,51.238673,-0.557280,Female,25-34,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T16:17:00+00:00,True,OPERATION NUTCRACKER,51.238673,-0.557280,Female,18-24,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T18:40:00+00:00,False,Not applicable,,,Male,25-34,Not Stated (NS),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T19:40:00+00:00,False,Not applicable,51.351489,-0.264715,Male,10-17,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T19:45:00+00:00,False,Not applicable,51.351489,-0.264715,Male,10-17,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-04T21:26:00+00:00,False,Not applicable,51.375780,-0.614729,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T21:32:00+00:00,False,Not applicable,51.375780,-0.614729,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2015-12-04T22:09:00+00:00,False,Not applicable,51.236756,-0.731041,,,,,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T22:34:00+00:00,True,Unknown,51.334676,-0.405375,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T22:34:00+00:00,True,Unknown,,,Male,10-17,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T22:45:00+00:00,False,Not applicable,51.307822,-0.302231,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2015-12-04T23:20:00+00:00,False,Not applicable,,,Male,18-24,Asian or Asian British - Indian (A1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:27:00+00:00,False,Not applicable,51.319561,-0.603378,Male,18-24,White - White British (W1),White,,Controlled drugs,Offender given penalty notice,True,
Person search,2015-12-04T23:30:00+00:00,False,Not applicable,51.241997,-0.168694,Male,18-24,Mixed - White and Black Caribbean (M1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:33:00+00:00,False,Not applicable,51.319561,-0.603378,Male,18-24,Not Stated (NS),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:36:00+00:00,False,Not applicable,51.319404,-0.604516,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:40:00+00:00,False,Not applicable,51.242693,-0.169512,Male,18-24,Mixed - White and Black African (M2),Black,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-04T23:46:00+00:00,False,Not applicable,51.237995,-0.580508,Male,18-24,White - Any other White ethnic background (W9),White,,Controlled drugs,Nothing found - no further action,,
Person search,2015-12-05T00:35:00+00:00,False,Not applicable,51.265900,-0.173291,Female,10-17,Not Stated (NS),White,,Article for use in theft,Nothing found - no further action,,
Person search,2015-12-05T00:45:00+00:00,False,Not applicable,51.236008,-0.187225,Male,10-17,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
Person search,2015-12-05T01:51:00+00:00,False,Not applicable,51.186885,-0.611527,Male,18-24,White - White British (W1),White,,Stolen goods,Nothing found - no further action,,
