Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e6500143acb80f7379e2dc87a3395f85a87ee39baaa70cb296acd1cedb8e6b15,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
c42ed5410eae906287f635035fd2a87efa64bda9435d8c14be35595402e0f590,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
3721a4cefc505ba6cffa7242d1369c6fc6436f8d163b7cb449eb9b80b9488a1a,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Defendant found not guilty
06348fb1444bbe8a443162670de6ac98de4968e882a52a480f5699d9392d8837,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender fined
2b57cde72600aa37aef9dc87ba2f8b96e4c1f0868eeb9d7b1950d8f09516393d,2015-12,West Yorkshire Police,West Yorkshire Police,-1.762570,53.810622,On or near NORTH AVENUE,E01010824,Bradford 034C,Offender sent to prison
80370c710e9a32ec6fbc6211f5b92cebce7011679eed2be4b3a0e891c764908d,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given suspended prison sentence
081ec0faae255de9cd8776675aaa6f3a8da9a1bc668a1f610c2da303f38e535f,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
b0ffc25806b3e56eb145692a8ddba4cac7debd2268b8e62e29789e314f4097b6,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
b099936fdff1773d1c1b1a06d3192fec1b0de89c6c6789d74915a1d8ac44ab8e,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
a7ea48d2329ca55ce6a063f5c793adc77a86c881871059456f68bf7fe8348307,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
8ffab782d99cd995433ecb61e999f223a74e46ce4bad30393070a46956073719,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
d24cac80b47a608ff596bbbace0faa427a043c25627f90f19ba446f5130bf082,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender sent to prison
2cfba371e2c057388e811e36b671d9f0110717b0f6366b27b0195aeae2e98e0f,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Offender given community sentence
856e5d198acaf2f748aef4c9bca57786b0f49c4f1b6cdf65ea8ca1cd81e37741,2015-12,West Yorkshire Police,West Yorkshire Police,-1.748896,53.793787,On or near Pedestrian Subway,E01033690,Bradford 039G,Offender given community sentence
b591322b5abb4568f1ed51e7215377325ff7d3077c1b1a7cf035b30b74edff23,2015-12,West Yorkshire Police,West Yorkshire Police,-1.756461,53.795564,On or near JAMES STREET,E01033690,Bradford 039G,Offender given community sentence
ddeb144d7de194879b60faabfd0e5e3c4918259260812c9eb70f7c0292e1b968,2015-12,West Yorkshire Police,West Yorkshire Police,-1.361702,53.714936,On or near RAMSDEN STREET,E01011764,Wakefield 004E,Defendant found not guilty
f2317c53e7c3c91eea1d53723d0a3acd848e06c4e08cb8ee95a13190f47b016e,2015-12,West Yorkshire Police,West Yorkshire Police,-1.747145,53.794691,On or near CURRER STREET,E01033692,Bradford 039I,Offender fined
bde65ef5d57720a131b1e1f9dd18923e730bd2221d1e9e4496d230ac3e1a3f3d,2015-12,West Yorkshire Police,West Yorkshire Police,-1.783430,53.643420,On or near Shopping Area,E01011229,Kirklees 042D,Offender sent to prison
8a0e190a3ba1af8ba4d4fe7cab576a79ec445c5bd656b9f69b084c46df53ab7b,2015-12,West Yorkshire Police,West Yorkshire Police,-1.624040,53.793631,On or near TONG WAY,E01011727,Leeds 080B,Court case unable to proceed
b860f6a767a1cf02145f4bbfc212b389cb7938f464fa44b4fef5fbb59e7a40ba,2015-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Defendant found not guilty
2540a48506e666189e9816dde4cb4c0c2c5e952b7d16fa938f70ca82141fa0f0,2015-12,West Yorkshire Police,West Yorkshire Police,-1.783925,53.644302,On or near Shopping Area,E01011229,Kirklees 042D,Offender sent to prison
ce99af9e8c90fe58e2a0aa11b56d129bbec8dca835b28bfec91fc7ab27ea30cf,2015-12,West Yorkshire Police,West Yorkshire Police,-1.781103,53.721963,On or near LOWER CROW NEST DRIVE,E01010910,Calderdale 015E,Defendant found not guilty
3aa40ea9456c4abf04e6b8cb28eafddabf0da6a6574df7d6efb082ec86a27351,2015-12,West Yorkshire Police,West Yorkshire Police,-1.764534,53.817816,On or near Sports/Recreation Area,E01010824,Bradford 034C,Defendant found not guilty
7afaa9361f4946e466e25acfe2644b97c5fd80995d587c3b7d9dd07a17c822e4,2015-12,West Yorkshire Police,West Yorkshire Police,-1.565203,53.805126,On or near BELLE VUE ROAD,E01011681,Leeds 063D,Offender fined
c2d1e7839856d031b110470e599a2777b9544d2eb5674b20ffd9a12ef0120d08,2015-12,West Yorkshire Police,West Yorkshire Police,-1.741588,53.812107,On or near BEAUFORT GROVE,E01010602,Bradford 028E,Offender fined
3be8b723d0d043a3cd2b03c932634b58ccd07c6fad43b04d5180f6e96efb57a3,2015-12,West Yorkshire Police,West Yorkshire Police,-1.640764,53.808378,On or near FAIRFIELD STREET,E01011337,Leeds 058D,Offender given community sentence
72896b57eacefdcc7a6936eab4ad577b58ef0dd9b95febc5b1fbc233d521b993,2015-12,West Yorkshire Police,West Yorkshire Police,-1.782313,53.657700,On or near ELEANOR STREET,E01011045,Kirklees 031D,Defendant found not guilty
2aaa85d7bda2cb8458406819abd7bd9fabc831010e8bef344c8cb761474b5bb5,2015-12,West Yorkshire Police,West Yorkshire Police,-1.792550,53.693006,On or near CASTLEFIELDS ROAD,E01010945,Calderdale 024D,Offender otherwise dealt with
8766906692cb848c63c39fc8082b2621ef3e9569d4cb3e2781ff3b4d0deee6ef,2015-12,West Yorkshire Police,West Yorkshire Police,-1.657621,53.707473,On or near HIGHFIELD LANE,E01011037,Kirklees 012D,Offender given community sentence
