Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
98323bb900d9457e2bde4141ac683bf0e2d4eec92b5db7f8c35a05f5eaf32be2,2016-01,Bedfordshire Police,Bedfordshire Police,-0.661077,51.916601,On or near MARKET SQUARE,E01017555,Central Bedfordshire 021A,Defendant found not guilty
54a3967acd4b2043787e5b91ad40dfd5236089f6465355b5d9f1a9b03f00b3fb,2016-01,Bedfordshire Police,Bedfordshire Police,-0.438745,52.142128,On or near PENLEE CLOSE,E01017491,Bedford 007D,Offender given community sentence
365273e879a36c87fec35d71f8378f228ffd74f953c621e5527aa150155bc7bb,2016-01,Bedfordshire Police,Bedfordshire Police,-0.413089,51.877138,On or near PARK STREET WEST,E01015791,Luton 021C,Offender sent to prison
82eed09d285ccb7621b8cd5635566a3a5b30671d5c133e2a8921d1597de53bd6,2016-01,Bedfordshire Police,Bedfordshire Police,-0.400412,51.874916,On or near KIMPTON ROAD,E01015790,Luton 021B,Offender sent to prison
bdc5e0c3e80280d9a431f2c29af8e7c014747c4504a4cb12347e5cec3941fd0b,2016-01,Bedfordshire Police,Bedfordshire Police,-0.497677,51.876450,On or near LINCOLN CLOSE,E01017594,Central Bedfordshire 030C,Offender given community sentence
b071a185aa6e4a2078deee5bbc72f44801e74f86be9ed5c78a7a6683995c8ad2,2016-01,Bedfordshire Police,Bedfordshire Police,-0.414197,51.879077,On or near Parking Area,E01015794,Luton 018F,Offender given conditional discharge
67c5237dc6bef10f5f2492b34ae9ac0edc21f1df6ea1a6ae92f7db63f25edeaf,2016-01,Bedfordshire Police,Bedfordshire Police,-0.665717,51.916069,On or near BRIDGE STREET,E01017557,Central Bedfordshire 021C,Defendant found not guilty
832f3a3bd0919a56225f5b76d5cffa1f9a63ab20a4c60a0257953fbbab50ce5b,2016-01,Bedfordshire Police,Bedfordshire Police,-0.448400,51.888282,On or near TITAN COURT,E01015731,Luton 015C,Offender given community sentence
65db2e1359bc9dfddf0d688480192b7b1f1bdaa8d95158537e3b546ba8a03c04,2016-01,Bedfordshire Police,Bedfordshire Police,-0.308462,52.198065,On or near THE LANE,E01017543,Bedford 004E,Offender given community sentence
daa3d62c1182a5a99a56e576c2899e90d6f4f09e35321e4b80382d2b48d3d784,2016-01,Bedfordshire Police,Bedfordshire Police,-0.431712,51.884266,On or near Sports/Recreation Area,E01015725,Luton 017E,Offender given conditional discharge
e8703fd6e6e05584ec3313dbf26529cbefad0f18ce5ad5c430fb1d91fc9e4380,2016-01,Bedfordshire Police,Bedfordshire Police,-0.413327,51.879443,On or near Supermarket,E01015794,Luton 018F,Offender fined
5c6f48ea20a63dee8564e4c0ec9826dd930a7830766bea3152f25d1b07b3edb9,2016-01,Bedfordshire Police,Bedfordshire Police,-0.460911,52.145197,On or near ST ANDREWS ROAD,E01017484,Bedford 009C,Court case unable to proceed
690c67845d7090b0e99c78b0f51b8b0681cd415a07945f71b4cfd20d9945e930,2016-01,Bedfordshire Police,Bedfordshire Police,-0.501636,52.107923,On or near Police Station,E01017514,Bedford 018B,Offender given suspended prison sentence
b61c7c9ab2e6f3aaeee2836a616d87fbfd3bbba2bf1d32b66c6c6bc72ff20bf5,2016-01,Bedfordshire Police,Bedfordshire Police,-0.421287,52.153548,On or near LYMINGTON GARDENS,E01017492,Bedford 007E,Offender given suspended prison sentence
bc54b6db957d17c62d7ffb68ab42c52a28894a7e5ed0ef8c2cfe9150d85a0e20,2016-01,Bedfordshire Police,Bedfordshire Police,-0.487523,52.113748,On or near THE HOLLIES,E01017513,Bedford 018A,Defendant sent to Crown Court
4d4bcca985c5833c54dcfb4a8f9497dde22dbb2c7c6372b45924c6b59b3fb84f,2016-01,Bedfordshire Police,Bedfordshire Police,-0.444473,52.124104,On or near DUNHAM CLOSE,E01017519,Bedford 014B,Offender given conditional discharge
d55b4ed1578a8acc92419bde7349bcc1586712b0bed3f274601ede112a187a07,2016-01,Bedfordshire Police,Bedfordshire Police,-0.468277,52.136671,On or near Shopping Area,E01017469,Bedford 012D,Offender sent to prison
0c9ec34c7d1739731abc61aeeef0fb5082cabd4917edece25511e11f5397fc55,2016-01,Bedfordshire Police,Bedfordshire Police,-0.418615,51.880279,On or near GORDON STREET,E01015794,Luton 018F,Offender sent to prison
fdc3b41c4ee107aecc33de4737f82736e309c776e2c5059e7f9914c1a305f453,2016-01,Bedfordshire Police,Bedfordshire Police,-0.451834,51.892796,On or near Conference/Exhibition Centre,E01015787,Luton 015D,Offender fined
52589eec3ba72fc71b6b1d95339d339a5e2d845cce895bcb81e84fcd696e8730,2016-01,Bedfordshire Police,Bedfordshire Police,-0.650116,51.926222,On or near NELSON ROAD,E01017609,Central Bedfordshire 021E,Offender sent to prison
2992b9844701064466e97a9cbfde07734fa917e7eb93e2840b4e0cf0e415b445,2016-01,Bedfordshire Police,Bedfordshire Police,-0.500805,52.025111,On or near THE CRESCENT,E01017373,Central Bedfordshire 012C,Offender fined
0f7b87e6a5e1b82f63658874136e4c278fb50ba2b5c0ca300c1683f5530faa6e,2016-01,Bedfordshire Police,Bedfordshire Police,-0.466075,52.138251,On or near Nightclub,E01017469,Bedford 012D,Offender sent to prison
2750174f62dc054095b32a8afa7200b8b185adca2a84a2b5fdbcc8ed05bd4c72,2016-01,Bedfordshire Police,Bedfordshire Police,-0.409439,51.886701,On or near EDWARD STREET,E01015742,Luton 018C,Offender sent to prison
64ca98634458d3bd312d8b6e96c2e43fc1fb7856e841c5c62b7e4061037e5c48,2016-01,Bedfordshire Police,Bedfordshire Police,-0.252461,52.091365,On or near GLEBE ROAD,E01017390,Central Bedfordshire 006D,Offender given community sentence
821cd85fbddbafed214ade7201d1aea898bb99baaa8fb968032d13a5891da1c6,2016-01,Bedfordshire Police,Bedfordshire Police,-0.263014,52.086872,On or near HIGH STREET,E01017385,Central Bedfordshire 005C,Offender sent to prison
2cadc33b6418b952de9fa27b4466f8e6dde1b01c5ade3a8162ca74d62030617e,2016-01,Bedfordshire Police,Bedfordshire Police,-0.385147,51.873638,On or near AIRPORT WAY,E01015811,Luton 014G,Offender fined
71e725478d4547bdc04b1fa8f7160ac38fc9aced6a793ce7f62559ef19d91b07,2016-01,Bedfordshire Police,Bedfordshire Police,-0.436430,51.904084,On or near BRITANNIA AVENUE,E01015766,Luton 006C,Defendant sent to Crown Court
604ac6058c3d9bcc7c6fe925b8197c26106de03e8ac37bbcd58dd78d50c47120,2016-01,Bedfordshire Police,Bedfordshire Police,-0.480489,52.138924,On or near THE FINCHES,E01017471,Bedford 012F,Defendant found not guilty
8a087d2ee43f2cbe257b2bd8b8a26ab2eac4ddee8680431964bf579b426adbb5,2016-01,Bedfordshire Police,Bedfordshire Police,-0.421287,52.153548,On or near LYMINGTON GARDENS,E01017492,Bedford 007E,Offender given suspended prison sentence
2892ffc30adf3187b2638e27373406a828554eae43dd74d5bd219fa7dec3d333,2016-01,Bedfordshire Police,Bedfordshire Police,-0.459997,52.126358,On or near Petrol Station,E01017522,Bedford 014E,Offender given conditional discharge
7b80f006206345e4260b4cab640a4db895a7611036472ebee9afd3e4d24ff979,2016-01,Bedfordshire Police,Bedfordshire Police,-0.418615,51.880279,On or near GORDON STREET,E01015794,Luton 018F,Offender sent to prison
59e0e7464a4909a3157f9fe412b776d0b6d22bf65c2326d4386915d6a88a1568,2016-01,Bedfordshire Police,Bedfordshire Police,-0.660551,51.918177,On or near NORTH STREET,E01017555,Central Bedfordshire 021A,Offender given community sentence
2664ee499da89cb6b48f7bb68d1419bace448f77090e54183d79c6ecae2b1e7b,2016-01,Bedfordshire Police,Bedfordshire Police,-0.435453,51.898298,On or near ST MONICAS AVENUE,E01015782,Luton 010D,Offender given community sentence
