Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-01-01T01:15:00+00:00,,,52.231184,0.128490,Male,18-24,White - White British (W1),,,Offensive weapons,Nothing found - no further action,,
Person search,2016-01-01T03:55:00+00:00,True,OP CONNECT,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-01T03:55:00+00:00,,,52.202956,0.123160,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-01T04:00:00+00:00,True,OP CONNECT,52.202859,0.121531,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-01T08:00:00+00:00,,,,,Male,,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2016-01-02T00:30:00+00:00,,,52.574020,-0.241286,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-02T02:20:00+00:00,,,,,Female,25-34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-02T19:20:00+00:00,True,OP HUNTER PATROLS,52.578490,-0.263349,Male,18-24,Asian or Asian British - Pakistani (A2),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-02T19:23:00+00:00,,,52.170455,0.112370,Female,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2016-01-02T22:40:00+00:00,,,52.678743,0.135378,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-02T22:40:00+00:00,,,52.671346,0.154083,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-02T22:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-02T23:00:00+00:00,,,52.224131,0.149530,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-02T23:00:00+00:00,,,52.224131,0.149530,Male,25-34,,,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-02T23:17:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-02T23:25:00+00:00,,,52.574020,-0.241286,Male,18-24,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-02T23:30:00+00:00,,,,,Male,18-24,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-02T23:30:00+00:00,,,,,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-02T23:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,,
Person and Vehicle search,2016-01-03T00:20:00+00:00,,,52.574020,-0.241286,Male,18-24,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-03T00:45:00+00:00,,,54.572026,-3.552647,Male,25-34,Not Stated (NS),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-03T00:45:00+00:00,,,54.560789,-3.544364,Male,18-24,White - Any other White ethnic background (W9),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-03T01:30:00+00:00,,,52.575820,-0.240845,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-03T15:35:00+00:00,,,52.414216,0.328092,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-03T22:10:00+00:00,,,52.209618,0.141613,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-03T22:16:00+00:00,,,52.209618,0.141613,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-04T13:00:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2016-01-04T13:00:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2016-01-04T14:55:00+00:00,,,52.606134,-0.258209,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-04T18:50:00+00:00,,,52.598934,-0.262024,Female,25-34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-04T20:14:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2016-01-05T00:00:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-06T11:58:00+00:00,,,52.329604,-0.191721,Male,25-34,White - White British (W1),,,Controlled drugs,Suspect arrested,,
Person search,2016-01-06T13:00:00+00:00,,,54.560789,-3.544364,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-06T14:45:00+00:00,,,52.213844,0.125700,Male,25-34,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-06T14:45:00+00:00,,,,,Female,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-06T16:55:00+00:00,True,OP ICARUS,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-07T00:15:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2016-01-07T00:35:00+00:00,,,,,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-07T01:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-07T12:15:00+00:00,,,52.205632,0.118839,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Vehicle search,2016-01-08T00:30:00+00:00,True,OP HUNTER,52.583827,-0.268024,,,,,,Article for use in theft,Suspect arrested,True,
Person search,2016-01-08T12:45:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-08T13:00:00+00:00,,,54.553037,-3.546823,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Offender given penalty notice,True,
Person and Vehicle search,2016-01-08T16:15:00+00:00,True,OP DORNIER,,,Male,over 34,White - White British (W1),,,Game or poaching equipment,Suspect summonsed to court,,
Person search,2016-01-08T16:20:00+00:00,,,52.211446,0.143443,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-08T16:20:00+00:00,,,52.211446,0.143443,Male,10-17,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-08T16:20:00+00:00,,,52.211446,0.143443,Male,10-17,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-08T16:30:00+00:00,,,52.211446,0.143443,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-08T16:30:00+00:00,,,52.211446,0.143443,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-09T00:50:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,False,
Person search,2016-01-09T02:00:00+00:00,,,52.575820,-0.240845,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-09T02:10:00+00:00,,,52.530020,-0.265792,Male,25-34,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,False,
Person and Vehicle search,2016-01-09T02:17:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Suspect summonsed to court,,
Person search,2016-01-09T10:20:00+00:00,,,,,Male,25-34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2016-01-09T12:25:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-09T14:10:00+00:00,True,Op Icarus,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-09T16:10:00+00:00,,,52.212167,0.115959,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-09T16:18:00+00:00,,,52.217223,0.127852,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-09T16:18:00+00:00,,,52.217223,0.127852,Female,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-01-10T00:55:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Vehicle search,2016-01-10T00:55:00+00:00,,,52.254647,-0.244424,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-10T01:35:00+00:00,True,op themis patrols,52.575820,-0.240845,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-01-10T01:55:00+00:00,,,52.577809,-0.247023,,,,,,Controlled drugs,Suspect arrested,True,
Person search,2016-01-10T15:15:00+00:00,,,,,Male,over 34,White - White British (W1),,,Game or poaching equipment,Nothing found - no further action,,
Person search,2016-01-10T15:20:00+00:00,,,,,Male,25-34,White - White British (W1),,,Game or poaching equipment,Nothing found - no further action,,
Person search,2016-01-10T15:20:00+00:00,,,,,Male,18-24,White - White British (W1),,,Game or poaching equipment,Nothing found - no further action,,
Person search,2016-01-10T18:26:00+00:00,,,,,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2016-01-10T21:40:00+00:00,,,52.191965,0.156508,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-10T22:05:00+00:00,,,52.548070,-0.228519,Male,10-17,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2016-01-10T22:20:00+00:00,,,54.559241,-3.587576,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-10T22:25:00+00:00,,,52.549859,-0.226102,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-10T22:30:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Vehicle search,2016-01-11T02:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-11T08:05:00+00:00,,,52.253333,0.174296,Male,25-34,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-01-11T23:30:00+00:00,,,52.322753,-0.069606,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,False,
Person search,2016-01-11T23:30:00+00:00,,,52.226130,0.116052,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-11T23:30:00+00:00,,,52.322753,-0.069606,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-11T23:30:00+00:00,,,52.322753,-0.069606,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-11T23:30:00+00:00,,,52.322753,-0.069606,Female,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-11T23:30:00+00:00,,,52.322753,-0.069606,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-11T23:35:00+00:00,,,52.226130,0.116052,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T00:10:00+00:00,,,52.226242,0.149134,Male,over 34,White - White British (W1),,,Controlled drugs,Suspect summonsed to court,,
Person search,2016-01-12T00:40:00+00:00,,,52.226242,0.149134,Female,25-34,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,False,
Person and Vehicle search,2016-01-12T03:10:00+00:00,,,52.213844,0.125700,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-12T04:15:00+00:00,,,52.175892,0.141982,Male,25-34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-12T16:55:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T16:55:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T17:02:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T17:06:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T21:00:00+00:00,,,52.587785,-0.242521,Male,10-17,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T21:05:00+00:00,,,52.587785,-0.242521,Male,10-17,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-13T01:55:00+00:00,,,52.594395,-0.285560,Male,over 34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-13T02:25:00+00:00,,,52.201521,0.131946,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-13T02:50:00+00:00,,,52.213555,0.116771,Male,over 34,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-13T14:30:00+00:00,,,,,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-13T14:30:00+00:00,,,,,Female,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2016-01-13T23:30:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-13T23:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-13T23:35:00+00:00,,,,,Male,over 34,Mixed - Any other Mixed ethnic background (M9),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-13T23:40:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-14T00:50:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,False,
Person search,2016-01-14T03:44:00+00:00,,,52.205151,0.119079,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-14T11:20:00+00:00,,,52.547560,0.086408,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-14T14:11:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-14T23:30:00+00:00,,,52.206168,0.132022,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
