Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0957530c193b88bb1b213493f3381da162721aa21c65da326098b159e135aa8f,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
5784e99ca789f88048a42985db4d306f53e6f8c52f131fbe32a5c1990f883322,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender sent to prison
cb20d6decd9d59016c59a162c2a7b5b2b482b43ac83d2427c27fa418a666f610,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender deprived of property
4939b1bcf4f4879774747adf3797b4a33b5f6c08edfed0496cded946b36481fa,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given community sentence
e0722a03a7836274c4be49ea4641fb72224f3ea26eb362de6041f1eef9969d64,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.535354,50.466678,On or near CROFT ROAD,E01015255,Torbay 008B,Offender sent to prison
8c835bab2ecdb64182bcec0dcbac1cc0d984f073f3a2f5a42f41f2a05e24203c,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.160131,50.374789,On or near FELLOWES PLACE,E01015172,Plymouth 029F,Defendant found not guilty
8fa9d052a1dd84c785ef710471269bacc5271a69bfeb7278e519bc21c9989441,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.517161,50.724130,On or near Police Station,E01019995,Exeter 008B,Offender fined
f86f173f4438a7832896178e7d054a61e6089de001f2b834a57f4ad5fdabaedc,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.414181,50.618855,On or near QUEEN'S COURT,E01019916,East Devon 019A,Offender sent to prison
a6c555f1480d220504324979a2f75eaada660802cd342bb54f64a86c5cdf79dd,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.532846,50.721533,On or near Parking Area,E01020016,Exeter 008C,Offender given suspended prison sentence
cbe4a086c829ffe47d45d71dfde4577a91cca23b367c8f91af11612834ba96bf,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.531503,50.724671,On or near Sports/Recreation Area,E01020018,Exeter 008E,Defendant found not guilty
52e52c9731d4e3eaf9cfbccd1ff160e72609b8f2fe22a825dc217f3d80193664,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.527280,50.384429,On or near SUMMER LANE,E01015246,Torbay 018C,Offender given community sentence
595c54fe0625757f5d1f066408139eb91cd60f7c6f6fe07f9e8b2d8fa4479539,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.525112,50.461947,On or near LAWRENCE PLACE,E01015256,Torbay 008C,Court case unable to proceed
ef1cefe32b6680c396ef5776f553a348df73f2c656b6a4625a45ba24766689a6,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.135553,50.372752,On or near HAMPTON STREET,E01032658,Plymouth 027G,Offender given suspended prison sentence
f7c43665a1ebd1e2e85e5ffe76cb564a4451f59a29a31a1276ef3eb447048c00,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.532806,50.725526,On or near NORTHERNHAY GATE,E01020017,Exeter 008D,Defendant found not guilty
4432e8b31d3f1856fa0a287918132eb7bceed5b3270366263a9b51e858dda299,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.414845,50.620232,On or near Shopping Area,E01019916,East Devon 019A,Offender fined
8ed465bd230f3b7738df277828b8bdee850b51dfa036bead9b98dd428a2d85b7,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.680326,50.621562,On or near CHAPEL STREET,E01033292,Cornwall 004E,Offender sent to prison
14362dc8b74550ecd7aee4742440160fb1ae206e5ae989aefeadec0dd434ce0c,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.115121,50.378504,On or near Hospital,E01015176,Plymouth 021F,Offender sent to prison
71476f4a0e77c21dadcc20f66e672a71c6422dc99f67494a488928fc6ee019e5,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.770328,50.239415,On or near Parking Area,E01020173,South Hams 012B,Court case unable to proceed
3a32d0111153a3ea11b521d28ac331e055e4c869bcd112eb7bb0310f86b29152,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.174941,50.379712,On or near PENTAMAR STREET,E01015045,Plymouth 026B,Defendant found not guilty
1a576e83edb923ad695889603b97a5d1eda8e4f5078e0975a557519aacabd998,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.396257,50.631761,On or near BROAD PARK ROAD,E01019923,East Devon 018D,Defendant found not guilty
d8a5e103f2420723b3587db7ca69435697d1a60eb826192907629da84d5f6b16,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.118637,51.209502,On or near FORE STREET,E01020112,North Devon 001B,Defendant found not guilty
4559607241780d6a6771eddb23091db3a6f7488f6d65d737e713e44b4782cfd9,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.380197,50.629443,On or near Shopping Area,E01019924,East Devon 018E,Offender given suspended prison sentence
5e73674d280fbccb7639d201bd97c363925d1ef3c0cac3df83fec322908f4068,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-5.067662,50.261461,On or near Petrol Station,E01018810,Cornwall 044D,Offender sent to prison
ae097f6afd13587affe2d933f5fb6a52412a5cb558fabae5e55f1d3095c72722,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.086882,50.393648,On or near LONGBRIDGE CLOSE,E01015095,Plymouth 010D,Offender given suspended prison sentence
e64206cae7378070edf031824be48bdb213a48471e13c92d1cc51220f4577d02,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.132954,50.407904,On or near Supermarket,E01015071,Plymouth 008D,Offender given community sentence
789bb594feaef4d18b46b05248f29d873ae88f76c5727403e64bbeef39457cfa,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.030846,50.388164,On or near ELDER CLOSE,E01015107,Plymouth 018A,Defendant found not guilty
41f45f22a278487bec0976481e890417ad7289c65b44547aaa290ca667d0ea85,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.524976,50.462102,On or near Shopping Area,E01015256,Torbay 008C,Offender fined
3be45f3045ec9202600e1ece8c8e15cbee4dd654e778bbcbc4e51554fbd8cfc8,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.153427,50.371774,On or near CECIL COTTS,E01015155,Plymouth 029C,Defendant found not guilty
fd2042d4026a8c88e18c465969fd49823a2108a14e94235bf224c2d6914d428f,2016-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.538459,50.710397,On or near WATERLOO ROAD,E01020032,Exeter 010E,Defendant found not guilty
