Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8554e802dd9bd03abc736fcbebef5425e7832f5f80b50c7720967dbfdb9e317e,2016-01,Lincolnshire Police,Lincolnshire Police,-0.547322,53.211936,On or near ST CATHERINES,E01026174,Lincoln 008D,Offender given conditional discharge
aca67103a1368e2c11466f59c61fe25e3257d9d66603dec45effc1359e1aaa5f,2016-01,Lincolnshire Police,Lincolnshire Police,-0.121002,52.876000,On or near COOK'S ROAD,E01026247,South Holland 001D,Offender given community sentence
351f5baa3ef4af916658b6de6f987acda2e9bcc0aa785a5aceec0e6c4f8335ea,2016-01,Lincolnshire Police,Lincolnshire Police,-0.029910,52.977899,On or near STATION STREET,E01026006,Boston 003A,Offender given suspended prison sentence
b7adcffefaae2229ff26775d117724b6e9ef6169173cd8cad8e0f4956562c4c6,2016-01,Lincolnshire Police,Lincolnshire Police,-0.544933,53.239110,On or near BURTON ROAD,E01026148,Lincoln 003D,Offender sent to prison
7221dd0e9e5e9d7cc41b84b364c4a6b1072f36e1bdb2d0f3ee4b3d095e540249,2016-01,Lincolnshire Police,Lincolnshire Police,-0.009527,52.993249,On or near CASTLE ROAD,E01026022,Boston 008C,Offender sent to prison
242ff26534fb923566c5ca3a554d83c3379029021d711287cd4f0737d41542d9,2016-01,Lincolnshire Police,Lincolnshire Police,-0.689750,53.169197,On or near BRACKEN ROAD,E01026193,North Kesteven 003C,Offender given suspended prison sentence
e1ab367d23ab9cc963ef67151e0ef644bd12e06240da3b4fccf2f2fb1d103847,2016-01,Lincolnshire Police,Lincolnshire Police,-0.546773,53.229459,On or near BRAYFORD WHARF NORTH,E01026143,Lincoln 005B,Court case unable to proceed
c26a77fabe7ef51cb2db3a6241ea7fd8ea6ce38454fe4af258cf5ef93b4df746,2016-01,Lincolnshire Police,Lincolnshire Police,-0.025204,52.980159,On or near RED LION STREET,E01026036,Boston 003D,Offender given suspended prison sentence
32cf21522ec40edd7925ba5ad6d86f87d73441bb1296af4f10a17e2464ac96c7,2016-01,Lincolnshire Police,Lincolnshire Police,0.342192,53.147186,On or near CASTLETON CRESCENT,E01026114,East Lindsey 014D,Offender sent to prison
7344b93bec5578fb99f19cd3934c9814a9ba00fc4e20616b50e9daa93527bdb3,2016-01,Lincolnshire Police,Lincolnshire Police,0.336105,53.146083,On or near CECIL AVENUE,E01026093,East Lindsey 014B,Offender given conditional discharge
2cc3641196a74fcf70136ed6daba7b63762ecf9609a4d96d3cd7a823eea9aaba,2016-01,Lincolnshire Police,Lincolnshire Police,-0.085519,52.899565,On or near CHAPELGATE,E01026017,Boston 007A,Offender given community sentence
