Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
29eae6b2b7c0a917967d79dfcdfbf60ea1560021cac722004e8737ca70c47377,2016-01,Merseyside Police,Merseyside Police,-2.854711,53.357320,On or near TYBERTON PLACE,E01006538,Liverpool 055E,Offender given conditional discharge
6cbf9ec03f3b96a1ff2743f21a8ce053b7d887712336b952c61aef9066a36900,2016-01,Merseyside Police,Merseyside Police,-2.871609,53.489432,On or near WATTS CLOSE,E01006448,Knowsley 001A,Offender given conditional discharge
e092ae07627e19b60eb0c42c90b6f811c6bb361a4977092b17d2caaff7cb94a3,2016-01,Merseyside Police,Merseyside Police,-2.953329,53.429617,On or near FELTWELL ROAD,E01006546,Liverpool 019B,Offender given community sentence
4eb9dd5d05f63c8c057441c0a2d3eaa95897623a30ae47796bd8dc28f50280bf,2016-01,Merseyside Police,Merseyside Police,-3.006332,53.473928,On or near HIGHFIELD ROAD,E01006977,Sefton 032E,Offender given suspended prison sentence
5ff0f508630e16f566c2cdc759553733a8300e175cd499e7c581848eae91ebac,2016-01,Merseyside Police,Merseyside Police,-3.004099,53.652274,On or near BANK SQUARE,E01033094,Sefton 004F,Defendant found not guilty
d5c0220de8af4c4fecff44b8d910dd6d6dd08350b70fe8745c5b9e3a456fbb69,2016-01,Merseyside Police,Merseyside Police,-2.791595,53.433711,On or near THE GREEN,E01006828,St. Helens 018C,Offender sent to prison
8b72f5519f2c3834a665736cdc6a0ff666d367aa116929d50b5cd394dc56a049,2016-01,Merseyside Police,Merseyside Police,-2.930114,53.441719,On or near BROADWAY,E01006603,Liverpool 011B,Offender given suspended prison sentence
abd3bceedec395e67adaf313567445e345573b00da58d86105a6565343d5a403,2016-01,Merseyside Police,Merseyside Police,-3.076389,53.370214,On or near Supermarket,E01007304,Wirral 025E,Offender given conditional discharge
d7b4fa4fee699da84ebadaa89053e24c5f2a30a44d381739d654e512d538ab2e,2016-01,Merseyside Police,Merseyside Police,-3.001522,53.466751,On or near PENRHYN AVENUE,E01007016,Sefton 034D,Offender given suspended prison sentence
ba85a640f5a19b96ba4a52b5a02a85dc9392e3c668732ec5ddb625c6d07bc39c,2016-01,Merseyside Police,Merseyside Police,-2.909356,53.482733,On or near HANMER ROAD,E01006508,Knowsley 004D,Offender given suspended prison sentence
36751fc304493083f2c80897c069ca0dcccc9a331f4d6d86211ea7832e0bf0f8,2016-01,Merseyside Police,Merseyside Police,-3.014671,53.373137,On or near ELDON ROAD,E01007296,Wirral 027E,Offender given community sentence
00fd39948c75676463fa3e7aa0e159d2acdc322970b07f487cb51e9852371d38,2016-01,Merseyside Police,Merseyside Police,-2.976571,53.402192,On or near ROSCOE PLACE,E01033761,Liverpool 060D,Offender sent to prison
