Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-01-02T02:45:00+00:00,,,53.317461,-3.496818,Male,25-34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False
Person search,2016-01-02T02:45:00+00:00,,,53.317461,-3.496818,Male,18-24,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,False,False
Person search,2016-01-02T15:45:00+00:00,,,53.228167,-4.125475,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,True,False
Person search,2016-01-03T01:58:00+00:00,,,53.256517,-4.299191,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person and Vehicle search,2016-01-03T09:08:00+00:00,,,53.297176,-3.507918,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Game or poaching equipment,Article found - Detailed outcome unavailable,False,False
Person search,2016-01-03T09:10:00+00:00,,,53.297176,-3.507918,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Game or poaching equipment,Article found - Detailed outcome unavailable,False,False
Person search,2016-01-03T09:14:00+00:00,,,53.297176,-3.507918,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Game or poaching equipment,Article found - Detailed outcome unavailable,False,False
Person and Vehicle search,2016-01-03T09:17:00+00:00,,,53.297176,-3.507918,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Game or poaching equipment,Article found - Detailed outcome unavailable,False,False
Person search,2016-01-03T12:10:00+00:00,,,53.215545,-4.084200,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
Person search,2016-01-04T01:00:00+00:00,,,53.253868,-4.299918,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,False
