Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6475565f4e071ff45702be485bea7256ac806ce80b9e2dd3cf874bbad4021bc2,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.454289,52.926735,On or near FRANCIS STREET,E01013538,Derby 007E,Offender given a drugs possession warning
a2e7142c612ee5d55cb201f61aef499e47469fb92132334aba5468196ef3f341,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.675603,53.213065,On or near A6,E01019600,Derbyshire Dales 002A,Local resolution
5c38c6845244f64eb92b9ce136d23d2d6882459141eb8700a62fcd3815069d2c,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.968241,53.463162,On or near STATION ROAD,E01019752,High Peak 001B,Local resolution
a9a9ce5225bafdccffd0686c3ca7c77b7378529b9c0971c08e1a1f7ce081ece9,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.915349,53.254726,On or near HIGH STREET,E01019715,High Peak 010B,Local resolution
722f77b4d1eb33bc5b34fe863da275f004057b2a93897a2e2820049b8ff33a12,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.479736,52.922139,On or near Nightclub,E01013479,Derby 013F,Local resolution
f4306849f81940f928e52130725f80a97d34125d9e551139d9eb9a9ebacd4b46,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.471861,52.917789,On or near LONDON ROAD,E01033166,Derby 018F,Local resolution
c2e7612821eebf6576c580cc8352a5fefbfb58d23b60e9340d9593cd3f161dff,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.514281,52.912136,On or near Pedestrian Subway,E01013543,Derby 021C,Local resolution
ddd32161655209828756759c0266b147b8ca97197ee4be6b0f5e76f8a55b259d,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.472605,52.921415,On or near Parking Area,E01013479,Derby 013F,Local resolution
59539e5f05041dd64a4cb5ce3bd40bd1ed481a406624da393bfd407c7280cca5,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.506211,52.897342,On or near HIGHFIELD ROAD,E01013489,Derby 022B,Local resolution
e71559e0e10486d48367d92d4f8f7b40b3fbc04ff2dfb56b2b560847911711dd,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.514281,52.912136,On or near Pedestrian Subway,E01013543,Derby 021C,Local resolution
36376016e10afca3277389f7efa39ba030c10bf9a5fae007eb4d5d55ba6fa32b,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.437283,53.260180,On or near ARUNDEL CLOSE,E01019542,Chesterfield 004B,Local resolution
f7d7455346895e021df0372130fe07914f4b7d2c09a92de441334961ead6eb87,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.947088,53.442966,On or near Petrol Station,E01019739,High Peak 003B,Local resolution
8a2e5d7d32dc3296f4cf4c66b751ade567a709f3e1236d9698e2b00d850bb367,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.506255,52.923519,On or near ASHLEY STREET,E01013550,Derby 011B,Local resolution
e1ea6472278b5a26035553af297e36bbd49f3bbb2648d65d5e2a7be7c5d1b9a8,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.989211,53.446564,On or near SHELDEN MEWS,E01019728,High Peak 002A,Local resolution
796d7e66ab6ff0385a587f9b6d31c5982516be99fa5471ca6d13b3350b5af490,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.405856,53.049306,On or near WELL STREET,E01019458,Amber Valley 008D,Local resolution
9c22ed217cbf1dbad3f1e39fa0e3a6451df3ff0956e929da57791c41fd403dd0,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.968515,53.437581,On or near WERNETH ROAD,E01019756,High Peak 004D,Local resolution
cef837f67fc2dceb3c190cefbc440e46dd5bdfff342e9393f5a43af6fa2a33ce,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.470743,52.919240,On or near TRAFFIC STREET,E01033166,Derby 018F,Local resolution
a500d9e83c74f4d7a9a372732974e16e858fab920aba27dbf6ce4f857258b645,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.577603,52.752473,On or near MOUNT PLEASANT ROAD,E01019852,South Derbyshire 011C,Local resolution
5abf8985ef377076ae4aa93a1d195781fff1c9dc680009392e3baafb1e081fdb,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.438685,52.899029,On or near BRIGHTON ROAD,E01013471,Derby 025A,Local resolution
ef8149eaeeff535624c78f92f880819b25aef90241565ef7592d2132ff7359e6,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.482564,52.909476,On or near NORTHUMBERLAND STREET,E01013485,Derby 016C,Local resolution
57384feb20bbbfe8c22bc6dd54b2f804bcc93c144136c578203d3f7dfe117347,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.387121,53.097573,On or near HIGH STREET,E01019401,Amber Valley 001B,Local resolution
9e74812216c40ec2cf2c68c2ee234a075d11e37a704b45c7417d91b3c066f78f,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.395077,52.938998,On or near Park/Open Space,E01019704,Erewash 005D,Local resolution
be8e7c3f959f1842f628db871dc8dc42e51acb95d5654a27ad8a6f83c6bd2312,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.421239,53.266045,On or near GIPSY LANE,E01019572,Chesterfield 001C,Local resolution
1679f6a0f1537864c750f2d85f4c80f8095f5a8b4cd75afd3991c90b1212b09d,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.435030,52.898931,On or near WILDSMITH STREET,E01013473,Derby 025B,Local resolution
03a9ab38a36a77e1c72cdf33fae32879274f5c0edb8db872416f8b897025468e,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.290714,52.892386,On or near Supermarket,E01019708,Erewash 011E,Local resolution
200b0ad7540d68fc60e15f25b173a49214d15a6aacec9c82a76f724ec72358cb,2016-02,Derbyshire Constabulary,Derbyshire Constabulary,-1.416952,52.894537,On or near DURLEY CLOSE,E01013474,Derby 024B,Local resolution
