Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
03b1d1c3fed66fa1ba3f66d278e3c0b268e443cd098775fbe69849bbbc412a11,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
09f3f594e48b91cb253cbfc033de8ed2ffbb21857ac4ef17ae1ca9ee10daac59,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
9ce6a9d88b5fae65dc19d44a6828ea59b09a913b6be27f3d9bf92214012f79b6,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
f11bf99e3df9d62899c0114c83395e50ba55ca926d7f09551ba656ca632e4bc5,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Unable to prosecute suspect
412eb7f1d0b8d523ee36130981d5d22fe8bb5042daf0ad7ed500a9ea54757fbe,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
4e6684b5ea63fc54f8670afb418e369c17238fe8cda8f3b26084c78b187708ff,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Offender given a caution
53ff29df38e824a1a22d65cd2bf0cdb4013c06b51e4f6c195d8cf9ce8be97f20,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Offender given a caution
02e9e0d523326047ef4f4d44230619dbc7461a5990a7e17605d5cf96dcad08fa,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Offender given a caution
946a1058df928b1ccbce6bf4f16b1fc87bf20343849c196770b3bf54b5b8fa9d,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
a1d9f4b10851fc4d6abb1d9148e0615ca41bfc2d27032c62ab0fccf21f0e9139,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
5b414a07a8174967081423d9ce49476979c41dbe0947e1f66ff5a034c5a1c0da,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
a046308a03cd8029da2b370e2577cc5eb307944837580813b86ff8726972e008,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
14e9213970c571266073929a089d8ba1c45e64cb67551aa0c7dc66cb429df034,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Offender given a caution
89550651b08bcfa318051fd204bfe34ad2d64d77a6e7ec730db8a4dd51e39f78,2016-02,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
