Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
743191d51554268c4642ebe89e19b65993d389b272b1f09dde616d8bf7a9e050,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.084190,52.413167,On or near STRYD SIOR,W01000513,Ceredigion 002B,Suspect charged
253c41412683f68e026db7a286532eaa539b529c60d7def2956703fc6c9423ec,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-5.030421,51.712276,On or near Police Station,W01000587,Pembrokeshire 010A,Offender given penalty notice
e36f14ea5c447e2d545d79ea7e3fa967aedae75b0ff1cbae77e813a42ed7d915,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-5.033686,51.722112,On or near HOWARTH CLOSE,W01000594,Pembrokeshire 012E,Investigation complete; no suspect identified
0bb7c5b97b9b41305296861fcb70f42fe9ecc2bc06b106738d2c7cdf18a2e61f,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.151288,51.676774,On or near Y BWTHYN,W01000631,Carmarthenshire 024D,Suspect charged
07e64eeaeed713d56b7493b3aac38f3e3003b9fc727f58ee40546e6a2fd39659,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.147629,52.659045,On or near BERRIEW STREET,W01000498,Powys 003A,Investigation complete; no suspect identified
720ae09096fcc34ee32c97bced47b957ec6fdec09292bb2408fd43691ddc1bdf,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.402973,52.148228,On or near MARKET STREET,W01000431,Powys 014A,Investigation complete; no suspect identified
8fb2c7a3e781e2981824effce196c6aab962f7447f318114dfb08c0266313ac5,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.639929,52.105851,On or near IRFON CRESCENT,W01000471,Powys 014E,Suspect charged
487c32866d4741f8a5fd2fb22d3ae637f7a6f3748e591204e6b77188a3939dc2,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.635376,52.106724,On or near BERTHLLWYD,W01000471,Powys 014E,Investigation complete; no suspect identified
58eb65529397a2e9d547e84c3e0e95aa5b4c075601a54d0efd0b24fd1e28b6d0,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.020172,51.781077,On or near HEOL RHYDAMAN,W01000731,Carmarthenshire 017C,Suspect charged
c0da93ae0cd04f3b4270cf9cc84325c4139c9b9ed6977417dba8f0e1580443bb,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.555794,52.113834,On or near Parking Area,W01000471,Powys 014E,Suspect charged
36e87c9ef84998c7b262dc5f0ac33533addc6839f1ac1e61fea24e8e67b1e479,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.555794,52.113834,On or near Parking Area,W01000471,Powys 014E,Suspect charged
8fb2c7a3e781e2981824effce196c6aab962f7447f318114dfb08c0266313ac5,2016-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.639929,52.105851,On or near IRFON CRESCENT,W01000471,Powys 014E,Suspect charged
