Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f60d62fdf2b81aa41b1734919a4324137c9927b2dbc2c8dfa7df9ad09d149870,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.059587,50.817931,On or near CLAYBANK SPUR,E01017047,Portsmouth 008C,Investigation complete; no suspect identified
470cae5b70af7a3ad6f9788313d92881c91fec639163863e1546e8de15c11102,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.086023,50.795928,On or near TYSELEY ROAD,E01017035,Portsmouth 018A,Unable to prosecute suspect
5233cf2616a408b7e723e1ec8db36cbf56f0b0b818be38edf2fb97bed4380de4,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.134533,51.257114,On or near MALVERN CLOSE,E01022486,Basingstoke and Deane 013C,Investigation complete; no suspect identified
88cf6365f4c00f9bd015d17e9bd61e9283c87cf5316bc83ad95ac956e96a8955,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.052267,50.852781,On or near A3,E01017061,Portsmouth 003B,Unable to prosecute suspect
4ce53f2ba0ad3d1901a3699975b1f0d54d59cd93dabe9b93fbc3a6104fb25482,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.348379,50.987359,On or near ALLBROOK HILL,E01022676,Eastleigh 002D,Unable to prosecute suspect
da70e580a9a4f40fd3ea471403db2a5537786c0cc44c4c61422cc62051724b95,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.078450,50.848405,On or near HOCKLEY CLOSE,E01017053,Portsmouth 002C,Unable to prosecute suspect
4e4668a5b3db820ba2772b8afdaa458a5cd9210a8c2e3ee2cc67f7ac46018e42,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.348685,50.878776,On or near WESTWOOD ROAD,E01022711,Eastleigh 014B,Unable to prosecute suspect
e790dbab5d828c36a936efc46e40453e357266c150cd12be7052a8ee21890d5f,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.396738,50.911075,On or near CLOVELLY ROAD,E01017156,Southampton 022D,Unable to prosecute suspect
baa566ed0153eea0c0f086c1b8beb76cc96036f98e11ed44f305066ba8651dc7,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.246181,51.046489,On or near Parking Area,E01023236,Winchester 002A,Suspect charged
bc8a5a92b3add53485346b97cb7b1f0696dd3c9e273ec5d958ad00c64a29eeae,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.094853,51.258550,On or near BLAIR ROAD,E01022481,Basingstoke and Deane 012A,Suspect charged
0d217008a2665474c711fc69e75864f779f7aeb1bd94945425bad17326c329e9,2016-02,Hampshire Constabulary,Hampshire Constabulary,-0.766948,51.248704,On or near Hospital,E01023145,Rushmoor 010E,Suspect charged
00822e896ea74d98ff482a78846a0a074042f1abf46bfbcec35c9e93293935c2,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.396336,50.905830,On or near ASCUPART STREET,E01032755,Southampton 029I,Unable to prosecute suspect
8f2e0b0732c53ee0699aec77868b009a59db71df51ec6e6978fd48a11a5761b4,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.077135,50.815661,On or near LABURNUM GROVE,E01017110,Portsmouth 011E,Investigation complete; no suspect identified
52d60cdf413ac34b14ab231ddf0c8f3968faa3f3cebeb58015133007c98ecfe3,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.149713,50.810241,On or near BOURNEMOUTH AVENUE,E01022813,Gosport 003A,Unable to prosecute suspect
ef670de0b944b06eec5a500abb076a32f5109c09cbaea08229371cd1cad0722a,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.407049,50.902225,On or near Parking Area,E01017140,Southampton 023D,Investigation complete; no suspect identified
9a5e4995c2a233b2ebf28967887f50d08743b71e9ec05b07a9471243d3771e65,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.496538,50.910522,On or near PLAYERS CRESCENT,E01023086,New Forest 005D,Investigation complete; no suspect identified
cb60fbaed4e6207107fe64a14783d2c477eb540a75aed2a6d65df29bea0e92fa,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.605830,51.176437,On or near HIGH STREET,E01023159,Test Valley 007A,Investigation complete; no suspect identified
0c7947cea029fb45304ff7184a575868a2f4c90abd1d3eec0032456274d86dde,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.397498,50.898489,On or near JOHN STREET,E01032751,Southampton 029H,Suspect charged
b9fbd23fee768f2840843dd850df685666c639a67a313465ba57863d2a7520ab,2016-02,Hampshire Constabulary,Hampshire Constabulary,-0.989854,50.870756,On or near DUNSBURY WAY,E01022969,Havant 008D,Investigation complete; no suspect identified
0c36d0fbbdc877100df52168cadaefa970719d2d9132a3e44fd7be27dc8f7f8c,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.259480,50.916337,On or near Parking Area,E01023245,Winchester 013A,Unable to prosecute suspect
1bfd3d04c22d4adcd23f50346c05108a070224b57a45ca1e960e27e9398af596,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.360846,50.969587,On or near SOPWITH ROAD,E01022668,Eastleigh 006A,Unable to prosecute suspect
491c700eb84c97e254fde4f5f21dce5e7f9b8d076f1958e478d95251077cddba,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.379537,50.825735,On or near ALUM CLOSE,E01023032,New Forest 013C,Unable to prosecute suspect
5ceedf5a3ccd085b0eb584d4281c7fbd3516b6198b769dd05ec55aeac3ea23d3,2016-02,Hampshire Constabulary,Hampshire Constabulary,-0.855919,51.138597,On or near B3004,E01022630,East Hampshire 008A,Investigation complete; no suspect identified
13ad91082f1db6facd8ccb1131a096c2734de33fe57820953fee06976ee51884,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.442360,50.914125,On or near FAWLEY ROAD,E01017214,Southampton 019C,Unable to prosecute suspect
1aee3d3c2320dab55a614e3b557e5545ffaadfa686fed323ddaebd57cd018286,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.126053,50.803357,On or near REGENTS PLACE,E01022811,Gosport 008B,Investigation complete; no suspect identified
dab00516575f5cc747f5f07bec8ecb9c6963ca8a2ab2024d7720e77c4b0a1f9a,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.119776,51.244964,On or near GERSHWIN ROAD,E01022474,Basingstoke and Deane 019A,Unable to prosecute suspect
ec673f3d8ac22835d1c2ba6bc18affb63bea6f67d9639e86dd998483799b94de,2016-02,Hampshire Constabulary,Hampshire Constabulary,-1.619178,50.729921,On or near WHATELY ROAD,E01023053,New Forest 023D,Investigation complete; no suspect identified
29795b1959b7e67379997b76e44889bcf7aa306b6c40587e3f9b3718192aaa75,2016-02,Hampshire Constabulary,Hampshire Constabulary,-0.956198,50.987247,On or near B2070,E01022592,East Hampshire 011A,Investigation complete; no suspect identified
