Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6f63508a78317d4c048fe77e981f08e3e55f52b2dc8deffec26ea84f01ff860b,2016-02,Humberside Police,Humberside Police,-0.359368,53.736885,On or near HAMSHAW COURT,E01012891,Kingston upon Hull 030C,Suspect charged
2bd5dbfc1807b4cadc1366a1d1f1f1481fa5cba0f2f0ed62e08f4b6db116bc8d,2016-02,Humberside Police,Humberside Police,-0.555904,53.564218,On or near LYCH GATE,E01013275,North Lincolnshire 013B,Unable to prosecute suspect
d2ab6626c8fee86c9b3969befa51543006f636de69aa2999240add06c1375db2,2016-02,Humberside Police,Humberside Police,-0.908835,53.757376,On or near A63,E01013022,East Riding of Yorkshire 018A,Unable to prosecute suspect
1be99c5111e6ad9a8478f6c9f65f33c75ba373ecc18ab7ff24d8663bb2852b5c,2016-02,Humberside Police,Humberside Police,-0.068642,53.566971,On or near HERITAGE MEWS,E01013142,North East Lincolnshire 002D,Unable to prosecute suspect
3d99c0ec35fe339fd60f4ef2581dce8775648f2e0afc70ffcb24929c92aae3f7,2016-02,Humberside Police,Humberside Police,-0.353092,53.741914,On or near SORBUS COURT,E01012855,Kingston upon Hull 029D,Unable to prosecute suspect
f99502202c11ec28d883ed597be1a48eb18cb63538c6fc37f8db5012bf68bb84,2016-02,Humberside Police,Humberside Police,-0.445015,53.719240,On or near SOUTHFIELD,E01013005,East Riding of Yorkshire 036A,Investigation complete; no suspect identified
221d2db4e03e8d2cf2d43b9287b97abe9ce397dd4bab78e93770f2036725658e,2016-02,Humberside Police,Humberside Police,0.035869,53.726354,On or near QUEEN STREET,E01013083,East Riding of Yorkshire 039C,Investigation complete; no suspect identified
c96ee9940d9a261e1ab2f8219a60be86b05286651dfb5053bc139596e281fe05,2016-02,Humberside Police,Humberside Police,-0.819758,53.525260,On or near MARKET PLACE,E01013241,North Lincolnshire 020A,Investigation complete; no suspect identified
a019aa7178fd04c1b7100382015e1fca71f5b747b12af3b9755d3742be46bee8,2016-02,Humberside Police,Humberside Police,-0.417071,53.838958,On or near WILES COURT,E01013040,East Riding of Yorkshire 019C,Investigation complete; no suspect identified
79db1d57d89c2eae0a0a2daafcff82daa56d2b30d5ae607953a370a2a5c62cae,2016-02,Humberside Police,Humberside Police,-0.080945,53.566737,On or near Parking Area,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
991ce89143203908eb6651e12d8478179cf7f56f1106a3379f14195182976edc,2016-02,Humberside Police,Humberside Police,-0.379325,53.748600,On or near CHATHAM STREET,E01012863,Kingston upon Hull 027C,Investigation complete; no suspect identified
f8336d6dcea23192d08b789a813730b136e1aa9d56c746bf4bc28b992c040567,2016-02,Humberside Police,Humberside Police,-0.272733,53.762411,On or near DALBY GROVE,E01012844,Kingston upon Hull 017B,Investigation complete; no suspect identified
b62bbe09b859fb5f5640afc21b042543129ff635ada099fca3d8af9f376bbae8,2016-02,Humberside Police,Humberside Police,-0.634551,53.566751,On or near SMITHFIELD ROAD,E01013238,North Lincolnshire 015A,Investigation complete; no suspect identified
ed055b1632523ac0034bfb2f46635558c276e3da9f0224211bce2c01126f646a,2016-02,Humberside Police,Humberside Police,-0.349602,53.791090,On or near SELSET WAY,E01012829,Kingston upon Hull 006A,Investigation complete; no suspect identified
aa89a8ce1a4eaaed0e557364a894bf6f855e75feb1a2fe16287af76f5a556a99,2016-02,Humberside Police,Humberside Police,-0.331894,53.617739,On or near HIGH STREET,E01013309,North Lincolnshire 004D,Investigation complete; no suspect identified
17fb6392c378afb512a508f917c1390f53e437f065d5ddbd5ea589675fd02264,2016-02,Humberside Police,Humberside Police,-0.195786,54.082692,On or near Parking Area,E01012945,East Riding of Yorkshire 004C,Investigation complete; no suspect identified
6ae7bc0826fb6a575344c52f9162b84bf59240368effb0fc93fb0d31a12efcd9,2016-02,Humberside Police,Humberside Police,-0.169757,53.540810,On or near Parking Area,E01013226,North East Lincolnshire 007D,Investigation complete; no suspect identified
4c490f9fbef0957fa035e8707063acdee405a7bdc57fa2f0ea4d7d2a1dc96f48,2016-02,Humberside Police,Humberside Police,-0.067161,53.567648,On or near WELLINGTON STREET,E01013140,North East Lincolnshire 006B,Investigation complete; no suspect identified
1d46ad5b19d6fc942430f7738bee38636319932f68bd60d43e00f69fb352cfbb,2016-02,Humberside Police,Humberside Police,-0.412626,53.585173,On or near A15,E01013270,North Lincolnshire 004A,Investigation complete; no suspect identified
ac11010c14d1b869e9688394f90c67da73732a88ed3c551cc01f8663b6aa2b1c,2016-02,Humberside Police,Humberside Police,-0.306895,53.756848,On or near DENE STREET,E01012805,Kingston upon Hull 026A,Investigation complete; no suspect identified
