Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ce559edf53f7431b498b0aa6ece5788e0904079ee7b12ab65090a7a74facf426,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.189727,52.992090,On or near WOODLAND AVENUE,E01013891,Nottingham 004E,Investigation complete; no suspect identified
357b47bcc17c9d53c7ce079d42c087221dce188be42e0169529da490e83b0693,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.191330,52.995624,On or near HIGHBURY ROAD,E01013888,Nottingham 004B,Investigation complete; no suspect identified
867b97b8a5c9a0796b192a4541ad5e2010f88e0147a8bc31614e57bf3d170728,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.190753,53.002569,On or near AUSTIN STREET,E01013886,Nottingham 004A,Investigation complete; no suspect identified
75fd46c42e314d2e536238d8eb10886739587323063d38893362e948c825e3cb,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.180397,52.980474,On or near CHURCH STREET,E01013832,Nottingham 009D,Investigation complete; no suspect identified
15e3f052ab1b02cedc8c82f7c55e6a9245585ade53d9ca2442034f34657e54e0,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.208347,52.971872,On or near GLENCAIRN DRIVE,E01013929,Nottingham 020D,Investigation complete; no suspect identified
aa426617580ed2dd4a29e68419d3b736ea62df333a17e3806a3d6ffe902c47bb,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.230068,52.967942,On or near ASHTON COURT,E01013868,Nottingham 020C,Investigation complete; no suspect identified
8807f54b40473a1fc39735d917bddeda83583039ff38c1c62665d1fc1edcc777,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.196006,52.980509,On or near KEVERNE CLOSE,E01013819,Nottingham 013A,Investigation complete; no suspect identified
0242545f217d257ccdb0f909771dcc524c97ae791ad84a51f07189ace381f884,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.219115,52.972590,On or near FIRCROFT AVENUE,E01013867,Nottingham 014D,Investigation complete; no suspect identified
deaaea7a46b360d4a68d9514e1f7f3b81942f3c4ad602fb0d56687110ad6d906,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.196779,52.999859,On or near MAIN STREET,E01013885,Nottingham 002E,Investigation complete; no suspect identified
0f2f85edc06b576b9cf1d0f035eee82c18abd646e6c1eb3446148d1dd55a4484,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.178122,52.981834,On or near VERNON ROAD,E01013828,Nottingham 008B,Investigation complete; no suspect identified
e6b8a83035ceebe4c87b3f6950eb6968baa8b8fe31cd0dc1ed4fdca95c256721,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.231505,52.965857,On or near BARTLOW ROAD,E01013858,Nottingham 025A,Investigation complete; no suspect identified
84163b937714a5ecf9d77ce5c5ad1f5d648863227d7ea49fd7590dd092270669,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.173952,52.984942,On or near NORBURN CRESCENT,E01013828,Nottingham 008B,Investigation complete; no suspect identified
be421083be06f4760eca6101aaa9d89c57c014b0d09cc7b6f1b52eab93be9667,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.191836,52.995655,On or near Supermarket,E01013888,Nottingham 004B,Investigation complete; no suspect identified
786bece2c007757b51f41a26ed6d03764d42e17340844a2e7cab03effd978515,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.200429,52.973275,On or near AMERSHAM RISE,E01013823,Nottingham 013D,Investigation complete; no suspect identified
78221aa300d7cfc933e5db1baa339d1764177dd28b2fd9d2dbb2753cfefaed9c,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.202477,52.960668,On or near BINGLEY CLOSE,E01013859,Nottingham 020A,Investigation complete; no suspect identified
d91148f9a61f9f52c794195c7c4b3a487885bbfca1eb138752ee0c25eb2d390c,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.182270,52.979894,On or near WHITEMOOR ROAD,E01013832,Nottingham 009D,Investigation complete; no suspect identified
0e48f35a11d93dcf10380104c6580a2b0f13fb58ce0a416131f5fb5859993336,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.172712,52.998418,On or near SOUTHGLADE ROAD,E01013893,Nottingham 001C,Investigation complete; no suspect identified
98fd4e3a2f19beecc833e0a44b94806c9fc70730667003cdf6aef7fe1ba5b412,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.227926,52.964477,On or near Supermarket,E01013868,Nottingham 020C,Investigation complete; no suspect identified
aeb1e6a3d019555c4fd92912ce383db36ad2ac9b108e1feca4e678a1531a386c,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.206996,52.961076,On or near ELSTREE DRIVE,E01013859,Nottingham 020A,Investigation complete; no suspect identified
b5660aa0ac27a9cb5b7f81574844bb6a7b2d7f63a6fcc87524a55cdcb825b392,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.225683,52.965019,On or near ORION CLOSE,E01013868,Nottingham 020C,Investigation complete; no suspect identified
5f487b6fc3ab188bed7eb7f8c86fe17f46b9351c843b0131dce748c91376c9d6,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.174353,52.992856,On or near HUCKNALL ROAD,E01033397,Nottingham 006F,Investigation complete; no suspect identified
e56c2e2af13090c5d8758851f862337041d9c8c4f15c227b58bbef6079906b16,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.185800,52.943439,On or near Further/Higher Educational Building,E01033410,Nottingham 031I,Investigation complete; no suspect identified
71d66c885018cbb8691e4b3811460040a27d64f804ef92c4213d80deb842a0c6,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.145743,52.988546,On or near MARKHAM CRESCENT,E01013965,Nottingham 007C,Investigation complete; no suspect identified
1938bd11923bdd4d962b95d0451e7dbb71f986078a136ef6aff3aec0609b7710,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.154189,52.951201,On or near STANDARD HILL,E01032522,Nottingham 028F,Investigation complete; no suspect identified
8684d85dcb186d721c4940812a975b9c9ffebf7e49a00b40af9e05f3affbfd24,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.193752,52.954352,On or near Supermarket,E01013979,Nottingham 027C,Investigation complete; no suspect identified
8b5525e5520a46a3839f84aba78b1aff749d00dc62b2049837fa818fddaaf8f8,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.152112,52.954683,On or near Parking Area,E01033406,Nottingham 039E,Suspect charged
e7f3824b927af843c567cf730f0aea507b9005ef6de2c6ac163932cfeb07b795,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.152112,52.954683,On or near Parking Area,E01033406,Nottingham 039E,Suspect charged
8c570ad5a7e8d3b022711895f5cb3b011ef7042ad0493dd2cc65149fe300e16d,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.158507,52.955735,On or near WOLLATON STREET,E01013816,Nottingham 022D,Investigation complete; no suspect identified
bded0d3d608d0a6941000f5774dc122172749f16877c617ea70dad3c3208f4dd,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.147645,52.950201,On or near Shopping Area,E01033400,Nottingham 039B,Suspect charged
5ed883b6586593c462cde8828149a2c7ac51f9e479faf00c61b5536df8b10808,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.152397,52.953777,On or near LONG ROW WEST,E01033400,Nottingham 039B,Offender given a caution
1eca6452f7e500560c8d21d4dc0179a89c6e91ccc1ea108ceb3b4064f46fa112,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.150199,52.955820,On or near Theatre/Concert Hall,E01033409,Nottingham 023H,Investigation complete; no suspect identified
c80c5ab7d9af4435fecc81b835dc0d2a0c8eefe4217ef79125c5b50d89af485e,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.149881,52.950775,On or near STANFORD STREET,E01033400,Nottingham 039B,Investigation complete; no suspect identified
8f69e9640f8a636b703e21fa139fcef5b3393dc8ff9bb300193ed821cadc61af,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.154984,52.979892,On or near HAYDN AVENUE,E01013970,Nottingham 010D,Investigation complete; no suspect identified
e38d651db09069a7b8f0f79019c1c7cb3933b4319e98b3acff99a4f3a6a79aa9,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.144430,52.953199,On or near WARSER GATE,E01033406,Nottingham 039E,Suspect charged
f6d0b6309b5c08910fd0837a294309b2b9b4264b20f2260af0c285e89420bd80,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.173954,52.979387,On or near REIGATE ROAD,E01013839,Nottingham 012C,Suspect charged
1fdb2220ccee45671c849e7faaa46b690598147ac84e60421786c8e61614bc66,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.151325,52.955307,On or near Theatre/Concert Hall,E01013816,Nottingham 022D,Suspect charged
f4ab22e4657fac8da60938a3469127fb2db5d5cb0ff010995be052fadfe1e2fe,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.146601,52.954068,On or near THURLAND STREET,E01033406,Nottingham 039E,Investigation complete; no suspect identified
c6a21ac8a21f629a51fb52a172fe25bade31d6ac0fd61478a9ba64d22f26b1d3,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.175344,52.957975,On or near BERESFORD STREET,E01013945,Nottingham 026B,Investigation complete; no suspect identified
d30de1ebea1c37e4b5548e2c70ec403fbbca6205e3610dd89a29d6b79a5c68a1,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.140290,52.946552,On or near A6008,E01033402,Nottingham 039C,Investigation complete; no suspect identified
1c3d86f69dd42752b5fa69738e08d743f1fc0f008247e9f68fd5b8ee1ac236bf,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.165527,52.968433,On or near LAURIE AVENUE,E01013846,Nottingham 018E,Investigation complete; no suspect identified
1b37b285a3acd8c61589ba2bc46a8535fc7a5c37fb54a0337e9fb12009c47eea,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.171264,52.952589,On or near DERBY ROAD,E01033408,Nottingham 031H,Investigation complete; no suspect identified
3ccb8dff59d1cac1f3fd34c4ba18c52c67f54a94f8093899f487f246ad35bd3f,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.199408,52.957609,On or near SYDNEY ROAD,E01013978,Nottingham 027B,Investigation complete; no suspect identified
33a6dba346df9ef7a0971bf141b492d9b2a0e69bac20650aa04e39131da0e05f,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.142623,52.952763,On or near RISTE'S PLACE,E01033406,Nottingham 039E,Investigation complete; no suspect identified
412732ede9ebfcbae5875a0607be0709808a8126c792de92bf30846cc6b222d5,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.148336,52.952912,On or near Shopping Area,E01033406,Nottingham 039E,Investigation complete; no suspect identified
9dbf215ee154baed75e721110871a55f717a3bfdff62036825c0fb0eb84daa48,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.181176,52.964496,On or near NEWQUAY AVENUE,E01013944,Nottingham 026A,Suspect charged
a237286544fc7b9918099f09ef3317e679a75e05560c583e862913e7302b3c09,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.148030,52.957890,On or near Shopping Area,E01033399,Nottingham 023E,Suspect charged
456a654d16d8262472fdee34d145edc882cc6a0f1bc61f196a0203aacb230583,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.145710,52.955473,On or near CLARE STREET,E01033409,Nottingham 023H,Suspect charged
29b46e15d636036f69d136d8fbf3de7e99804b9ac72580c34348e28f7733a48a,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.146647,52.979707,On or near SPONDON STREET,E01013971,Nottingham 010E,Investigation complete; no suspect identified
a069184c64c19feafcebb492c9cadb7c055c071c1795b0709c1ca56e836476fe,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.146647,52.979707,On or near SPONDON STREET,E01013971,Nottingham 010E,Investigation complete; no suspect identified
0a151d7728c8dcec775a44cdf4ebe24c9c366b3ffe925e79eaa11959ebf0c7f9,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.164590,52.958331,On or near NEWDIGATE STREET,E01013814,Nottingham 022B,Investigation complete; no suspect identified
03329f4a6cc3b33c95fc6775596a60d5fba248fc75e38a2351fd4446d76a1b41,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.174132,52.959881,On or near BYFIELD CLOSE,E01013948,Nottingham 026E,Investigation complete; no suspect identified
5fbb8e0466a3930b087fd91fb17ac9d621ec9d324f21117b0295271f4f07102e,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.174132,52.959881,On or near BYFIELD CLOSE,E01013948,Nottingham 026E,Investigation complete; no suspect identified
caee46031941b229450d072ab13cd9f3d65c41c34db4454bdd979f8ec369e784,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.148505,52.979909,On or near PENNHOME AVENUE,E01013969,Nottingham 010C,Investigation complete; no suspect identified
829377eba18fbb0a3cf01bbbdc27be7d381a464a8ff54d7b5c85a83d8e72f89d,2016-02,Nottinghamshire Police,Nottinghamshire Police,-1.240290,52.950524,On or near NIDDERDALE,E01013983,Nottingham 030C,Investigation complete; no suspect identified
