Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b17bc0217d3474d7f63926e14f2032eb0bd31fa522f103f39c655c1cef95a229,2016-02,South Wales Police,South Wales Police,-3.411874,51.707595,On or near POND PLACE,W01001168,Rhondda Cynon Taf 004B,Unable to prosecute suspect
9bb2a420c4c7a9d97c30a6e3bae232746b54564fbebc5f30c6b968b01fc7c9ce,2016-02,South Wales Police,South Wales Police,-3.792362,51.594381,On or near WELLINGTON PLACE,W01000886,Neath Port Talbot 017C,Investigation complete; no suspect identified
9723f615d47703dcf8b22514fff28acab24bf191e0b159179ab6e590c9dbecc1,2016-02,South Wales Police,South Wales Police,-3.451074,51.612352,On or near CARN Y CELYN CLOSE,W01001219,Rhondda Cynon Taf 018C,Unable to prosecute suspect
2e6a548fd8391daeeae6e5a0af6cc27c792e4e6541da2d63e9335040c578a739,2016-02,South Wales Police,South Wales Police,-3.223304,51.484556,On or near MAYFIELD AVENUE,W01001716,Cardiff 035C,Investigation complete; no suspect identified
7becd99c80de43048e568a8e3f93f9e479b51c4c439688a1d5281e9040c5d920,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
47c380749545a3e896c195a96012a8ed9344c514993088043d1848aefac53cc9,2016-02,South Wales Police,South Wales Police,,,No location,,,Suspect charged
da4864288c699f466d3b31affab934f2e5a6cd8118cacf0801479dad75f56d24,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
043323cb70ff76f600c83e03faa68f1b14ca8de363c2e4278d3fc3320a9c8e6f,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
9537b346178dda23782960e36c86c4c2b557a9e20581e7f0e1117d6cd27f38e2,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
5beac167d867b918b9eaf34f8f5d0f4e567b85178d13a531935aff4eae1cbb86,2016-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
0c19c9edc375d9deedae0c6bbd5017a07535fab805c7c15ffecd0ff22b89137d,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
58ab5b7a965687fb9727f0ebb107ccdf6cd15dcdc00beab5b7a03f6bd924f2b3,2016-02,South Wales Police,South Wales Police,,,No location,,,Suspect charged
21169ee88490ff9d57a71df21948f48a0d4e41f645d9810a69a7610d4db5b236,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f19217c47317649087b9c94bb20433875631ad317a49820825d374f0ac2d5b88,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
485baa871b03da615e5b73e3065359a812c525d5800ddf9a379a5fb5aefffec6,2016-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
cf75a20ffcb3bac7f397a30f5cb90243326c8840d59ae89530d72eb94b9776c9,2016-02,South Wales Police,South Wales Police,,,No location,,,Suspect charged
9e15e6f5fedbf9960f033857a4be1fbe416dbcb623043815a93ac63471889d5d,2016-02,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
e9b38338e6e7d36bf5e63352decfd5dd2648fa4b33327c5657b18a62b2d89fde,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
88cfff8b3939476e3c67e69b6a5b0f21ccd747fc827f47f57bdadb4b05540d08,2016-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
166f93183dc586592e96e4958a6d7fea52d1f672bb89180ff619531b3fbac546,2016-02,South Wales Police,South Wales Police,,,No location,,,Suspect charged
66df5d37dd4f2e855b68c0d59d632be20cfad6f2c84629773e2caaadc73ee888,2016-02,South Wales Police,South Wales Police,,,No location,,,Suspect charged
